facility,year,month,gridmet_days_over_90f,gridmet_days_over_95f,gridmet_days_over_avg_plus10_base1991_2020,dental_mh_overtime,modified_programs_days,deaths_unexpected,uof_incidents,violent_incidents,inmate_on_inmate,staff_involved,ed_hospital_rate,ed_hospital_cost,total_labor_cost,specialty_care_referrals,prescriptions_per_patient,actual_expenditure_monthly,institution_budget,vacancy_all,vacancy_medical,vacancy_dental,vacancy_mh,crowding_pct,ac_type,security_level,post_ac
ASP,2016,1,0,0,0,,,,,,,,,,,,,,,,,,,113.2,evaporative,MEDIUM,0
ASP,2016,2,0,0,0,,,,,,,,,,,,,,,,,,,113.2,evaporative,MEDIUM,0
ASP,2016,3,0,0,0,,,,,,,,,,,,,,,,,,,109.8,evaporative,MEDIUM,0
ASP,2016,4,3,0,0,,,,,,,,,,,,,,,,,,,109.3,evaporative,MEDIUM,0
ASP,2016,5,9,2,0,,,,,,,,,,,,,,,,,,,111.7,evaporative,MEDIUM,0
ASP,2016,6,22,17,2,,,,,,,,,,,,,,,,,,,110.4,evaporative,MEDIUM,0
ASP,2016,7,30,24,9,,,,,,,,,,,,,,,,,,,110.4,evaporative,MEDIUM,0
ASP,2016,8,31,26,1,,,,,,,,,,,,,,,,,,,111.1,evaporative,MEDIUM,0
ASP,2016,9,21,14,0,,,,,,,,,,,,,,,,,,,111.9,evaporative,MEDIUM,0
ASP,2016,10,1,0,0,,,,,,,,,,,,,,,,,,,111.4,evaporative,MEDIUM,0
ASP,2016,11,0,0,0,,,,,,,,,,,,,,,,,,,114.9,evaporative,MEDIUM,0
ASP,2016,12,0,0,0,,,,,,,,,,,,,,,,,,,114.6,evaporative,MEDIUM,0
ASP,2017,1,0,0,0,,,,,,,,6.4,51.0,666.0,35.0,1.5,,,15.0,7.0,14.0,46.0,114.5,evaporative,MEDIUM,0
ASP,2017,2,0,0,0,,,,,,,,6.4,46.0,674.0,25.0,1.3,,,17.0,10.0,11.0,48.0,116.0,evaporative,MEDIUM,0
ASP,2017,3,0,0,0,,,,,,,,3.3,46.0,670.0,28.0,1.5,,,17.0,11.0,5.0,48.0,123.9,evaporative,MEDIUM,0
ASP,2017,4,0,0,0,,,,,,,,4.4,45.0,668.0,26.0,1.5,,,16.0,10.0,8.0,48.0,125.5,evaporative,MEDIUM,0
ASP,2017,5,10,6,0,,,,,,,,3.9,42.0,669.0,36.0,1.5,,,16.0,10.0,3.0,51.0,125.9,evaporative,MEDIUM,0
ASP,2017,6,23,15,4,,,,,,,,6.4,42.0,663.0,46.0,1.5,,,15.0,8.0,6.0,49.0,126.8,evaporative,MEDIUM,0
ASP,2017,7,31,30,1,,,,,,,,3.6,42.0,654.0,33.0,1.5,,,17.0,13.0,8.0,42.0,126.6,evaporative,MEDIUM,0
ASP,2017,8,30,27,5,,,,,,,,4.1,40.0,658.0,48.0,1.5,,,14.0,10.0,3.0,37.0,131.2,evaporative,MEDIUM,0
ASP,2017,9,16,9,3,,,,,,,,3.8,38.0,648.0,32.0,1.5,,,11.0,6.0,0.0,39.0,132.0,evaporative,MEDIUM,0
ASP,2017,10,0,0,0,,,,,,,,8.6,40.0,641.0,42.0,1.4,,,11.0,6.0,0.0,39.0,132.5,evaporative,MEDIUM,0
ASP,2017,11,0,0,0,,,,,,,,3.8,35.0,626.0,35.0,1.3,,,9.0,5.0,0.0,34.0,133.0,evaporative,MEDIUM,0
ASP,2017,12,0,0,0,,,,,,,,4.9,41.0,608.0,30.0,1.3,,,9.0,5.0,0.0,34.0,139.5,evaporative,MEDIUM,0
ASP,2018,1,0,0,0,,,,,,,,4.6,45.0,602.0,33.0,1.3,,,10.0,3.0,0.0,41.0,142.4,evaporative,MEDIUM,0
ASP,2018,2,0,0,0,,,,,,,,2.3,37.0,605.0,31.0,1.3,,,8.0,3.0,0.0,33.0,145.1,evaporative,MEDIUM,0
ASP,2018,3,0,0,0,,,,,,,,1.5,33.0,602.0,34.0,1.3,,,9.0,5.0,3.0,30.0,146.5,evaporative,MEDIUM,0
ASP,2018,4,2,0,0,,,,,,,,3.6,33.0,595.0,28.0,1.3,,,8.0,5.0,3.0,27.0,145.7,evaporative,MEDIUM,0
ASP,2018,5,2,1,0,,,,,,,,4.1,32.0,593.0,31.0,1.3,,,9.0,6.0,6.0,27.0,148.0,evaporative,MEDIUM,0
ASP,2018,6,19,13,0,,,,,,,,2.4,32.0,588.0,41.0,1.3,,,10.0,7.0,3.0,27.0,148.3,evaporative,MEDIUM,0
ASP,2018,7,31,30,1,,,,,,,,4.2,32.0,592.0,29.0,1.3,,,10.0,7.0,3.0,26.0,147.5,evaporative,MEDIUM,0
ASP,2018,8,27,21,0,,,,,,,,3.7,33.0,590.0,26.0,1.3,,,9.0,7.0,3.0,24.0,148.6,evaporative,MEDIUM,0
ASP,2018,9,19,12,0,,,,,,,,4.8,32.0,587.0,26.0,1.3,,,10.0,7.0,5.0,24.0,149.5,evaporative,MEDIUM,0
ASP,2018,10,0,0,0,,,,,,,,2.3,31.0,585.0,34.0,1.3,,,9.0,7.0,3.0,23.0,147.5,evaporative,MEDIUM,0
ASP,2018,11,0,0,0,,,,,,,,2.1,45.0,594.0,28.0,1.3,,,8.0,5.0,5.0,20.0,144.7,evaporative,MEDIUM,0
ASP,2018,12,0,0,0,,,,,,,,2.8,29.0,593.0,29.0,1.4,,,10.0,7.0,8.0,23.0,143.8,evaporative,MEDIUM,0
ASP,2019,1,0,0,0,,,,,,,,6.0,32.0,590.0,24.0,1.4,,,11.0,7.0,11.0,22.0,140.8,evaporative,MEDIUM,0
ASP,2019,2,0,0,0,,,,,,,,4.2,35.0,599.0,22.0,1.4,,,13.0,10.0,11.0,24.0,141.5,evaporative,MEDIUM,0
ASP,2019,3,0,0,0,,,,,,,,4.4,37.0,596.0,32.0,1.4,,,12.0,10.0,11.0,24.0,138.5,evaporative,MEDIUM,0
ASP,2019,4,4,0,0,,,,,,,,3.3,33.0,598.0,28.0,1.5,,,12.0,11.0,5.0,24.0,136.6,evaporative,MEDIUM,0
ASP,2019,5,0,0,0,,,,,,,,0.7,33.0,602.0,39.0,1.5,,,14.0,12.0,5.0,29.0,129.3,evaporative,MEDIUM,0
ASP,2019,6,22,11,1,,,,,,,,3.4,33.0,605.0,34.0,1.6,,,13.0,11.0,5.0,27.0,128.2,evaporative,MEDIUM,0
ASP,2019,7,30,22,1,,,,,,,,3.7,33.0,553.0,37.0,1.5,,,14.0,13.0,3.0,27.0,128.5,evaporative,MEDIUM,0
ASP,2019,8,29,21,1,,,,,,,,3.7,33.0,561.0,34.0,1.5,,,12.0,13.0,3.0,17.0,129.4,evaporative,MEDIUM,0
ASP,2019,9,15,12,0,,,,,,,,3.2,34.0,571.0,44.0,1.5,,,12.0,13.0,3.0,18.0,133.0,evaporative,MEDIUM,0
ASP,2019,10,1,0,0,,,,,,,,3.7,33.0,581.0,35.0,1.5,,,12.0,13.0,3.0,18.0,137.0,evaporative,MEDIUM,0
ASP,2019,11,0,0,0,,,,,,,,4.8,32.0,696.0,42.0,1.5,,,11.0,11.0,3.0,21.0,136.6,evaporative,MEDIUM,0
ASP,2019,12,0,0,0,,,,,,,,3.9,24.0,703.0,32.0,1.4,,,13.0,12.0,11.0,21.0,138.2,evaporative,MEDIUM,0
ASP,2020,1,0,0,0,,,,,,,,3.3,26.0,703.0,35.0,1.4,,,11.0,10.0,5.0,23.0,144.0,evaporative,MEDIUM,0
ASP,2020,2,0,0,0,,,,,,,,4.5,27.0,694.0,34.0,1.5,,,13.0,12.0,5.0,25.0,144.6,evaporative,MEDIUM,0
