beta_days_over_90f,se_days_over_90f,p_days_over_90f,beta_heat_x_post,se_heat_x_post,p_heat_x_post,beta_post_treat,se_post_treat,p_post_treat,n_obs,n_fac,outcome,facility,treat_date
0.0006,0.0008,0.4322,-0.0067,0.0009,0.0,0.0765,0.051,0.1334,3437,32,ED/Hospital Stay rate (log),ISP,2024-03
0.0001,0.0012,0.9638,0.0046,0.0015,0.0019,0.0336,0.0533,0.5278,3438,32,ED & Hospital Stay Cost [log(y+1)],ISP,2024-03
-0.0002,0.0003,0.5453,-0.0004,0.0004,0.4127,-0.1081,0.0262,0.0,3438,32,Total Labor Cost [log(y+1)],ISP,2024-03
-0.0017,0.0012,0.1526,0.0066,0.0007,0.0,0.0345,0.0501,0.4906,3438,32,Specialty Care Referrals [log(y+1)],ISP,2024-03
0.0013,0.0005,0.0142,0.0012,0.0003,0.0001,0.2671,0.0321,0.0,3437,32,Prescriptions Per Patient (log),ISP,2024-03
1.8925,0.896,0.0349,-1.93,0.6283,0.0022,-45.5981,33.8119,0.1777,1524,32,Dental+MH Overtime (hours),ISP,2024-03
0.0367,0.0432,0.3965,-0.118,0.0336,0.0005,-8.5684,1.3673,0.0,1902,32,Inmate-on-Inmate Violence (raw),ISP,2024-03
0.043,0.0239,0.0719,-0.0744,0.0204,0.0003,-4.6704,0.7831,0.0,1902,32,Staff-Involved Incidents (raw),ISP,2024-03
0.0796,0.0554,0.1508,-0.1924,0.0415,0.0,-13.2388,1.8064,0.0,1902,32,All Violent Incidents (raw),ISP,2024-03
-0.0122,0.048,0.8,-0.1908,0.0291,0.0,-13.4949,2.5248,0.0,1524,32,Use of Force Incidents (raw),ISP,2024-03
-43.5226,25.1323,0.0835,28.368,27.7504,0.3068,109.5988,1034.4221,0.9156,1524,32,Custody Overtime (hours),ISP,2024-03
-0.1745,2.6196,0.9469,3.9449,3.1396,0.2091,-267.0402,111.7776,0.017,1524,32,Non-Custody Overtime (hours),ISP,2024-03
-45.877,25.5126,0.0724,29.8064,28.157,0.29,-169.9377,1069.8644,0.8738,1524,32,Total Overtime Hours,ISP,2024-03
-0.0161,0.0281,0.568,-0.0008,0.0174,0.9639,-1.6049,0.4639,0.0006,1538,33,Modified Programs Days (raw),ISP,2024-03
191.8427,7142.9692,0.9786,-18316.8898,6094.3261,0.0027,1266065.0695,217714.9349,0.0,1524,32,Monthly Expenditure ($),ISP,2024-03
