beta,se,p,n_obs,n_fac,outcome,heat,moderator,type,sig
0.0,0.0007,0.9797,3131,29,ED/Hospital Stay rate (log),Days >90°F,Heat × % Mechanical AC,AC coverage,
-0.0073,0.0056,0.1947,1300,29,Dental+MH Overtime (log),Days >90°F,Heat × % Mechanical AC,AC coverage,
-0.0071,0.0069,0.303,1392,29,Modified Programs Days [log(y+1)],Days >90°F,Heat × % Mechanical AC,AC coverage,
0.0002,0.0035,0.9596,1740,29,Violent Incidents [log(y+1)],Days >90°F,Heat × % Mechanical AC,AC coverage,
0.002,0.0034,0.5432,1392,29,Use of Force Incidents [log(y+1)],Days >90°F,Heat × % Mechanical AC,AC coverage,
-0.0002,0.0008,0.8551,1392,29,Monthly Expenditure [log(y+1)],Days >90°F,Heat × % Mechanical AC,AC coverage,
0.006,0.0092,0.5152,3131,29,ED/Hospital Stay rate (log),Days mean summer temp. anomaly,Heat × % Mechanical AC,AC coverage,
-0.0062,0.0227,0.7857,1300,29,Dental+MH Overtime (log),Days mean summer temp. anomaly,Heat × % Mechanical AC,AC coverage,
-0.0305,0.0223,0.1714,1392,29,Modified Programs Days [log(y+1)],Days mean summer temp. anomaly,Heat × % Mechanical AC,AC coverage,
0.0078,0.0146,0.5931,1740,29,Violent Incidents [log(y+1)],Days mean summer temp. anomaly,Heat × % Mechanical AC,AC coverage,
0.0165,0.0114,0.1466,1392,29,Use of Force Incidents [log(y+1)],Days mean summer temp. anomaly,Heat × % Mechanical AC,AC coverage,
-0.0066,0.0132,0.6152,1392,29,Monthly Expenditure [log(y+1)],Days mean summer temp. anomaly,Heat × % Mechanical AC,AC coverage,
-0.0007,0.0008,0.3707,3437,32,ED/Hospital Stay rate (log),Days >90°F,Heat × High Security (Maximum),Security level,
-0.003,0.0043,0.4937,1432,32,Dental+MH Overtime (log),Days >90°F,Heat × High Security (Maximum),Security level,
-0.0092,0.0052,0.0794,1538,33,Modified Programs Days [log(y+1)],Days >90°F,Heat × High Security (Maximum),Security level,.
0.0006,0.0019,0.7375,1902,32,Violent Incidents [log(y+1)],Days >90°F,Heat × High Security (Maximum),Security level,
0.0008,0.0022,0.7288,1524,32,Use of Force Incidents [log(y+1)],Days >90°F,Heat × High Security (Maximum),Security level,
-0.0004,0.0006,0.5569,1524,32,Monthly Expenditure [log(y+1)],Days >90°F,Heat × High Security (Maximum),Security level,
-0.0043,0.0057,0.4484,3437,32,ED/Hospital Stay rate (log),Days mean summer temp. anomaly,Heat × High Security (Maximum),Security level,
-0.01,0.0146,0.4946,1432,32,Dental+MH Overtime (log),Days mean summer temp. anomaly,Heat × High Security (Maximum),Security level,
-0.0153,0.0196,0.4355,1538,33,Modified Programs Days [log(y+1)],Days mean summer temp. anomaly,Heat × High Security (Maximum),Security level,
-0.019,0.008,0.017,1902,32,Violent Incidents [log(y+1)],Days mean summer temp. anomaly,Heat × High Security (Maximum),Security level,*
-0.0107,0.0065,0.1,1524,32,Use of Force Incidents [log(y+1)],Days mean summer temp. anomaly,Heat × High Security (Maximum),Security level,
-0.0011,0.0054,0.8394,1524,32,Monthly Expenditure [log(y+1)],Days mean summer temp. anomaly,Heat × High Security (Maximum),Security level,
