beta,se,p,n_obs,n_fac,outcome,heat,spec,sig
-0.0004,0.0007,0.5948,3437,32,ED/Hospital Stay rate (log),Days >90°F,Lag 1,
0.0067,0.0049,0.1724,1432,32,Dental+MH Overtime (log),Days >90°F,Lag 1,
-0.0009,0.006,0.8781,1538,33,Modified Programs Days [log(y+1)],Days >90°F,Lag 1,
0.0005,0.0019,0.7958,1524,32,Use of Force Incidents [log(y+1)],Days >90°F,Lag 1,
-0.0007,0.0003,0.0263,1524,32,Monthly Expenditure [log(y+1)],Days >90°F,Lag 1,*
0.0004,0.0041,0.9276,3437,32,ED/Hospital Stay rate (log),Days mean summer temp. anomaly,Lag 1,
-0.0112,0.0099,0.2564,1432,32,Dental+MH Overtime (log),Days mean summer temp. anomaly,Lag 1,
-0.0055,0.013,0.6742,1538,33,Modified Programs Days [log(y+1)],Days mean summer temp. anomaly,Lag 1,
0.0008,0.0087,0.9256,1524,32,Use of Force Incidents [log(y+1)],Days mean summer temp. anomaly,Lag 1,
-0.002,0.0016,0.2247,1524,32,Monthly Expenditure [log(y+1)],Days mean summer temp. anomaly,Lag 1,
