cdcr_code,latitude,longitude,elevation_m,n_days_may_oct,rmin_mean_may_oct,rmax_mean_may_oct,twb_mean_f_may_oct,wbd_mean_f_may_oct,days_evap_cannot_reach_78f_eps70_may_oct,days_evap_cannot_reach_85f_eps70_may_oct,days_evap_cannot_reach_78f_eps80_may_oct,days_evap_cannot_reach_85f_eps80_may_oct,days_evap_cannot_reach_78f_eps85_may_oct,days_evap_cannot_reach_85f_eps85_may_oct,wbd_mean_f_jja
PBSP,41.85480855418667,-124.1490751163596,30.0,184,56.64,93.37,55.57,9.72,0,0,0,0,0,0,9.98
RJD,32.58456492210108,-116.9335763874008,180.0,184,54.42,94.5,63.79,11.53,0,0,0,0,0,0,11.36
SQ,37.940039851419016,-122.4903665969169,1.0,184,48.29,90.6,60.5,12.79,0,0,0,0,0,0,12.16
CMC,35.324574100099134,-120.69890041992886,125.0,184,42.16,90.66,59.16,14.79,0,0,0,0,0,0,15.22
CTF,36.46964827416208,-121.38223254073095,65.0,184,39.5,85.48,58.16,15.56,0,0,0,0,0,0,16.03
SVSP,36.47885711260287,-121.37439425565836,88.0,184,39.5,85.48,58.16,15.56,0,0,0,0,0,0,16.03
CRC,33.9292530412966,-117.5725312861978,199.0,184,33.94,87.81,65.54,20.36,17,0,2,0,0,0,22.16
CIW,33.94974539755923,-117.6363650322742,173.0,184,32.86,88.04,66.04,21.02,22,0,5,0,1,0,22.63
CIM,33.98471244959707,-117.68239170046569,189.0,184,32.82,84.94,65.9,21.15,20,0,5,0,1,0,23.04
MCSP,38.37074337471898,-120.95344581511613,98.0,184,30.47,77.47,63.14,21.52,2,0,0,0,0,0,25.16
SOL,38.320776607604,-121.97523692020748,42.0,184,29.14,80.31,62.96,21.96,2,0,0,0,0,0,24.71
CMF,38.3285102029971,-121.97916451130509,43.0,184,29.14,80.31,62.96,21.96,2,0,0,0,0,0,24.71
SAC,38.694444232143624,-121.15390376526624,117.0,184,30.01,75.32,63.67,22.14,4,0,1,0,0,0,26.22
FOL,38.69538346625723,-121.1630323451162,83.0,184,29.63,75.88,63.93,22.46,7,0,1,0,0,0,26.59
CCI,35.10991555190383,-118.57033067748,1192.0,184,21.44,50.14,53.56,23.07,0,0,0,0,0,0,26.93
SCC,37.89168865412792,-120.53654018648405,329.0,184,26.12,66.07,62.27,23.58,0,0,0,0,0,0,27.35
CHCF,37.89778736654379,-121.1905848230992,13.0,184,26.99,77.68,63.92,23.65,4,0,0,0,0,0,27.39
CCWF,37.0936807963828,-120.15270979438849,85.0,184,26.42,78.53,64.49,24.4,11,0,0,0,0,0,28.77
VSP,37.105477428630245,-120.15547185750694,87.0,184,26.42,78.53,64.49,24.4,11,0,0,0,0,0,28.77
HDSP,40.40786908373915,-120.51339082085426,1267.0,184,18.09,66.28,56.27,26.22,0,0,0,0,0,0,30.84
COR,36.060818292814254,-119.54912102574772,55.0,184,23.05,64.87,63.96,26.92,24,0,1,0,0,0,32.13
SATF,36.05395908338128,-119.54782062864966,55.0,184,23.05,64.87,63.96,26.92,24,0,1,0,0,0,32.13
PVSP,36.131473239777144,-120.24889960644474,173.0,184,21.87,66.35,63.68,27.16,15,0,0,0,0,0,31.85
KVSP,35.76647451591408,-119.32536275967016,77.0,184,21.76,64.55,63.69,27.48,20,0,1,0,1,0,32.44
NKSP,35.78188517301339,-119.30987566982682,78.0,184,21.76,64.55,63.69,27.48,20,0,1,0,1,0,32.44
ASP,35.97394943680589,-120.123101823151,235.0,184,20.88,60.88,62.74,27.74,8,0,0,0,0,0,32.98
WSP,35.59431194493489,-119.40833193657431,88.0,184,20.91,63.55,63.76,28.2,25,0,1,0,1,0,33.25
LAC,34.693596500791955,-118.2276135961975,716.0,184,15.29,51.43,59.45,30.43,0,0,0,0,0,0,35.23
CAL,33.16569335411168,-115.4843440200192,-48.0,184,18.69,56.77,67.76,31.72,93,10,50,0,33,0,36.24
CEN,32.82339731050856,-115.7890554901459,-4.0,184,18.0,56.78,68.11,32.55,101,13,55,0,34,0,37.17
ISP,33.56097662668156,-114.9260675684116,139.0,184,16.99,49.56,67.87,33.41,101,11,62,0,33,0,37.79
