cdcr_code,facility_name,cluster,average_2025_population,days_outdoor_90f_2025,days_outdoor_above_78f_2025,days_indoor_above_78f_2025,ratio_indoor_to_outdoor_78f,pct_buildings_refrigeration,pct_buildings_evaporation,pct_buildings_ventilation,year_opened,elevation_m,uhi_normalized,latitude,longitude,hotnights_pre_pct,avg_tmin_f_2025,envelope_work,ratio_indoor_to_outdoor,capacity_percent_2025,securelvl,cap_pct,cooling_type,cluster_v2
PBSP,Pelican Bay State Prison,A,2096.0,0,4,63,15.75,0.0345,0.0,0.9655,1989.0,30.0,0.3096,41.85480855418667,-124.1490751163596,0.0,50.6,—,15.75,1.1618,MAXIMUM,116.18,ventilation,A
CTF,Correctional Training Facility,A,4225.0,3,31,60,1.935,0.0,0.0455,0.9545,1946.0,65.0,0.0,36.46964827416208,-121.38223254073095,4.247949668576568,54.2,active,1.935,1.5088,MEDIUM,150.88,ventilation,A
RJD,R J Donovan Correctional Facility,A,3592.0,2,59,114,1.932,0.3478,0.0,0.6522,1987.0,180.0,0.0,32.58456492210108,-116.9335763874008,5.169666758977201,60.3,2021,1.932,1.2003,MAXIMUM,120.03,ventilation,A
SQ,San Quentin State Prison,A,2688.0,1,29,41,1.414,0.0,0.0,1.0,1852.0,1.0,0.0,37.940039851419016,-122.4903665969169,6.016209000762774,53.5,partial (2019),1.414,0.8716,MAXIMUM,87.16000000000001,ventilation,A
CCI,California Correctional Institution,A,2434.0,4,90,115,1.278,0.0455,0.0,0.9545,1954.0,1192.0,0.0,35.10991555190383,-118.57033067748,9.043478260869566,57.6,2025,1.278,1.6139,MAXIMUM,161.39,ventilation,A
FOL,Folsom State Prison,A,2777.0,71,144,158,1.097,0.25,0.75,0.0,1880.0,83.0,0.0,38.69538346625723,-121.1630323451162,6.502036819428132,58.7,partial (2016),1.097,1.3448,MEDIUM,134.48,evaporation,C
SOL,"California State Prison, Solano",C,3735.0,54,146,159,1.089,0.16,0.24,0.6,1984.0,42.0,0.5815,38.320776607604,-121.97523692020748,6.478260869565202,56.4,2025,1.089,1.4401,MAXIMUM,144.01,ventilation,A
SCC,Sierra Conservation Center,C,4035.0,70,148,154,1.041,0.0,0.0617,0.9383,1965.0,329.0,0.0,37.89168865412792,-120.53654018648405,8.557971014492749,60.7,2020,1.041,0.8116,MEDIUM,81.16,ventilation,A
CIM,California Institution For Men,B,2274.0,74,162,161,0.994,0.4286,0.0,0.5714,1941.0,189.0,1.0,33.98471244959707,-117.68239170046569,5.521279043018175,60.5,—,0.994,1.4177,MAXIMUM,141.76999999999998,ventilation,A
COR,"California State Prison, Corcoran",C,2629.0,111,163,159,0.975,0.0,1.0,0.0,1988.0,55.0,0.5779,36.060818292814254,-119.54912102574772,8.652898550724656,60.8,active,0.975,0.8443,MAXIMUM,84.43,evaporation,C
CRC,California Rehabilitation Center,C,2330.0,66,155,149,0.961,0.0833,0.0278,0.8889,1962.0,199.0,0.5713,33.9292530412966,-117.5725312861978,5.8182194616977165,60.1,—,0.961,1.2787,MEDIUM,127.87,ventilation,A
