facilityid,name,latitude,longitude,baseline_summer_avg_tmax_f,n_summer_days,grid_elevation_m,source,retrieved
10006510,Otay Mesa Detention Center,32.57596504758365,-116.91564013788977,79.49,2760,203.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10001521,Del Norte County Jail,41.75310253863079,-124.20082671366757,65.82,2760,9.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000914,Dorothy Kirby Center,34.011725929422504,-118.16917483066176,84.12,2760,51.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006313,Baldwin Park Jail,34.08542320534737,-117.95972580356398,87.5,2760,118.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006488,Claremont Jail,34.096233053161434,-117.72245587010627,87.3,2760,355.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006489,Concord Jail,37.97087039089063,-122.031692397237,82.99,2760,24.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006495,Monrovia Jail,34.14789596650148,-117.9992566100296,86.81,2760,177.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006498,Signal Hill City Jail,33.80680219254155,-118.17245189767004,78.91,2760,38.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006492,Culver City Jail,34.020764242179446,-118.39508559710085,83.1,2760,33.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006179,Fci Mendota,36.73364122914027,-120.3924603239434,95.66,2760,56.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000864,Usp Lompoc,34.679187474299496,-120.50548010652062,69.47,2760,36.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002351,Bell City Jail,33.97910744065924,-118.18841160133736,84.17,2760,47.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000771,Alder Conservation Camp #20,41.50102605418069,-124.0614026616772,67.26,2760,292.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005258,Sugar Pine Conservation Camp #9,40.74594991511181,-122.0926140282548,89.37,2760,542.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000871,Mcc San Diego,32.713963558611916,-117.1660704622264,75.13,2760,14.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005267,Salt Creek Conservation Camp #7,39.81202088855824,-122.62925447861537,92.7,2760,449.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005319,Owens Valley Conservation Camp #26,37.38924437916502,-118.55153489518936,88.21,2760,1417.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005362,Ventura Conservation Camp #46,34.246176183785806,-119.10677775352286,76.62,2760,37.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000840,Prado Conservation Camp #28,33.99116711079797,-117.68683207528083,86.47,2760,195.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005275,Valley View Conservation Camp #34,39.65246297492119,-122.72173226828056,82.1,2760,1389.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000874,Western Region Detention Facility,32.7173817496747,-117.16523774875972,75.15,2760,13.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000849,Mesa Verde Ice Processing Center,35.37971816195629,-119.00641253053884,93.71,2760,126.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000897,Glendale City Jail,34.14735399725111,-118.2493590354608,86.13,2760,174.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000911,Torrance City Jail,33.83986898172371,-118.34228828447392,78.08,2760,31.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000777,Sutter County Jail,39.14285926968739,-121.63782617479472,93.42,2760,20.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000823,Tulare County Men'S Correctional Facility,36.44508173488965,-119.32043337950851,95.31,2760,96.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005263,Antelope Conservation Camp #25,40.40164182151751,-120.51004710820791,85.17,2760,1249.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000772,Herlong Fci,40.151192472135286,-120.16619206516069,85.2,2760,1234.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000814,Ben Lomond Conservation Camp #45,37.130265033493735,-122.1690670677042,60.81,2760,806.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002347,Calipatria State Prison (Cal),33.16569335411168,-115.4843440200192,105.83,2760,-46.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002348,Centinela State Prison (Cen),32.82339731050856,-115.7890554901459,105.78,2760,-4.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006310,Adelanto Ice Processing Center,34.55969543666143,-117.44071494857548,93.64,2760,898.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005361,El Centro Service Processing Center,32.80301930673736,-115.56681652692428,106.61,2760,-13.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006491,Covina Jail,34.08995454335269,-117.8886708557222,86.83,2760,172.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000781,Sacramento County Work Release,38.600280065057795,-121.49413045068547,91.47,2760,11.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000859,Larry D Smith Correctional Facility,33.91003189843904,-116.87021077101804,90.99,2760,669.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000835,Glen Helen Rehabilitation Center,34.17753047412101,-117.38931449983622,92.02,2760,509.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10001539,Oxnard City Jail,34.200843775017155,-119.18149015571184,74.38,2760,18.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000891,Pitchess Detention Center-South,34.46605502608862,-118.5996116034917,89.66,2760,357.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002330,Fci Dublin Camp,37.717950171696266,-121.8948186675473,82.67,2760,114.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000863,Fci Lompoc,34.676755382981256,-120.4994620676944,69.46,2760,37.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
