facilityid,slug,name,first_seen,retired
10005364,77th-street-regional-jail,77Th Street Regional Jail,2026-07-16,
10002349,acton-conservation-camp-11,Acton Conservation Camp #11,2026-07-16,
10006310,adelanto-ice-processing-center,Adelanto Ice Processing Center,2026-07-16,
10000771,alder-conservation-camp-20,Alder Conservation Camp #20,2026-07-16,
10000895,alhambra-city-jail,Alhambra City Jail,2026-07-16,
10005296,amador-county-jail,Amador County Jail,2026-07-16,
10006482,anaheim-detention-facility,Anaheim Detention Facility,2026-07-16,
10005263,antelope-conservation-camp-25,Antelope Conservation Camp #25,2026-07-16,
10006483,arcadia-police-department-jail,Arcadia Police Department Jail,2026-07-16,
10000826,avenal-state-prison,Avenal State Prison,2026-07-16,
10006484,azusa-police-department-jail,Azusa Police Department Jail,2026-07-16,
10006313,baldwin-park-jail,Baldwin Park Jail,2026-07-16,
10000912,barry-j-nidorf-juvenile-hall,Barry J Nidorf Juvenile Hall,2026-07-16,
10000789,baseline-conservation-camp-30,Baseline Conservation Camp #30,2026-07-16,
10000858,bautista-conservation-camp-36,Bautista Conservation Camp #36,2026-07-16,
10002351,bell-city-jail,Bell City Jail,2026-07-16,
10000814,ben-lomond-conservation-camp-45,Ben Lomond Conservation Camp #45,2026-07-16,
10006906,berkeley-jail-facility,Berkeley Jail Facility,2026-07-16,
10006485,beverly-hills-jail,Beverly Hills Jail,2026-07-16,
10002338,bob-wiley-detention-facility,Bob Wiley Detention Facility,2026-07-16,
10006486,buena-park-city-jail,Buena Park City Jail,2026-07-16,
10002352,burbank-city-jail,Burbank City Jail,2026-07-16,
10005271,butte-county-jail,Butte County Jail,2026-07-16,
10005270,butte-county-juvenile-hall,Butte County Juvenile Hall,2026-07-16,
10000825,ca-substance-abuse-treatment-facility-satf,Ca Substance Abuse Treatment Facility (Satf),2026-07-16,
10006306,cai-boston-avenue,Cai - Boston Avenue,2026-07-16,
10006307,cai-ocean-view,Cai - Ocean View,2026-07-16,
10005298,calaveras-county-jail,Calaveras County Jail,2026-07-16,
10000852,california-city-correctional-center-cac,California City Correctional Center (Cac),2026-07-16,
10001530,california-correctional-institution-cci,California Correctional Institution (Cci),2026-07-16,
10000799,california-health-care-facility-chcf,California Health Care Facility (Chcf),2026-07-16,
10000836,california-institution-for-men-cim,California Institution For Men (Cim),2026-07-16,
10002341,california-institution-for-women-ciw,California Institution For Women (Ciw),2026-07-16,
10000785,california-medical-facility-cmf,California Medical Facility (Cmf),2026-07-16,
10002345,california-mens-colony-cmc,California Men'S Colony (Cmc),2026-07-16,
10000857,california-rehabilitation-center-crc,California Rehabilitation Center (Crc),2026-07-16,
10000824,california-state-prison-corcoran-cor,"California State Prison, Corcoran (Cor)",2026-07-16,
10002353,california-state-prison-los-angeles-county-lac,California State Prison-Los Angeles County (Lac),2026-07-16,
10002322,california-state-prison-sacramento-sac,"California State Prison, Sacramento (Sac)",2026-07-16,
10002323,california-state-prison-solano-sol,"California State Prison, Solano (Sol)",2026-07-16,
10002347,calipatria-state-prison-cal,Calipatria State Prison (Cal),2026-07-16,
10000900,camp-afflerbaugh,Camp Afflerbaugh,2026-07-16,
10006703,camp-erwin-owen,Camp Erwin Owen,2026-07-16,
10006220,camp-gonzales,Camp Gonzales,2026-07-16,
10006221,camp-kilpatrick,Camp Kilpatrick,2026-07-16,
10006224,camp-mendenhall,Camp Mendenhall,2026-07-16,
10006222,camp-miller,Camp Miller,2026-07-16,
10006223,camp-munz,Camp Munz,2026-07-16,
10006225,camp-paige,Camp Paige,2026-07-16,
10006226,camp-rockey,Camp Rockey,2026-07-16,
10006228,camp-scott,Camp Scott,2026-07-16,
10006229,camp-scudder,Camp Scudder,2026-07-16,
10006698,camp-wilmont-sweeney,Camp Wilmont Sweeney,2026-07-16,
10006705,carl-f-bryan-ii-juvenile-hall,Carl F. Bryan Ii Juvenile Hall,2026-07-16,
10002348,centinela-state-prison-cen,Centinela State Prison (Cen),2026-07-16,
10000801,central-california-womens-facility-ccfw,Central California Women'S Facility (Ccfw),2026-07-16,
10000834,central-detention-center,Central Detention Center,2026-07-16,
10005350,central-jail-complex,Central Jail Complex,2026-07-16,
10002355,central-juvenile-hall,Central Juvenile Hall,2026-07-16,
10000851,central-valley-annex,Central Valley Annex,2026-07-16,
10005329,central-valley-juvenile-detention-and-assessment-center,Central Valley Juvenile Detention And Assessment Center,2026-07-16,
10002356,century-regional-detention-center,Century Regional Detention Center,2026-07-16,
10005273,chamberlain-creek-conservation-camp-17,Chamberlain Creek Conservation Camp #17,2026-07-16,
10005246,charlies-place-juvenile-day-reporting-center,Charlie'S Place Juvenile Day Reporting Center,2026-07-16,
10002346,chuckawalla-valley-state-prison-cvsp,Chuckawalla Valley State Prison (Cvsp),2026-07-16,
10006487,chula-vista-jail,Chula Vista Jail,2026-07-16,
10006488,claremont-jail,Claremont Jail,2026-07-16,
10005340,cois-m-byrd-detention-center,Cois M. Byrd Detention Center,2026-07-16,
10005286,colusa-county-jail,Colusa County Jail,2026-07-16,
10006489,concord-jail,Concord Jail,2026-07-16,
10000817,correctional-training-facility-ctf,Correctional Training Facility (Ctf),2026-07-16,
10006490,costa-mesa-jail,Costa Mesa Jail,2026-07-16,
10006491,covina-jail,Covina Jail,2026-07-16,
10000855,cuesta-conservation-camp-24,Cuesta Conservation Camp #24,2026-07-16,
10006492,culver-city-jail,Culver City Jail,2026-07-16,
10005248,deadwood-conservation-camp-23,Deadwood Conservation Camp #23,2026-07-16,
10001521,del-norte-county-jail,Del Norte County Jail,2026-07-16,
10005249,del-norte-juvenile-hall,Del Norte Juvenile Hall,2026-07-16,
10000843,delano-modified-community-correctional-facility,Delano Modified Community Correctional Facility,2026-07-16,
10000786,delta-conservation-camp-8,Delta Conservation Camp #8,2026-07-16,
10006532,department-of-state-hospitals-atascadero,Department Of State Hospitals - Atascadero,2026-07-16,
10006531,department-of-state-hospitals-coalinga,Department Of State Hospitals - Coalinga,2026-07-16,
10002340,desert-view-annex,Desert View Annex,2026-07-16,
10005251,devils-garden-conservation-camp-40,Devils Garden Conservation Camp #40,2026-07-16,
10000914,dorothy-kirby-center,Dorothy Kirby Center,2026-07-16,
10000896,downey-city-jail,Downey City Jail,2026-07-16,
10005354,east-mesa-juvenile-detention-facility,East Mesa Juvenile Detention Facility,2026-07-16,
10001537,east-mesa-reentry-facility,East Mesa Reentry Facility,2026-07-16,
10005252,eel-river-conservation-camp-31,Eel River Conservation Camp #31,2026-07-16,
10005361,el-centro-service-processing-center,El Centro Service Processing Center,2026-07-16,
10005288,el-dorado-county-jail-placerville,El Dorado County Jail - Placerville,2026-07-16,
10005289,el-dorado-county-jail-south-lake-tahoe,El Dorado County Jail - South Lake Tahoe,2026-07-16,
10006493,el-monte-jail,El Monte Jail,2026-07-16,
10002333,elmwood-correctional-complex,Elmwood Correctional Complex,2026-07-16,
10005360,facility-8-detention-facility,Facility 8 Detention Facility,2026-07-16,
10005303,fci-dublin,Fci Dublin,2026-07-16,
10002330,fci-dublin-camp,Fci Dublin Camp,2026-07-16,
10000863,fci-lompoc,Fci Lompoc,2026-07-16,
10006179,fci-mendota,Fci Mendota,2026-07-16,
10006180,fci-mendota-camp,Fci Mendota Camp,2026-07-16,
10000887,fci-terminal-island,Fci Terminal Island,2026-07-16,
10000832,fci-victorville-medium-i,Fci Victorville Medium I,2026-07-16,
10000833,fci-victorville-medium-i-camp,Fci Victorville Medium I Camp,2026-07-16,
10000831,fci-victorville-medium-ii,Fci Victorville Medium Ii,2026-07-16,
10000901,fenner-canyon-conservation-camp-41,Fenner Canyon Conservation Camp #41,2026-07-16,
10000780,folsom-state-prison-fsp,Folsom State Prison (Fsp),2026-07-16,
10006530,folsom-womens-facility-fwf,Folsom Women'S Facility (Fwf),2026-07-16,
10006316,fontana-city-jail,Fontana City Jail,2026-07-16,
10000902,francisquito-conservation-camp-4,Francisquito Conservation Camp #4,2026-07-16,
10005304,fremont-detention-facility,Fremont Detention Facility,2026-07-16,
10005312,fresno-county-jail-north-annex,Fresno County Jail North Annex,2026-07-16,
10005313,fresno-county-jail-south-annex,Fresno County Jail South Annex,2026-07-16,
10006702,fresno-county-juvenile-justice-campus,Fresno County Juvenile Justice Campus,2026-07-16,
10005311,fresno-county-main-detention-facility,Fresno County Main Detention Facility,2026-07-16,
10006494,fullerton-city-jail,Fullerton City Jail,2026-07-16,
10000822,gabilan-conservation-camp-38,Gabilan Conservation Camp #38,2026-07-16,
10006317,garden-grove-city-jail,Garden Grove City Jail,2026-07-16,
10001538,george-f-bailey-detention-facility,George F Bailey Detention Facility,2026-07-16,
10005356,girls-rehabilitation-facility,Girls Rehabilitation Facility,2026-07-16,
10000835,glen-helen-rehabilitation-center,Glen Helen Rehabilitation Center,2026-07-16,
10000897,glendale-city-jail,Glendale City Jail,2026-07-16,
10000898,glendora-city-jail,Glendora City Jail,2026-07-16,
10002312,glenn-county-jail,Glenn County Jail,2026-07-16,
10000850,golden-state-annex,Golden State Annex,2026-07-16,
10005290,growlersburg-conservation-camp-33,Growlersburg Conservation Camp #33,2026-07-16,
10000899,hawthorne-city-jail,Hawthorne City Jail,2026-07-16,
10006904,hayward-detention-facility,Hayward Detention Facility,2026-07-16,
10000772,herlong-fci,Herlong Fci,2026-07-16,
10005261,herlong-fci-camp,Herlong Fci Camp,2026-07-16,
10000828,high-desert-detention-center,High Desert Detention Center,2026-07-16,
10005333,high-desert-juvenile-detention-and-assesment-center,High Desert Juvenile Detention And Assesment Center,2026-07-16,
10002310,high-desert-state-prison-hdsp,High Desert State Prison (Hdsp),2026-07-16,
10005253,high-rock-conservation-camp-32,High Rock Conservation Camp #32,2026-07-16,
10006204,holton-conservation-camp-16,Holton Conservation Camp #16,2026-07-16,
10005254,humboldt-county-correctional-facility,Humboldt County Correctional Facility,2026-07-16,
10006902,huntington-beach-city-jail,Huntington Beach City Jail,2026-07-16,
10006909,huntington-park-jail,Huntington Park Jail,2026-07-16,
10000880,imperial-county-jail,Imperial County Jail,2026-07-16,
10006509,imperial-regional-detention-facility,Imperial Regional Detention Facility,2026-07-16,
10005341,indio-juvenile-hall,Indio Juvenile Hall,2026-07-16,
10000889,inmate-reception-center,Inmate Reception Center,2026-07-16,
10000774,intermountain-conservation-camp-22,Intermountain Conservation Camp #22,2026-07-16,
10005320,inyo-county-jail,Inyo County Jail,2026-07-16,
10000809,iris-garrett-juvenile-justice-complex,Iris Garrett Juvenile Justice Complex,2026-07-16,
10000861,ironwood-state-prison-isp,Ironwood State Prison (Isp),2026-07-16,
10005264,ishi-conservation-camp-18,Ishi Conservation Camp #18,2026-07-16,
10005349,james-a-musick-facility,James A Musick Facility,2026-07-16,
10006242,james-g-bowles-juvenile-hall,James G Bowles Juvenile Hall,2026-07-16,
10006699,john-a-davis-juvenile-hall,John A. Davis Juvenile Hall,2026-07-16,
10000862,john-j-benoit-detention-center,John J. Benoit Detention Center,2026-07-16,
10000808,john-latorraca-correctional-facility,John Latorraca Correctional Facility,2026-07-16,
10005348,joplin-youth-center,Joplin Youth Center,2026-07-16,
10000904,julius-klein-conservation-camp-19,Julius Klein Conservation Camp #19,2026-07-16,
10000875,kearny-mesa-juvenile-detention-facility,Kearny Mesa Juvenile Detention Facility,2026-07-16,
10002343,kern-county-central-receiving-facility,Kern County Central Receiving Facility,2026-07-16,
10007007,kern-county-lerdo-justice-facility,Kern County - Lerdo Justice Facility,2026-07-16,
10005337,kern-county-lerdo-maximum-medium-facility,Kern County Lerdo Maximum-Medium Facility,2026-07-16,
10005338,kern-county-lerdo-minimum-facility,Kern County Lerdo Minimum Facility,2026-07-16,
10005336,kern-county-lerdo-pre-trial-facility,Kern County Lerdo Pre-Trial Facility,2026-07-16,
10000844,kern-valley-state-prison-kvsp,Kern Valley State Prison (Kvsp),2026-07-16,
10000827,kings-county-jail,Kings County Jail,2026-07-16,
10005325,kings-county-juvenile-detention-center,Kings County Juvenile Detention Center,2026-07-16,
10005282,konocti-conservation-camp-27,Konocti Conservation Camp #27,2026-07-16,
10006347,la-cima-conservation-camp-42,La Cima Conservation Camp #42,2026-07-16,
10005280,lake-county-hill-road-jail,Lake County Hill Road Jail,2026-07-16,
10005369,lapd-foothill-area-jail,Lapd Foothill Area Jail,2026-07-16,
10005370,lapd-hollywood-area-jail,Lapd Hollywood Area Jail,2026-07-16,
10005368,lapd-metropolitan-detention-center,Lapd Metropolitan Detention Center,2026-07-16,
10005371,lapd-valley-jail-section,Lapd Valley Jail Section,2026-07-16,
10000859,larry-d-smith-correctional-facility,Larry D Smith Correctional Facility,2026-07-16,
10005334,larry-j-rhoades-kern-crossroads-facility,Larry J Rhoades Kern Crossroads Facility,2026-07-16,
10000876,las-colinas-detention-and-reentry-facility,Las Colinas Detention And Reentry Facility,2026-07-16,
10000775,lassen-county-adult-detention-facility,Lassen County Adult Detention Facility,2026-07-16,
10005262,lassen-county-juvenile-detention-facility,Lassen County Juvenile Detention Facility,2026-07-16,
10000893,long-beach-city-jail,Long Beach City Jail,2026-07-16,
10006710,los-prietos-boys-camp,Los Prietos Boys Camp,2026-07-16,
10005308,madera-adult-correctional-facility,Madera Adult Correctional Facility,2026-07-16,
10000803,madera-county-juvenile-detention-facility,Madera County Juvenile Detention Facility,2026-07-16,
10000804,madera-county-juvenile-hall,Madera County Juvenile Hall,2026-07-16,
10005309,maguire-correctional-facility,Maguire Correctional Facility,2026-07-16,
10000905,malibu-conservation-camp-13,Malibu Conservation Camp #13,2026-07-16,
10006709,maple-street-correctional-center,Maple Street Correctional Center,2026-07-16,
10001524,marin-county-jail,Marin County Jail,2026-07-16,
10000791,marin-county-juvenile-hall,Marin County Juvenile Hall,2026-07-16,
10005306,mariposa-county-adult-detention-facility,Mariposa County Adult Detention Facility,2026-07-16,
10006704,mariposa-county-juvenile-detention-facility,Mariposa County Juvenile Detention Facility,2026-07-16,
10002324,marsh-creek-detention-facility,Marsh Creek Detention Facility,2026-07-16,
10002326,martinez-detention-facility,Martinez Detention Facility,2026-07-16,
10005279,maxine-singer-youth-guidance-center,Maxine Singer Youth Guidance Center,2026-07-16,
10000871,mcc-san-diego,Mcc San Diego,2026-07-16,
10000878,mccain-valley-conservation-camp-21,Mccain Valley Conservation Camp #21,2026-07-16,
10002344,mcfarland-female-community-reentry-facility,Mcfarland Female Community Reentry Facility,2026-07-16,
10000892,mdc-los-angeles,Mdc Los Angeles,2026-07-16,
10002311,mendocino-county-jail-sheriff,Mendocino County Jail / Sheriff,2026-07-16,
10005274,mendocino-county-juvenile-hall,Mendocino County Juvenile Hall,2026-07-16,
10000888,mens-central-jail,Men'S Central Jail,2026-07-16,
10000807,merced-county-jail,Merced County Jail,2026-07-16,
10000849,mesa-verde-ice-processing-center,Mesa Verde Ice Processing Center,2026-07-16,
10002354,mira-loma-detention-center,Mira Loma Detention Center,2026-07-16,
10000811,miramonte-conservation-camp-5,Miramonte Conservation Camp #5,2026-07-16,
10005250,modoc-county-jail,Modoc County Jail,2026-07-16,
10005335,mojave-jail,Mojave Jail,2026-07-16,
10005295,mono-county-jail,Mono County Jail,2026-07-16,
10006495,monrovia-jail,Monrovia Jail,2026-07-16,
10000906,montebello-city-jail,Montebello City Jail,2026-07-16,
10000818,monterey-county-jail-rehabilitation-facility,Monterey County Jail / Rehabilitation Facility,2026-07-16,
10000819,monterey-county-juvenile-hall,Monterey County Juvenile Hall,2026-07-16,
10000820,monterey-county-youth-center,Monterey County Youth Center,2026-07-16,
10000907,monterey-park-city-jail,Monterey Park City Jail,2026-07-16,
10005305,mount-bullion-conservation-camp-39,Mount Bullion Conservation Camp #39,2026-07-16,
10005324,mountain-home-conservation-camp-10,Mountain Home Conservation Camp #10,2026-07-16,
10000782,mule-creek-state-prison-mcsp,Mule Creek State Prison (Mcsp),2026-07-16,
10002319,napa-county-jail,Napa County Jail,2026-07-16,
10005291,napa-county-juvenile-justice-center,Napa County Juvenile Justice Center,2026-07-16,
10000856,norco-conservation-camp-0,Norco Conservation Camp #0,2026-07-16,
10002350,north-county-correctional-facility,North County Correctional Facility,2026-07-16,
10002320,north-county-detention-facility,North County Detention Facility,2026-07-16,
10000841,north-kern-state-prison-nksp,North Kern State Prison (Nksp),2026-07-16,
10007001,northern-branch-jail,Northern Branch Jail,2026-07-16,
10000793,o-h-close-youth-correctional-facility,O.H.Close Youth Correctional Facility,2026-07-16,
10000838,oak-glen-conservation-camp-35,Oak Glen Conservation Camp #35,2026-07-16,
10006903,ontario-city-jail,Ontario City Jail,2026-07-16,
10005347,orange-county-juvenile-hall,Orange County Juvenile Hall,2026-07-16,
10006510,otay-mesa-detention-center,Otay Mesa Detention Center,2026-07-16,
10005319,owens-valley-conservation-camp-26,Owens Valley Conservation Camp #26,2026-07-16,
10001539,oxnard-city-jail,Oxnard City Jail,2026-07-16,
10005366,pacific-area-community-jail,Pacific Area Community Jail,2026-07-16,
10005272,parlin-fork-conservation-camp-6,Parlin Fork Conservation Camp #6,2026-07-16,
10006905,pasadena-jail,Pasadena Jail,2026-07-16,
10002309,pelican-bay-state-prison-pbsp,Pelican Bay State Prison (Pbsp),2026-07-16,
10005328,pilot-rock-conservation-fire-camp-15,Pilot Rock Conservation Fire Camp #15,2026-07-16,
10000784,pine-grove-conservation-camp,Pine Grove Conservation Camp,2026-07-16,
10000890,pitchess-detention-center-north,Pitchess Detention Center-North,2026-07-16,
10000891,pitchess-detention-center-south,Pitchess Detention Center-South,2026-07-16,
10002314,placer-county-jail,Placer County Jail,2026-07-16,
10006439,placer-county-juvenile-detention-center,Placer County Juvenile Detention Center,2026-07-16,
10000810,pleasant-valley-state-prison-pvsp,Pleasant Valley State Prison(Pvsp),2026-07-16,
10005269,plumas-county-correctional-facility,Plumas County Correctional Facility,2026-07-16,
10000909,pomona-city-jail,Pomona City Jail,2026-07-16,
10000840,prado-conservation-camp-28,Prado Conservation Camp #28,2026-07-16,
10000879,puerta-la-cruz-conservation-camp-14,Puerta La Cruz Conservation Camp #14,2026-07-16,
10000869,r-j-donovan-correctional-facility-rjd,R J Donovan Correctional Facility (Rjd),2026-07-16,
10000877,rainbow-conservation-camp-2,Rainbow Conservation Camp #2,2026-07-16,
10006496,redondo-beach-jail,Redondo Beach Jail,2026-07-16,
10005330,regional-youth-educational-facility,Regional Youth Educational Facility,2026-07-16,
10000779,rio-cosumnes-correctional-center,Rio Cosumnes Correctional Center,2026-07-16,
10001535,riverside-county-blythe-jail,Riverside County Blythe Jail,2026-07-16,
10000860,riverside-county-juvenile-hall,Riverside County Juvenile Hall,2026-07-16,
10001536,robert-presley-detention-center,Robert Presley Detention Center,2026-07-16,
