cdcr_code,name,latitude,longitude,population_2025,hazard_score,exposure_score,vulnerability_score,days_over_90f_midcentury,risk_score,risk_category
COR,"California State Prison, Corcoran",36.060818,-119.549121,2629.0,0.87,0.66,0.46,141.9,100.0,Critical
SATF,Ca Substance Abuse Treatment Facility,36.053959,-119.547821,5358.0,0.87,0.61,0.49,141.9,97.83,Critical
CIM,California Institution For Men,33.984712,-117.682392,2274.0,0.79,0.52,0.53,111.7,82.72,Critical
CMF,California Medical Facility,38.32851,-121.979165,2045.0,0.49,0.49,0.66,90.3,60.93,High
SAC,"California State Prison, Sacramento",38.694444,-121.153904,2131.0,0.6,0.42,0.62,104.1,58.68,High
VSP,Valley State Prison,37.105477,-120.155472,3148.0,0.74,0.36,0.5,130.8,50.3,High
LAC,California State Prison-Los Angeles County,34.693597,-118.227614,2949.0,0.75,0.3,0.56,125.4,47.41,High
NKSP,North Kern State Prison,35.781885,-119.309876,2570.0,0.81,0.62,0.24,139.3,44.92,High
SOL,"California State Prison, Solano",38.320777,-121.975237,3735.0,0.49,0.63,0.38,90.3,44.68,Moderate
CIW,California Institution For Women,33.949745,-117.636365,1187.0,0.72,0.54,0.29,115.2,42.59,Moderate
KVSP,Kern Valley State Prison,35.766475,-119.325363,3092.0,0.79,0.33,0.42,142.5,41.26,Moderate
RJD,R J Donovan Correctional Facility,32.584565,-116.933576,3592.0,0.48,0.37,0.62,29.3,40.89,Moderate
WSP,Wasco State Prison,35.594312,-119.408332,3676.0,0.76,0.59,0.24,145.1,40.06,Moderate
CCWF,Central California Women'S Facility,37.093681,-120.15271,2040.0,0.74,0.43,0.3,130.8,36.42,Moderate
CRC,California Rehabilitation Center,33.929253,-117.572531,2330.0,0.69,0.43,0.29,124.8,32.96,Moderate
CCI,California Correctional Institution,35.109916,-118.570331,2434.0,0.54,0.51,0.31,38.3,32.52,Moderate
FOL,Folsom State Prison,38.695383,-121.163032,2777.0,0.6,0.44,0.3,104.1,30.11,Moderate
MCSP,Mule Creek State Prison,38.370743,-120.953446,3761.0,0.54,0.29,0.5,118.2,29.07,Moderate
HDSP,High Desert State Prison,40.407869,-120.513391,2719.0,0.53,0.39,0.34,66.7,26.62,Moderate
ASP,Avenal State Prison,35.973949,-120.123102,3891.0,0.59,0.47,0.19,125.7,20.13,Low
PVSP,Pleasant Valley State Prison,36.131473,-120.2489,2992.0,0.5,0.41,0.21,112.6,15.82,Low
CHCF,California Health Care Facility,37.897787,-121.190585,2251.0,0.66,0.09,0.72,116.4,15.28,Low
CTF,Correctional Training Facility,36.469648,-121.382233,4225.0,0.27,0.37,0.39,39.7,15.17,Low
CAL,Calipatria State Prison,33.165693,-115.484344,2462.0,0.71,0.22,0.21,205.1,12.7,Low
SQ,San Quentin State Prison,37.94004,-122.490367,2688.0,0.36,0.18,0.46,15.0,11.27,Low
SVSP,Salinas Valley State Prison,36.478857,-121.374394,2387.0,0.27,0.23,0.46,39.7,10.82,Low
SCC,Sierra Conservation Center,37.891689,-120.53654,4035.0,0.62,0.49,0.09,117.5,10.44,Low
PBSP,Pelican Bay State Prison,41.854809,-124.149075,2096.0,0.09,0.65,0.34,1.3,7.23,Low
CMC,California Men'S Colony,35.324574,-120.6989,2172.0,0.1,0.33,0.5,8.4,6.22,Low
CEN,Centinela State Prison,32.823397,-115.789055,2984.0,0.8,0.07,0.24,198.3,4.82,Low
ISP,Ironwood State Prison,33.560977,-114.926068,2764.0,0.93,0.0,0.29,199.3,0.01,Low
