facilityid,name,address,city,state,zip,telephone,type,status,population,county,countyfips,country,website,securelvl,capacity,geometry,cdcr_code,cdcr_firecamp,longitude,latitude,tract_geoid,average_2025_population,capacity_percent,capacity_percent_2025,year_opened,year_opened_notes,reentry_hub,planned_closure,california_model_facility,cdcr_air_cooling_pilot
10006510,Otay Mesa Detention Center,7488 Calzada De La Fuente,San Diego,CA,92154,(619) 671-8750,FEDERAL,OPEN,1225.0,SAN DIEGO,06073,USA,https://www.ice.gov/detention-facility/otay-mesa-detention-center,MEDIUM,,"POLYGON ((-116.917337022586 32.5767790763933, -116.917237085423 32.5768575979998, -116.914403147187 32.5768575979998, -116.913946290689 32.5766006158258, -116.91393915187 32.5750658642983, -116.916944410956 32.5750801410358, -116.91736557606 32.5754370603721, -116.917337022586 32.5767790763933))",None,False,-116.91564013788975,32.57596504758365,06073010015,,,,,,,,,
10001521,Del Norte County Jail,650 5Th Street,Crescent City,CA,95531,(707) 464-4191,COUNTY,OPEN,,DEL NORTE,06015,USA,https://www.co.del-norte.ca.us/departments/sheriff,NOT AVAILABLE,,"POLYGON ((-124.201360515875 41.7531399445529, -124.200821553971 41.7534039594252, -124.200625124949 41.753201709991, -124.200443306314 41.7532889073572, -124.200285837721 41.753110880263, -124.200904303291 41.7527765123263, -124.20115272302 41.753044270177, -124.201230644778 41.7530006719435, -124.201360515875 41.7531399445529))",None,False,-124.20082671366755,41.75310253863079,06015000101,,,,,,,,,
10000914,Dorothy Kirby Center,1500 S Mcdonnell Ave,Commerce,CA,90040,(323) 981-4301,COUNTY,OPEN,,LOS ANGELES,06037,USA,https://probation.lacounty.gov/sytf/,JUVENILE,,"POLYGON ((-118.170333502689 34.0111069650144, -118.170068622669 34.0115716267292, -118.170247263101 34.0116380065888, -118.169705184147 34.0126183854302, -118.167795587097 34.011959694984, -118.16822062738 34.0112958936906, -118.168565585733 34.011449078812, -118.168793506315 34.0109793098473, -118.170333502689 34.0111069650144))",None,False,-118.16917483066177,34.011725929422504,06037532302,,,,,,,,,
10006313,Baldwin Park Jail,14403 East Pacific Avenue,Baldwin Park,CA,91706,(626) 960-1955,LOCAL,OPEN,,LOS ANGELES,06037,USA,http://www.baldwinparkpolice.com/index.php?s=jail,NOT AVAILABLE,32.0,"POLYGON ((-117.959527420254 34.0857142039474, -117.959579100695 34.0856177606512, -117.95953379375 34.0852704119001, -117.959824511292 34.0849796952568, -117.959998185668 34.0851193896482, -117.959741449009 34.0853685755993, -117.959764102931 34.0855573531894, -117.959927169803 34.0857237223719, -117.959784402428 34.0858569722216, -117.959527420254 34.0857142039474))",None,False,-117.95972580356398,34.08542320534737,06037405201,,,,,,,,,
10006488,Claremont Jail,570 W Bonita Ave,Claremont,CA,91711,(909) 399-5411,LOCAL,OPEN,,LOS ANGELES,06037,USA,https://www.ci.claremont.ca.us/government/departments-divisions/police-department,NOT AVAILABLE,18.0,"POLYGON ((-117.722707149915 34.0963697357747, -117.722203893795 34.0963733060833, -117.722203893795 34.0960949092527, -117.722710719324 34.0960949092527, -117.722707149915 34.0963697357747))",None,False,-117.72245587010627,34.096233053161434,06037401902,,,,,,,,,
10006489,Concord Jail,1350 Galindo Street,Concord,CA,94520,NOT AVAILABLE,LOCAL,OPEN,,CONTRA COSTA,06013,USA,NOT AVAILABLE,NOT AVAILABLE,,"POLYGON ((-122.031493309069 37.9713914700404, -122.031304142072 37.970713323661, -122.031614661787 37.9706562167111, -122.031557554837 37.9704420647495, -122.031968011714 37.9703706810621, -122.032078657104 37.9708025543944, -122.031939458239 37.9708311069701, -122.03181810642 37.9709845816732, -122.031921612093 37.9713058096155, -122.031493309069 37.9713914700404))",None,False,-122.031692397237,37.97087039089063,06013335000,,,,,,,,,
10006495,Monrovia Jail,140 E Lime Avenue,Monrovia,CA,91016,(626) 256-8061,LOCAL,OPEN,,LOS ANGELES,06037,USA,NOT AVAILABLE,NOT AVAILABLE,,"POLYGON ((-117.999605056128 34.1480211067887, -117.998880510127 34.1480211067887, -117.998866234289 34.1477855401706, -117.999191029842 34.1478033863173, -117.999283829085 34.1477569866956, -117.999612194947 34.1477462793674, -117.999605056128 34.1480211067887))",None,False,-117.99925661002959,34.14789596650148,06037431004,,,,,,,,,
10006498,Signal Hill City Jail,2745 Walnut Avenue,Signal Hill,CA,90755,(562) 989-7201,LOCAL,OPEN,,LOS ANGELES,06037,USA,https://www.cityofsignalhill.org/160/Jail,NOT AVAILABLE,13.0,"POLYGON ((-118.17275468538 33.8070687450266, -118.172155060608 33.8070687450266, -118.172145543082 33.8065452640528, -118.172745166956 33.806526228103, -118.17275468538 33.8070687450266))",None,False,-118.17245189767003,33.80680219254155,06037573402,,,,,,,,,
10006492,Culver City Jail,4040 Duquesne Avenue,Culver City,CA,90230,(310) 253-6205,LOCAL,OPEN,,LOS ANGELES,06037,USA,https://www.culvercitypd.org/home-police,NOT AVAILABLE,30.0,"POLYGON ((-118.395424796018 34.0207495382606, -118.395217782874 34.0210315036011, -118.394757357866 34.0207887990639, -118.394939386044 34.0204925560867, -118.395424796018 34.0207495382606))",None,False,-118.39508559710085,34.020764242179446,06037702400,,,,,,,,,
10006179,Fci Mendota,33500 West California Avenue,Mendota,CA,93640,(559) 274-4000,FEDERAL,OPEN,957.0,FRESNO,06019,USA,https://www.bop.gov/locations/institutions/men/,MEDIUM,,"POLYGON ((-120.395809332235 36.7350373293094, -120.395708205269 36.7351325081588, -120.389283659913 36.7352038909469, -120.389158738685 36.7351027639814, -120.389107825366 36.7322545840818, -120.38922382442 36.7321522331391, -120.395641777746 36.7320764868405, -120.395760355156 36.7321609565629, -120.395809332235 36.7350373293094))",None,False,-120.39246032394341,36.73364122914027,06019008304,,,,,,,,,
