cdcr_code,name,average_2025_population,hazard_score,exposure_score,vulnerability_score,risk_score_equal_mult,risk_score_additive_25_25_50,risk_score_mult_vsq,rank_equal_mult,rank_additive_25_25_50,rank_mult_vsq,tract_geoid,Pct_GroupQuarters,vcp_own_tract_ExHeatHealth_Idx,vcp_own_tract_heat_hazard_fut,vcp_own_tract_INDEX_PCTL,n_neighbors,vcp_community_ExHeatHealth_Idx
ASP,Avenal State Prison,3891.0,0.55,0.47,0.1583333333333333,21.01,18.61,8.27,20,21,25,6031981800,100.0,66.71,,,1,56.34
CAL,Calipatria State Prison,2462.0,0.72,0.22,0.175,14.23,14.2,6.19,23,24,28,6025010101,98.2685297691373,92.16,1.46,99.58,4,86.88
CCI,California Correctional Institution,2434.0,0.44,0.51,0.2583333333333333,29.76,30.91,19.12,18,19,18,6029006002,100.0,35.76,,,3,70.69
CCWF,Central California Women'S Facility,2040.0,0.68,0.43,0.412962962962963,61.98,75.32,63.67,6,7,8,6039000201,79.31279284395853,82.8,1.24,88.52,7,72.66
CEN,Centinela State Prison,2984.0,0.77,0.07,0.1999999999999999,5.53,9.46,2.75,30,27,29,6025012301,78.05897376364058,69.15,1.62,83.34,10,76.3
CHCF,California Health Care Facility,2251.0,0.57,0.09,0.6,15.8,68.14,23.58,22,11,14,6077005131,42.2014878325558,82.27,1.02,93.22,9,69.94
CIM,California Institution For Men,2274.0,0.77,0.52,0.4416666666666667,90.78,97.79,99.73,3,3,2,6071012202,100.0,91.19,,,7,26.23
CIW,California Institution For Women,1187.0,0.68,0.54,0.4083333333333334,76.97,84.86,78.18,4,5,5,6071001907,7.753803166718411,33.65,0.73,30.08,4,17.16
CMC,California Men'S Colony,2172.0,0.12,0.33,0.4166666666666667,8.47,13.56,8.78,29,25,24,6079011400,100.0,83.13,,,2,44.81
CMF,California Medical Facility,2045.0,0.47,0.49,0.5504074979625102,65.07,87.14,89.09,5,4,4,6095253000,100.0,71.03,,,4,56.36
COR,"California State Prison, Corcoran",2629.0,0.77,0.66,0.3833333333333333,100.0,100.0,95.35,1,1,3,6031980100,100.0,79.57,,,4,86.1
CRC,California Rehabilitation Center,2330.0,0.63,0.43,0.2416666666666666,33.61,38.17,20.2,15,17,17,6065046601,81.02998696219035,41.25,0.85,75.44,4,59.46
CTF,Correctional Training Facility,4225.0,0.21,0.37,0.325,12.96,8.52,10.48,24,28,21,6053010900,100.0,54.17,,,2,71.35
FOL,Folsom State Prison,2777.0,0.53,0.44,0.25,29.93,31.23,18.61,16,18,19,6067988300,99.46404644930772,38.85,0.93,32.1,4,54.58
HDSP,High Desert State Prison,2719.0,0.38,0.39,0.2833333333333334,21.55,18.61,15.19,19,21,20,6035040400,83.94453803291434,33.47,0.94,77.97,4,74.97
ISP,Ironwood State Prison,2764.0,0.88,0.0,0.2416666666666666,0.0,21.14,0.0,31,20,31,6065981000,100.0,53.67,,,1,86.03
KVSP,Kern Valley State Prison,3092.0,0.71,0.33,0.35,42.09,56.78,36.65,14,12,12,6029004603,100.0,55.02,,,1,78.48
LAC,California State Prison-Los Angeles County,2949.0,0.64,0.3,0.4666666666666667,45.99,69.4,53.39,11,9,10,6037901003,100.0,50.09,,,5,46.97
MCSP,Mule Creek State Prison,3761.0,0.48,0.29,0.4166666666666667,29.77,43.85,30.86,17,16,13,6005000301,55.431698419132545,70.7,1.01,84.94,9,64.01
NKSP,North Kern State Prison,2570.0,0.72,0.62,0.1999999999999999,45.83,56.78,22.8,12,12,15,6029004601,100.0,46.57,,,2,83.3
PBSP,Pelican Bay State Prison,2096.0,0.11,0.65,0.2833333333333334,10.4,17.67,7.33,26,23,26,6015000201,37.034949267192786,59.75,0.0,46.3,3,80.41
PVSP,Pleasant Valley State Prison,2992.0,0.43,0.41,0.175,15.84,4.73,6.89,21,30,27,6019007903,58.12668060950104,83.13,1.1,63.7,9,77.45
RJD,R J Donovan Correctional Facility,3592.0,0.51,0.37,0.5166666666666667,50.05,73.19,64.32,9,8,7,6073010016,100.0,51.24,,,6,14.54
SAC,"California State Prison, Sacramento",2131.0,0.53,0.42,0.5166666666666667,59.04,79.81,75.87,7,6,6,6067988300,99.46404644930772,38.85,0.93,32.1,4,54.58
SATF,Ca Substance Abuse Treatment Facility,5358.0,0.77,0.61,0.4083333333333334,98.45,100.0,100.0,2,1,1,6031980100,100.0,79.57,,,4,86.1
SCC,Sierra Conservation Center,4035.0,0.5,0.49,0.075,9.43,0.0,1.76,28,31,30,6109985202,100.0,34.59,,,1,82.1
SOL,"California State Prison, Solano",3735.0,0.47,0.63,0.3166666666666666,48.13,56.15,37.91,10,14,11,6095253000,100.0,71.03,,,4,56.36
SQ,San Quentin State Prison,2688.0,0.3,0.18,0.3833333333333333,10.63,10.09,10.13,25,26,22,6041122000,100.0,60.36,,,2,35.16
SVSP,Salinas Valley State Prison,2387.0,0.21,0.23,0.3833333333333333,9.5,6.31,9.06,27,29,23,6053010900,100.0,54.17,,,2,71.35
VSP,Valley State Prison,3148.0,0.68,0.36,0.4166666666666667,52.36,69.4,54.27,8,9,9,6039000201,79.31279284395853,82.8,1.24,88.52,7,72.66
WSP,Wasco State Prison,3676.0,0.72,0.59,0.1999999999999999,43.61,53.94,21.7,13,15,16,6029004302,100.0,37.34,,,2,61.16
