cdcr_code,name,average_2025_population,pct_hu_mechanical,hazard_score,exposure_score,vulnerability_score,risk_score_additive_25_25_50,risk_score_equal_mult,risk_score_mult_vsq,rank_additive_25_25_50,rank_equal_mult,rank_mult_vsq,tract_geoid,Pct_GroupQuarters,vcp_own_tract_ExHeatHealth_Idx,vcp_own_tract_heat_hazard_fut,vcp_own_tract_INDEX_PCTL,n_neighbors,vcp_community_ExHeatHealth_Idx,index_version
ASP,Avenal State Prison,3891.0,0.0,0.31,0.47,0.16,22.12,21.7,7.86,26,24,26,06031981800,100.0,66.71,,,1,56.34,v0.2
CAL,Calipatria State Prison,2462.0,1.0,0.39,0.22,0.18,9.62,14.37,5.86,29,28,28,06025010101,98.2685297691373,92.16,1.46,99.58,4,86.88,v0.2
CCI,California Correctional Institution,2434.0,0.0455,0.22,0.5,0.26,35.58,26.62,15.68,24,23,25,06029006002,100.0,35.76,,,3,70.69,v0.2
CCWF,Central California Women's Facility,2040.0,0.0,0.33,0.43,0.42,70.19,55.47,52.77,9,8,8,06039000201,79.31279284395853,82.8,1.24,88.52,7,72.66,v0.2
CEN,Centinela State Prison,2984.0,1.0,0.4,0.07,0.2,0.0,5.21,2.36,31,30,29,06025012301,78.05897376364058,69.15,1.62,83.34,10,76.3,v0.2
CHCF,California Health Care Facility,2251.0,1.0,0.33,0.09,0.6,72.12,16.58,22.54,8,27,17,06077005131,42.2014878325558,82.27,1.02,93.22,9,69.94,v0.2
CIM,California Institution For Men,2274.0,0.4286,0.37,0.66,0.44,100.0,100.0,99.67,1,1,2,06071012202,100.0,91.19,,,7,26.23,v0.2
CIW,California Institution For Women,1187.0,0.3636,0.36,0.56,0.41,83.65,76.93,71.45,6,5,6,06071001907,7.753803166718411,33.65,0.73,30.08,4,17.16,v0.2
CMC,California Men's Colony,2172.0,0.1875,0.27,0.28,0.41,48.08,28.85,26.79,17,22,16,06079011400,100.0,83.13,,,2,44.81,v0.2
CMF,California Medical Facility,2045.0,0.5283,0.32,0.49,0.55,100.0,80.26,100.0,1,4,1,06095253000,100.0,71.03,,,4,56.36,v0.2
COR,"California State Prison, Corcoran",2629.0,0.0,0.36,0.66,0.38,87.5,84.03,72.33,3,2,4,06031980100,100.0,79.57,,,4,86.1,v0.2
CRC,California Rehabilitation Center,2330.0,0.0833,0.35,0.62,0.25,57.69,50.49,28.59,13,9,14,06065046601,81.02998696219035,41.25,0.85,75.44,4,59.46,v0.2
CTF,Correctional Training Facility,4225.0,0.0,0.26,0.37,0.33,40.38,29.55,22.09,21,20,19,06053010900,100.0,54.17,,,2,71.35,v0.2
FOL,Folsom State Prison,2777.0,0.25,0.33,0.45,0.25,39.42,34.55,19.57,22,18,20,06067988300,99.46404644930773,38.85,0.93,32.1,4,54.58,v0.2
HDSP,High Desert State Prison,2719.0,0.0345,0.28,0.4,0.28,35.58,29.19,18.51,23,21,21,06035040400,83.94453803291434,33.47,0.94,77.97,4,74.97,v0.2
ISP,Ironwood State Prison,2764.0,1.0,0.43,0.0,0.24,3.85,0.0,0.0,30,31,31,06065981000,100.0,53.67,,,1,86.03,v0.2
KVSP,Kern Valley State Prison,3092.0,0.1,0.35,0.37,0.35,52.88,42.18,33.45,16,12,13,06029004603,100.0,55.02,,,1,78.48,v0.2
LAC,California State Prison-Los Angeles County,2949.0,0.0455,0.32,0.3,0.47,66.35,41.99,44.71,11,13,10,06037901003,100.0,50.09,,,5,46.97,v0.2
MCSP,Mule Creek State Prison,3761.0,0.1364,0.32,0.3,0.42,56.73,37.53,35.7,14,16,12,06005000301,55.431698419132545,70.7,1.01,84.94,9,64.01,v0.2
NKSP,North Kern State Prison,2570.0,0.04,0.35,0.62,0.2,48.08,40.39,18.3,17,14,22,06029004601,100.0,46.57,,,2,83.3,v0.2
PBSP,Pelican Bay State Prison,2096.0,0.0345,0.2,0.67,0.28,53.85,34.92,22.15,15,17,18,06015000201,37.034949267192786,59.75,0.0,46.3,3,80.41,v0.2
PVSP,Pleasant Valley State Prison,2992.0,0.0435,0.31,0.41,0.17,18.27,20.11,7.74,27,25,27,06019007903,58.126680609501044,83.13,1.1,63.7,9,77.45,v0.2
RJD,R J Donovan Correctional Facility,3592.0,0.3478,0.27,0.37,0.52,77.88,48.35,56.95,7,10,7,06073010016,100.0,51.24,,,6,14.54,v0.2
SAC,"California State Prison, Sacramento",2131.0,0.08,0.29,0.45,0.51,85.58,61.94,71.56,4,6,5,06067988300,99.46404644930773,38.85,0.93,32.1,4,54.58,v0.2
SATF,Ca Substance Abuse Treatment Facility,5358.0,0.0625,0.36,0.6,0.4,85.58,80.41,72.86,4,3,3,06031980100,100.0,79.57,,,4,86.1,v0.2
SCC,Sierra Conservation Center,4035.0,0.0,0.3,0.51,0.08,9.62,11.39,2.06,28,29,30,06109985202,100.0,34.59,,,1,82.1,v0.2
SOL,"California State Prison, Solano",3735.0,0.16,0.32,0.62,0.32,68.27,59.09,42.83,10,7,11,06095253000,100.0,71.03,,,4,56.36,v0.2
SQ,San Quentin State Prison,2688.0,0.0,0.26,0.34,0.38,47.12,31.26,26.91,19,19,15,06041122000,100.0,60.36,,,2,35.16,v0.2
SVSP,Salinas Valley State Prison,2387.0,0.1304,0.25,0.22,0.38,34.62,19.45,16.74,25,26,24,06053010900,100.0,54.17,,,2,71.35,v0.2
VSP,Valley State Prison,3148.0,0.0,0.34,0.36,0.42,64.42,47.84,45.52,12,11,9,06039000201,79.31279284395853,82.8,1.24,88.52,7,72.66,v0.2
WSP,Wasco State Prison,3676.0,0.0,0.35,0.6,0.2,46.15,39.09,17.71,20,15,23,06029004302,100.0,37.34,,,2,61.16,v0.2
