facilityid,name,address,city,state,zip,telephone,type,status,population,county,countyfips,country,website,securelvl,capacity,geometry,longitude,latitude,tract_geoid,capacity_percent,cdcr_code,cdcr_firecamp,average_2025_population,capacity_percent_2025,year_opened,year_opened_notes,reentry_hub,planned_closure,california_model_facility,cdcr_air_cooling_pilot
10000771,Alder Conservation Camp #20,1400 Alder Camp Road,Klamath,CA,95548,(707) 482-4511,STATE,OPEN,,DEL NORTE,6015,USA,https://www.cdcr.ca.gov/facility-locator/conservation-camps/alder/,MINIMUM,,"POLYGON ((-124.063276881323 41.5017010153896, -124.063191219999 41.5017961933397, -124.062300151031 41.5016625199094, -124.060759987383 41.5012566630646, -124.059333908133 41.5011569777124, -124.059286371769 41.5008579243538, -124.060170541138 41.5006158313556, -124.060645900288 41.5004306996171, -124.061197316903 41.5002954119038, -124.061558590756 41.5004306996171, -124.062557070253 41.5008066297223, -124.062934237825 41.5011299440917, -124.063276881323 41.5017010153896))",-124.0614026616772,41.50102605418069,6015000203,,,True,,,,,,,,
10005258,Sugar Pine Conservation Camp #9,15905 Sugar Pine Camp Road,Bella Vista,CA,96008,(530) 472-3027,STATE,OPEN,,SHASTA,6089,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,,"POLYGON ((-122.092629325183 40.7449044642697, -122.093878203816 40.7459719397532, -122.093949644161 40.7467789373981, -122.092100021998 40.7470382955809, -122.091297188215 40.7452344129379, -122.09216179643 40.7446861142728, -122.092629325183 40.7449044642697))",-122.0926140282548,40.74594991511181,6089012606,,,True,,,,,,,,
10005267,Salt Creek Conservation Camp #7,10655 Round Valley Road,Paskenta,CA,96074,(530) 833-5497,STATE,OPEN,,TEHAMA,6103,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,,"POLYGON ((-122.629061480803 39.8132586362771, -122.62873668525 39.8131765452614, -122.628251275276 39.8123092318856, -122.628142072399 39.8111080011334, -122.629175694702 39.8110100460768, -122.629846703163 39.8111563828608, -122.630628356114 39.8120736652675, -122.630735432094 39.8123128012948, -122.629832426425 39.8126304589286, -122.629707505197 39.8130873154273, -122.629111449833 39.812994516184, -122.629061480803 39.8132586362771))",-122.62925447861537,39.81202088855824,6103000300,,,True,,,,,,,,
10005319,Owens Valley Conservation Camp #26,2781 South Round Valley Road,Bishop,CA,93514,(760) 387-2686,STATE,OPEN,,INYO,6027,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,,"POLYGON ((-118.553161165056 37.3891085022556, -118.551533613386 37.3904695533273, -118.54983943724 37.388956215557, -118.550905436037 37.3882994847335, -118.551305184686 37.3887563412322, -118.552361665958 37.3883470741582, -118.553161165056 37.3891085022556))",-118.55153489518936,37.38924437916502,6027000200,,,True,,,,,,,,
10005362,Ventura Conservation Camp #46,2800 Wright Road,Camarillo,CA,93010,(805) 983-1332,STATE,OPEN,,VENTURA,6111,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,110.0,"POLYGON ((-119.105887211426 34.2463177411709, -119.106815201161 34.2457085988728, -119.107053147385 34.2457323940348, -119.107510003884 34.2454373408606, -119.107662288784 34.2456276967608, -119.107624217783 34.2458418487224, -119.106996040435 34.2464843028084, -119.106572495724 34.246874534832, -119.106505871249 34.246874534832, -119.105896728951 34.2464557502327, -119.105887211426 34.2463177411709))",-119.10677775352286,34.246176183785806,6111009300,,,True,,,,,,,,
10000840,Prado Conservation Camp #28,14467 Central Avenue,Chino,CA,91710,(909) 597-3917,STATE,OPEN,,SAN BERNARDINO,6071,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,80.0,"POLYGON ((-117.688856434277 33.992162704745, -117.684833603988 33.9921403188207, -117.684802106132 33.990159212178, -117.688856434277 33.9902114448024, -117.688856434277 33.992162704745))",-117.68683207528083,33.99116711079797,6071012202,,,True,,,,,,,,
10005275,Valley View Conservation Camp #34,3339 County Road 307,Elk Creek,CA,95939,(530) 968-5107,STATE,OPEN,107.0,GLENN,6021,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,115.0,"POLYGON ((-122.722371538116 39.6517997187821, -122.722861273829 39.652375090638, -122.721395693656 39.6532269680502, -122.721210683326 39.6531822789391, -122.720804383116 39.6527549453845, -122.720771734128 39.6526823260286, -122.720757223567 39.6525761907387, -122.720760851432 39.6524477099938, -122.720811638846 39.6523778839323, -122.721228820853 39.6521237157369, -122.721526289607 39.651967303848, -122.721696791174 39.6519058558706, -122.721882093784 39.6518678298365, -122.721867290943 39.6518583743646, -122.721994259927 39.6518192709427, -122.722128483742 39.6518136852534, -122.722262707558 39.6518025120763, -122.722371538116 39.6517997187821))",-122.72173226828056,39.65246297492119,6021010300,0.9304347826086956,,True,,,,,,,,
10005263,Antelope Conservation Camp #25,711-045 Center Road,Susanville,CA,96127,(530) 257-2181,STATE,OPEN,,LASSEN,6035,USA,https://www.cdcr.ca.gov/facility-locator/conservation-camps/antelope/,MINIMUM,,"POLYGON ((-120.511078296026 40.4016133894464, -120.511290696109 40.4023275932439, -120.511245328009 40.402342930282, -120.511235141389 40.4023593617952, -120.510646886744 40.4026363367976, -120.510439790864 40.402388585265, -120.510199661085 40.4021001753828, -120.51019916466 40.402096366754, -120.510034493397 40.4019464407756, -120.5097486241 40.4018143060854, -120.509560585752 40.4017571325856, -120.509275988096 40.4017622146545, -120.508992660283 40.4017088533809, -120.508934216041 40.4015868819291, -120.508480637571 40.4015602008427, -120.508475556402 40.4013378587552, -120.508373914125 40.4013353181704, -120.508343420812 40.4010812120284, -120.509460776294 40.4010983522072, -120.509460562255 40.4010922835821, -120.510586570114 40.4011081206433, -120.510592652229 40.4011138817003, -120.510618934916 40.4011129751837, -120.510779021435 40.4011866656322, -120.510961687232 40.4013794236216, -120.511078296026 40.4016133894464))",-120.51004710820791,40.40164182151751,6035040400,,,True,,,,,,,,
10000814,Ben Lomond Conservation Camp #45,13575 Empire Grade Road,Santa Cruz,CA,95060,(831) 423-1652,STATE,OPEN,,SANTA CRUZ,6087,USA,https://www.cdcr.ca.gov/facility-locator/conservation-camps/ben-lomond/,MINIMUM,,"POLYGON ((-122.168372333217 37.1308226440498, -122.167783013775 37.13033437693, -122.167702126952 37.1298829586317, -122.167806124553 37.129735556151, -122.168398158148 37.1294115016395, -122.169839851428 37.130343589585, -122.170822048699 37.129947447217, -122.171076264558 37.1302238259689, -122.170094067287 37.1307950060847, -122.168372333217 37.1308226440498))",-122.1690670677042,37.130265033493735,6087120200,,,True,,,,,,,,
10002347,Calipatria State Prison,7018 Blair Road,Calipatria,CA,92233,(760) 348-7000,STATE,OPEN,,IMPERIAL,6025,USA,https://www.cdcr.ca.gov/facility-locator/cal/,MAXIMUM,2308.0,"MULTIPOLYGON (((-115.479895783563 33.1638118198596, -115.480130244016 33.1636363090685, -115.48905335333 33.1636386302187, -115.489277941024 33.163773943113, -115.489888534828 33.1654578391081, -115.48987425809 33.1656577143321, -115.489360452923 33.1667435359855, -115.489046206417 33.1672709892648, -115.488931991618 33.1673780652455, -115.487004627561 33.1681918401814, -115.482428924655 33.1682203936563, -115.482186220118 33.1681775634439, -115.480287410436 33.1673852031647, -115.479338005145 33.1656220220387, -115.479323728407 33.1654792546639, -115.479895783563 33.1638118198596)), ((-115.4773392583 33.1638201493804, -115.477246459057 33.1633918463567, -115.477953158911 33.1626922853208, -115.47846712236 33.1626994232398, -115.478824040797 33.1629920968079, -115.478824040797 33.1636274129748, -115.478617027654 33.1636202741564, -115.47858133626 33.1636987966622, -115.478567058623 33.1642056221918, -115.477610516312 33.164191344555, -115.4773392583 33.1638201493804)))",-115.4843440200192,33.16569335411168,6025010101,,CAL,False,2462.0,1.0667244367417679,1992.0,,,,,
