cdcr_code,avg_tmin_f_2025,days_tmin_above_60f_2025,days_tmin_above_65f_2025,days_tmin_above_70f_2025
ASP,62.0,120.0,62.0,26.0
CAL,71.2,164.0,140.0,114.0
CCI,57.6,71.0,28.0,8.0
CCWF,58.5,77.0,27.0,2.0
CEN,71.9,174.0,141.0,117.0
CHCF,58.6,75.0,19.0,0.0
CIM,60.5,108.0,25.0,2.0
CIW,59.8,96.0,19.0,0.0
CMC,52.4,8.0,2.0,0.0
CMF,56.4,41.0,1.0,0.0
COR,60.8,119.0,55.0,8.0
CRC,60.1,99.0,22.0,0.0
CTF,54.2,12.0,1.0,0.0
FOL,58.7,71.0,26.0,1.0
HDSP,46.4,5.0,0.0,0.0
ISP,73.0,165.0,146.0,125.0
KVSP,59.9,109.0,46.0,4.0
LAC,60.1,107.0,61.0,15.0
MCSP,56.6,46.0,20.0,1.0
NKSP,59.9,109.0,46.0,4.0
PBSP,50.6,0.0,0.0,0.0
PVSP,61.2,117.0,57.0,18.0
RJD,60.3,92.0,24.0,0.0
SAC,58.5,69.0,25.0,1.0
SATF,60.8,119.0,55.0,8.0
SCC,60.7,102.0,50.0,18.0
SOL,56.4,41.0,1.0,0.0
SQ,53.5,4.0,0.0,0.0
SVSP,54.2,12.0,1.0,0.0
VSP,58.5,77.0,27.0,2.0
WSP,60.2,118.0,49.0,4.0
