facilityid,name,cdcr_code,tract_geoid,loca2_days_over_avg_plus10_historic,loca2_days_over_avg_plus10_midcentury,loca2_nights_over_p95_historic,loca2_nights_over_p95_midcentury,loca2_days_over_90_historic,loca2_days_over_90_midcentury,loca2_avg_summer_tmax_f,loca2_p95_tmin_f,AQI_norm,heat_hazard_historic_idx,heat_hazard_midcentury_idx
10006510,Otay Mesa Detention Center,,6073010015,13.601,31.518,13.251,33.669,19.185,41.537,81.449,67.216,68.54855261842448,30.035554481674993,72.4160018310177
10001521,Del Norte County Jail,,6015000101,8.817,17.843,11.681,27.936,0.264,0.521,66.264,56.425,22.68547964310262,19.849877813073395,43.78635828000708
10000914,Dorothy Kirby Center,,6037532302,11.347,30.369,13.86,44.916,40.457,76.901,85.467,69.626,88.9351747111312,29.128792357383066,85.76643632652143
10006313,Baldwin Park Jail,,6037405201,9.649,30.618,14.341,47.278,94.362,134.689,91.858,70.313,72.4016976051329,26.250395928349725,84.99605770550988
10006488,Claremont Jail,,6037401902,9.777,33.748,14.544,46.398,68.778,109.747,89.156,68.251,67.9024774471903,26.31576934988498,87.22784287474099
10006489,Concord Jail,,6013335000,14.938,31.995,14.564,54.817,45.646,75.295,86.645,62.475,27.923859448949433,29.66234285676442,83.70399255949685
10006495,Monrovia Jail,,6037431004,9.341,29.92,14.397,44.807,93.601,133.436,91.949,70.604,64.51850600659326,25.401869676879794,80.13446599131325
10006498,Signal Hill City Jail,,6037573402,14.07,28.919,13.087,38.966,17.797,34.678,81.042,69.71,67.69300288923333,30.416538422520755,73.9557924329272
10006492,Culver City Jail,,6037702400,13.535,26.853,12.797,34.488,6.688,14.354,77.235,68.224,75.15320011826589,30.004756838814856,68.31398405885639
10006179,FCI Mendota,,6019008304,6.027,21.683,14.442,51.411,114.473,142.38,96.812,66.091,29.69080612271456,19.37648678847831,69.24104390881348
10000864,USP Lompoc,,6083980400,18.327,33.961,11.688,29.725,1.252,2.914,68.392,58.624,5.7835066823244246,29.207745535974937,60.58942491363315
10002351,Bell City Jail,,6037533601,11.6,29.731,13.715,43.681,30.724,62.297,84.108,69.595,65.94733179975238,27.728668329431233,79.11868021583173
10000771,Alder Conservation Camp #20,,6015000203,11.264,20.088,12.359,35.375,0.17,0.586,66.839,54.234,10.371907035356335,22.3988775927984,50.778537341781075
10005258,Sugar Pine Conservation Camp #9,,6089012606,10.661,31.897,15.3,44.279,87.786,116.395,93.548,64.303,17.165021081360234,24.603433714718438,72.37113954115102
10000871,MCC San Diego,,6073005302,14.205,25.497,12.091,25.913,4.096,8.013,74.905,70.282,64.06790933737766,29.377271241150147,56.6852126681906
10005267,Salt Creek Conservation Camp #7,,6103000300,7.935,28.648,14.772,46.326,43.092,74.592,87.024,66.825,17.014585802807996,21.106991672621394,70.40167638185136
10005319,Owens Valley Conservation Camp #26,,6027000200,2.954,21.254,14.845,43.134,72.753,107.574,91.601,64.996,13.729864593976732,15.450678479353197,58.93147476641727
