institution,hu_270,hu_180,hu_dormitories,hu_crosstop,hu_nonstandard,days_above_78f_2025
ASP,18,0,2,0,0,132
CAL,20,0,2,0,2,137
CCI,5,16,0,0,1,115
CCWF,2,0,14,0,0,97
CEN,20,0,2,0,2,42
CHCF,0,0,9,0,20,0
CIM,0,0,20,0,1,161
CIW,2,0,9,0,0,150
CMC,0,0,5,0,11,33
CMF,0,0,13,3,40,135
COR,10,13,0,0,1,159
CRC,0,0,36,0,0,149
CTF,0,0,8,0,14,60
FSP,0,0,11,0,5,158
HDSP,10,16,2,0,1,89
ISP,20,0,2,0,1,1
KVSP,0,16,2,0,2,66
LAC,18,0,2,0,2,39
MCSP,14,0,2,6,0,11
NKSP,17,0,7,0,1,134
PBSP,0,16,13,0,0,63
PVSP,20,0,2,0,1,67
RJD,20,0,3,0,0,114
SAC,1,22,0,3,2,133
SATF,10,8,7,6,1,133
SCC,5,0,76,0,0,154
SOL,19,0,5,0,1,159
SQRC,0,0,5,0,6,41
SVSP,7,13,0,0,3,1
VSP,2,3,3,14,0,52
WSP,5,0,23,0,0,136
