institution,n_housing_units,hu_air_handlers_only,hu_evaporative_cooling,hu_mechanical_cooling
ASP,20,0,20,0
CAL,24,0,0,24
CCI,22,21,0,1
CCWF,16,0,16,0
CEN,24,0,0,24
CHCF,29,0,0,29
CIM,21,12,0,9
CIW,11,0,7,4
CMC,16,13,0,3
CMF,53,0,25,28
COR,24,0,24,0
CRC,36,32,1,3
CTF,22,21,1,0
FSP,16,0,12,4
HDSP,29,0,28,1
ISP,23,0,0,23
KVSP,20,18,0,2
LAC,22,0,21,1
MCSP,22,0,19,3
NKSP,25,0,24,1
PBSP,29,28,0,1
PVSP,23,0,22,1
RJD,23,15,0,8
SAC,25,0,23,2
SATF,32,0,33,2
SCC,81,76,5,0
SOL,25,15,6,4
SQRC,11,11,0,0
SVSP,23,0,20,3
VSP,16,0,16,0
WSP,28,0,28,0
