program,measure,fy_ending,value,is_forecast
Male APP,CDCR Male Pop,2014,128211.0,False
Male APP,CDCR Male Pop,2015,128303.0,False
Male APP,CDCR Male Pop,2016,122540.0,False
Male APP,CDCR Male Pop,2017,123213.0,False
Male APP,CDCR Male Pop,2018,124414.0,False
Male APP,CDCR Male Pop,2019,121939.0,False
Male APP,CDCR Male Pop,2020,118494.0,False
Male APP,CDCR Male Pop,2021,93311.0,False
Male APP,CDCR Male Pop,2022,95890.0,False
Male APP,CDCR Male Pop,2023,92051.0,False
Male APP,CDCR Male Pop,2024,90421.0,False
Male APP,CDCR Male Pop,2025,87721.0,False
Male APP,CDCR Male Pop,2026,85795.0,True
Male APP,CDCR Male Pop,2027,84058.0,True
Male APP,CDCR Male Pop,2028,83436.0,True
Male APP,CDCR Male Pop,2029,82524.0,True
Male APP,CDCR Male Pop,2030,81559.0,True
Male APP,Census Rate,2014,2.08,False
Male APP,Census Rate,2015,2.3,False
Male APP,Census Rate,2016,2.6,False
Male APP,Census Rate,2017,3.01,False
Male APP,Census Rate,2018,2.84,False
Male APP,Census Rate,2019,2.21,False
Male APP,Census Rate,2020,3.53,False
Male APP,Census Rate,2021,3.11,False
Male APP,Census Rate,2022,3.49,False
Male APP,Census Rate,2023,3.59,False
Male APP,Census Rate,2024,3.0,False
Male APP,Census Rate,2025,2.44,False
Male APP,Census Rate,2026,2.43,True
Male APP,Census Rate,2027,2.43,True
Male APP,Census Rate,2028,2.44,True
Male APP,Census Rate,2029,2.43,True
Male APP,Census Rate,2030,2.43,True
Male APP,Avg Census,2014,249.8,False
Male APP,Avg Census,2015,275.2,False
Male APP,Avg Census,2016,291.5,False
Male APP,Avg Census,2017,334.6,False
Male APP,Avg Census,2018,332.0,False
Male APP,Avg Census,2019,253.9,False
Male APP,Avg Census,2020,386.5,False
Male APP,Avg Census,2021,278.8,False
Male APP,Avg Census,2022,316.8,False
Male APP,Avg Census,2023,313.3,False
Male APP,Avg Census,2024,259.1,False
Male APP,Avg Census,2025,193.8,False
Male APP,Avg Pending List,2014,16.9,False
Male APP,Avg Pending List,2015,20.4,False
Male APP,Avg Pending List,2016,27.5,False
Male APP,Avg Pending List,2017,36.0,False
Male APP,Avg Pending List,2018,21.2,False
Male APP,Avg Pending List,2019,15.3,False
Male APP,Avg Pending List,2020,31.3,False
Male APP,Avg Pending List,2021,11.0,False
Male APP,Avg Pending List,2022,17.5,False
Male APP,Avg Pending List,2023,17.4,False
Male APP,Avg Pending List,2024,12.3,False
Male APP,Avg Pending List,2025,14.0,False
Male APP,Total ADC,2014,266.7,False
Male APP,Total ADC,2015,295.5,False
Male APP,Total ADC,2016,319.0,False
Male APP,Total ADC,2017,370.6,False
Male APP,Total ADC,2018,353.2,False
Male APP,Total ADC,2019,269.2,False
Male APP,Total ADC,2020,417.8,False
Male APP,Total ADC,2021,289.8,False
Male APP,Total ADC,2022,334.3,False
Male APP,Total ADC,2023,330.7,False
Male APP,Total ADC,2024,271.4,False
Male APP,Total ADC,2025,207.8,False
Male APP,Total ADC,2026,208.1,True
Male APP,Total ADC,2027,204.1,True
Male APP,Total ADC,2028,203.2,True
Male APP,Total ADC,2029,200.8,True
Male APP,Total ADC,2030,198.4,True
Male APP,Bed Need (90%),2014,296.0,False
Male APP,Bed Need (90%),2015,328.0,False
Male APP,Bed Need (90%),2016,354.0,False
Male APP,Bed Need (90%),2017,412.0,False
Male APP,Bed Need (90%),2018,392.0,False
Male APP,Bed Need (90%),2019,299.0,False
Male APP,Bed Need (90%),2020,464.0,False
Male APP,Bed Need (90%),2021,322.0,False
Male APP,Bed Need (90%),2022,371.0,False
Male APP,Bed Need (90%),2023,367.0,False
Male APP,Bed Need (90%),2024,302.0,False
Male APP,Bed Need (90%),2025,231.0,False
Male APP,Bed Need (90%),2026,231.0,True
Male APP,Bed Need (90%),2027,227.0,True
Male APP,Bed Need (90%),2028,226.0,True
Male APP,Bed Need (90%),2029,223.0,True
Male APP,Bed Need (90%),2030,220.0,True
Male ICF-High,CDCR Male Pop,2014,128211.0,False
Male ICF-High,CDCR Male Pop,2015,128303.0,False
Male ICF-High,CDCR Male Pop,2016,122540.0,False
Male ICF-High,CDCR Male Pop,2017,123213.0,False
Male ICF-High,CDCR Male Pop,2018,124414.0,False
Male ICF-High,CDCR Male Pop,2019,121939.0,False
Male ICF-High,CDCR Male Pop,2020,118494.0,False
Male ICF-High,CDCR Male Pop,2021,93311.0,False
Male ICF-High,CDCR Male Pop,2022,95890.0,False
Male ICF-High,CDCR Male Pop,2023,92051.0,False
Male ICF-High,CDCR Male Pop,2030,81559.0,True
