month,institution,measure,value
Dec 2025,SW,High Risk Priority 1,9%
Dec 2025,SW,High Risk Priority 2,11%
Dec 2025,SW,Medium Risk,40%
Dec 2025,SW,Low Risk,40%
Dec 2025,SW,Mental Health EOP,9%
Dec 2025,SW,Disability Placement Program (DPP) Patients,16%
Dec 2025,SW,Patients 50 Years or Older,30%
Dec 2025,SW,Specialized Health Care Beds,3157
Dec 2025,SW,Institution Population,90354
Dec 2025,ASP,High Risk Priority 1,0%
Dec 2025,ASP,High Risk Priority 2,0%
Dec 2025,ASP,Medium Risk,39%
Dec 2025,ASP,Low Risk,61%
Dec 2025,ASP,Mental Health EOP,0%
Dec 2025,ASP,Disability Placement Program (DPP) Patients,4%
Dec 2025,ASP,Patients 50 Years or Older,29%
Dec 2025,ASP,Specialized Health Care Beds,28
Dec 2025,ASP,Institution Population,3842
Dec 2025,CAL,High Risk Priority 1,1%
Dec 2025,CAL,High Risk Priority 2,4%
Dec 2025,CAL,Medium Risk,18%
Dec 2025,CAL,Low Risk,78%
Dec 2025,CAL,Mental Health EOP,0%
Dec 2025,CAL,Disability Placement Program (DPP) Patients,4%
Dec 2025,CAL,Patients 50 Years or Older,11%
Dec 2025,CAL,Specialized Health Care Beds,18
Dec 2025,CAL,Institution Population,2546
Dec 2025,CCI,High Risk Priority 1,2%
Dec 2025,CCI,High Risk Priority 2,7%
Dec 2025,CCI,Medium Risk,56%
Dec 2025,CCI,Low Risk,35%
Dec 2025,CCI,Mental Health EOP,6%
Dec 2025,CCI,Disability Placement Program (DPP) Patients,6%
Dec 2025,CCI,Patients 50 Years or Older,18%
Dec 2025,CCI,Specialized Health Care Beds,16
Dec 2025,CCI,Institution Population,2402
Dec 2025,CCWF,High Risk Priority 1,9%
Dec 2025,CCWF,High Risk Priority 2,11%
Dec 2025,CCWF,Medium Risk,59%
Dec 2025,CCWF,Low Risk,21%
Dec 2025,CCWF,Mental Health EOP,5%
Dec 2025,CCWF,Disability Placement Program (DPP) Patients,13%
Dec 2025,CCWF,Patients 50 Years or Older,20%
Dec 2025,CCWF,Specialized Health Care Beds,38
Dec 2025,CCWF,Institution Population,2209
Dec 2025,CEN,High Risk Priority 1,1%
Dec 2025,CEN,High Risk Priority 2,3%
Dec 2025,CEN,Medium Risk,19%
Dec 2025,CEN,Low Risk,77%
Dec 2025,CEN,Mental Health EOP,0%
Dec 2025,CEN,Disability Placement Program (DPP) Patients,4%
Dec 2025,CEN,Patients 50 Years or Older,13%
Dec 2025,CEN,Specialized Health Care Beds,13
Dec 2025,CEN,Institution Population,3193
Dec 2025,CHCF,High Risk Priority 1,48%
Dec 2025,CHCF,High Risk Priority 2,21%
Dec 2025,CHCF,Medium Risk,22%
Dec 2025,CHCF,Low Risk,8%
Dec 2025,CHCF,Mental Health EOP,21%
Dec 2025,CHCF,Disability Placement Program (DPP) Patients,53%
Dec 2025,CHCF,Patients 50 Years or Older,60%
Dec 2025,CHCF,Specialized Health Care Beds,1678
Dec 2025,CHCF,Institution Population,2382
Dec 2025,CIM,High Risk Priority 1,23%
Dec 2025,CIM,High Risk Priority 2,24%
Dec 2025,CIM,Medium Risk,33%
Dec 2025,CIM,Low Risk,20%
Dec 2025,CIM,Mental Health EOP,8%
Dec 2025,CIM,Disability Placement Program (DPP) Patients,27%
Dec 2025,CIM,Patients 50 Years or Older,57%
Dec 2025,CIM,Specialized Health Care Beds,78
Dec 2025,CIM,Institution Population,2334
Dec 2025,CIW,High Risk Priority 1,13%
Dec 2025,CIW,High Risk Priority 2,14%
Dec 2025,CIW,Medium Risk,50%
Dec 2025,CIW,Low Risk,23%
Dec 2025,CIW,Mental Health EOP,6%
Dec 2025,CIW,Disability Placement Program (DPP) Patients,19%
Dec 2025,CIW,Patients 50 Years or Older,23%
Dec 2025,CIW,Specialized Health Care Beds,98
Dec 2025,CIW,Institution Population,1109
Dec 2025,CMC,High Risk Priority 1,7%
Dec 2025,CMC,High Risk Priority 2,15%
Dec 2025,CMC,Medium Risk,51%
Dec 2025,CMC,Low Risk,27%
Dec 2025,CMC,Mental Health EOP,30%
Dec 2025,CMC,Disability Placement Program (DPP) Patients,12%
Dec 2025,CMC,Patients 50 Years or Older,31%
Dec 2025,CMC,Specialized Health Care Beds,87
Dec 2025,CMC,Institution Population,2214
Dec 2025,CMF,High Risk Priority 1,34%
Dec 2025,CMF,High Risk Priority 2,21%
Dec 2025,CMF,Medium Risk,32%
Dec 2025,CMF,Low Risk,13%
Dec 2025,CMF,Mental Health EOP,23%
Dec 2025,CMF,Disability Placement Program (DPP) Patients,42%
Dec 2025,CMF,Patients 50 Years or Older,52%
Dec 2025,CMF,Specialized Health Care Beds,501
Dec 2025,CMF,Institution Population,2199
Dec 2025,COR,High Risk Priority 1,9%
Dec 2025,COR,High Risk Priority 2,16%
Dec 2025,COR,Medium Risk,48%
Dec 2025,COR,Low Risk,28%
Dec 2025,COR,Mental Health EOP,10%
