month,group,institution,measure,value
Dec 2025,Staffing,SW,Actual Vacancies (All),22%
Dec 2025,Staffing,SW,Medical Vacancies (All),17%
Dec 2025,Staffing,SW,Mental Health Vacancies (All),38%
Dec 2025,Staffing,SW,Dental Vacancies (All),13%
Dec 2025,Staffing,ASP,Actual Vacancies (All),11%
Dec 2025,Staffing,ASP,Medical Vacancies (All),7%
Dec 2025,Staffing,ASP,Mental Health Vacancies (All),31%
Dec 2025,Staffing,ASP,Dental Vacancies (All),8%
Dec 2025,Staffing,CAL,Actual Vacancies (All),15%
Dec 2025,Staffing,CAL,Medical Vacancies (All),12%
Dec 2025,Staffing,CAL,Mental Health Vacancies (All),39%
Dec 2025,Staffing,CAL,Dental Vacancies (All),19%
Dec 2025,Staffing,CCI,Actual Vacancies (All),33%
Dec 2025,Staffing,CCI,Medical Vacancies (All),27%
Dec 2025,Staffing,CCI,Mental Health Vacancies (All),56%
Dec 2025,Staffing,CCI,Dental Vacancies (All),19%
Dec 2025,Staffing,CCWF,Actual Vacancies (All),15%
Dec 2025,Staffing,CCWF,Medical Vacancies (All),15%
Dec 2025,Staffing,CCWF,Mental Health Vacancies (All),16%
Dec 2025,Staffing,CCWF,Dental Vacancies (All),8%
Dec 2025,Staffing,CEN,Actual Vacancies (All),15%
Dec 2025,Staffing,CEN,Medical Vacancies (All),13%
Dec 2025,Staffing,CEN,Mental Health Vacancies (All),39%
Dec 2025,Staffing,CEN,Dental Vacancies (All),14%
Dec 2025,Staffing,CHCF,Actual Vacancies (All),17%
Dec 2025,Staffing,CHCF,Medical Vacancies (All),11%
Dec 2025,Staffing,CHCF,Mental Health Vacancies (All),46%
Dec 2025,Staffing,CHCF,Dental Vacancies (All),20%
Dec 2025,Staffing,CIM,Actual Vacancies (All),12%
Dec 2025,Staffing,CIM,Medical Vacancies (All),11%
Dec 2025,Staffing,CIM,Mental Health Vacancies (All),15%
Dec 2025,Staffing,CIM,Dental Vacancies (All),17%
Dec 2025,Staffing,CIW,Actual Vacancies (All),13%
Dec 2025,Staffing,CIW,Medical Vacancies (All),13%
Dec 2025,Staffing,CIW,Mental Health Vacancies (All),15%
Dec 2025,Staffing,CIW,Dental Vacancies (All),6%
Dec 2025,Staffing,CMC,Actual Vacancies (All),17%
Dec 2025,Staffing,CMC,Medical Vacancies (All),11%
Dec 2025,Staffing,CMC,Mental Health Vacancies (All),28%
Dec 2025,Staffing,CMC,Dental Vacancies (All),23%
Dec 2025,Staffing,CMF,Actual Vacancies (All),28%
Dec 2025,Staffing,CMF,Medical Vacancies (All),22%
Dec 2025,Staffing,CMF,Mental Health Vacancies (All),49%
Dec 2025,Staffing,CMF,Dental Vacancies (All),16%
Dec 2025,Staffing,COR,Actual Vacancies (All),19%
Dec 2025,Staffing,COR,Medical Vacancies (All),12%
Dec 2025,Staffing,COR,Mental Health Vacancies (All),41%
Dec 2025,Staffing,COR,Dental Vacancies (All),13%
Dec 2025,Staffing,CRC,Actual Vacancies (All),64%
Dec 2025,Staffing,CRC,Medical Vacancies (All),61%
Dec 2025,Staffing,CRC,Mental Health Vacancies (All),87%
Dec 2025,Staffing,CRC,Dental Vacancies (All),35%
Dec 2025,Staffing,CTF,Actual Vacancies (All),18%
Dec 2025,Staffing,CTF,Medical Vacancies (All),19%
Dec 2025,Staffing,CTF,Mental Health Vacancies (All),18%
