year,total_deaths,population,total_rate_per_100k,covid_deaths,noncovid_deaths,noncovid_rate_per_100k,suicide_deaths,suicide_rate_per_100k
2006,424,171310,248,,,,
2007,395,170786,231,,,,
2008,369,170022,217,,,,
2009,393,169459,232,,,,
2010,415,166700,249,,,,
2011,388,161843,240,,,,
2012,362,134929,268,,,,32,24
2013,366,133297,275,,,,30,23
2014,319,135225,236,,,,23,17
2015,355,128824,276,,,,24,19
2016,334,128705,260,,,,26,20.2
2017,388,130807,297,,,,31,23.7
2018,452,128875,351,,,,30,23.3
2019,399,125270,319,,,,38,30.3
2020,492,107347,458,141,351,327,31,29
2021,392,98077,400,90,302,308,15,15
2022,389,96341,404,13,376,390,21,22
2023,383,95267,402,1,382,401,30,31
2024,409,92295,443,2,407,,29,31
