Year,Month,Location,Age Group,Population
2025,Jan,ASP,18-24 Years,130
2025,Jan,ASP,25-29 Years,267
2025,Jan,ASP,30-34 Years,418
2025,Jan,ASP,35-39 Years,602
2025,Jan,ASP,40-44 Years,675
2025,Jan,ASP,45-49 Years,571
2025,Jan,ASP,50-54 Years,475
2025,Jan,ASP,55-59 Years,375
2025,Jan,ASP,60-64 Years,266
2025,Jan,ASP,65-69 Years,*
2025,Jan,ASP,70-74 Years,(Blank)
2025,Jan,ASP,75-79 Years,(Blank)
2025,Jan,ASP,80-84 Years,(Blank)
2025,Jan,ASP,85-89 Years,(Blank)
2025,Jan,ASP,90-94 Years,(Blank)
2025,Jan,ASP,95 and Older,(Blank)
2025,Jan,CIW,18-24 Years,71
2025,Jan,CIW,25-29 Years,152
2025,Jan,CIW,30-34 Years,249
2025,Jan,CIW,35-39 Years,229
2025,Jan,CIW,40-44 Years,182
2025,Jan,CIW,45-49 Years,127
2025,Jan,CIW,50-54 Years,66
2025,Jan,CIW,55-59 Years,70
2025,Jan,CIW,60-64 Years,65
2025,Jan,CIW,65-69 Years,35
2025,Jan,CIW,70-74 Years,15
2025,Jan,CIW,75-79 Years,14
2025,Jan,CIW,80-84 Years,*
2025,Jan,CIW,85-89 Years,(Blank)
2025,Jan,CIW,90-94 Years,*
2025,Jan,CIW,95 and Older,(Blank)
2025,Jan,CMC,18-24 Years,53
2025,Jan,CMC,25-29 Years,197
2025,Jan,CMC,30-34 Years,376
2025,Jan,CMC,35-39 Years,370
2025,Jan,CMC,40-44 Years,331
2025,Jan,CMC,45-49 Years,246
2025,Jan,CMC,50-54 Years,180
2025,Jan,CMC,55-59 Years,149
2025,Jan,CMC,60-64 Years,149
2025,Jan,CMC,65-69 Years,92
2025,Jan,CMC,70-74 Years,41
2025,Jan,CMC,75-79 Years,10
2025,Jan,CMC,80-84 Years,*
2025,Jan,CMC,85-89 Years,*
2025,Jan,CMC,90-94 Years,(Blank)
2025,Jan,CMC,95 and Older,(Blank)
2025,Jan,CMF,18-24 Years,14
2025,Jan,CMF,25-29 Years,81
2025,Jan,CMF,30-34 Years,182
2025,Jan,CMF,35-39 Years,187
2025,Jan,CMF,40-44 Years,164
2025,Jan,CMF,45-49 Years,203
2025,Jan,CMF,50-54 Years,160
2025,Jan,CMF,55-59 Years,203
2025,Jan,CMF,60-64 Years,190
2025,Jan,CMF,65-69 Years,203
2025,Jan,CMF,70-74 Years,137
2025,Jan,CMF,75-79 Years,94
2025,Jan,CMF,80-84 Years,36
2025,Jan,CMF,85-89 Years,11
2025,Jan,CMF,90-94 Years,*
2025,Jan,CMF,95 and Older,(Blank)
2025,Jan,COR,18-24 Years,36
2025,Jan,COR,25-29 Years,162
2025,Jan,COR,30-34 Years,300
2025,Jan,COR,35-39 Years,367
2025,Jan,COR,40-44 Years,374
2025,Jan,COR,45-49 Years,344
2025,Jan,COR,50-54 Years,298
2025,Jan,COR,55-59 Years,287
2025,Jan,COR,60-64 Years,225
2025,Jan,COR,65-69 Years,163
2025,Jan,COR,70-74 Years,64
