Year,Month,Location,Country of Birth,Population
2025,Jan,ASP,El Salvador,72
2025,Jan,ASP,Guatemala,68
2025,Jan,ASP,Mexico,832
2025,Jan,ASP,Others,812
2025,Jan,ASP,Philippines,*
2025,Jan,ASP,United States,"1,975"
2025,Jan,ASP,Vietnam,22
2025,Jan,CIW,El Salvador,*
2025,Jan,CIW,Guatemala,*
2025,Jan,CIW,Mexico,43
2025,Jan,CIW,Others,124
2025,Jan,CIW,Philippines,*
2025,Jan,CIW,United States,"1,098"
2025,Jan,CIW,Vietnam,*
2025,Jan,CMC,El Salvador,16
2025,Jan,CMC,Guatemala,15
2025,Jan,CMC,Mexico,128
2025,Jan,CMC,Others,212
2025,Jan,CMC,Philippines,*
2025,Jan,CMC,United States,"1,815"
2025,Jan,CMC,Vietnam,*
2025,Jan,CMF,El Salvador,*
2025,Jan,CMF,Guatemala,*
2025,Jan,CMF,Mexico,134
2025,Jan,CMF,Others,168
2025,Jan,CMF,Philippines,*
2025,Jan,CMF,United States,"1,537"
2025,Jan,CMF,Vietnam,*
2025,Jan,COR,El Salvador,32
2025,Jan,COR,Guatemala,15
2025,Jan,COR,Mexico,316
2025,Jan,COR,Others,277
2025,Jan,COR,Philippines,15
2025,Jan,COR,United States,"2,001"
2025,Jan,COR,Vietnam,*
2025,Jan,CRC,El Salvador,41
2025,Jan,CRC,Guatemala,37
2025,Jan,CRC,Mexico,337
2025,Jan,CRC,Others,463
2025,Jan,CRC,Philippines,*
2025,Jan,CRC,United States,"1,841"
2025,Jan,CRC,Vietnam,10
2025,Jan,CTF,El Salvador,72
2025,Jan,CTF,Guatemala,33
2025,Jan,CTF,Mexico,782
2025,Jan,CTF,Others,384
2025,Jan,CTF,Philippines,33
2025,Jan,CTF,United States,"3,016"
2025,Jan,CTF,Vietnam,26
2025,Jan,FOL,El Salvador,18
2025,Jan,FOL,Guatemala,14
2025,Jan,FOL,Mexico,240
2025,Jan,FOL,Others,299
2025,Jan,FOL,Philippines,*
2025,Jan,FOL,United States,"2,174"
2025,Jan,FOL,Vietnam,11
2025,Jan,HDSP,El Salvador,23
2025,Jan,HDSP,Guatemala,11
2025,Jan,HDSP,Mexico,148
2025,Jan,HDSP,Others,307
2025,Jan,HDSP,Philippines,*
2025,Jan,HDSP,United States,"2,300"
2025,Jan,HDSP,Vietnam,*
2025,Jan,ISP,El Salvador,47
2025,Jan,ISP,Guatemala,50
2025,Jan,ISP,Mexico,518
2025,Jan,ISP,Others,450
2025,Jan,ISP,Philippines,19
2025,Jan,ISP,United States,"1,732"
2025,Jan,ISP,Vietnam,*
2025,Jan,KVSP,El Salvador,20
2025,Jan,KVSP,Guatemala,*
2025,Jan,KVSP,Mexico,181
2025,Jan,KVSP,Others,220
2025,Jan,KVSP,Philippines,*
2025,Jan,KVSP,United States,"2,752"
2025,Jan,KVSP,Vietnam,*
2025,Jan,LAC,El Salvador,15
2025,Jan,LAC,Guatemala,*
2025,Jan,LAC,Mexico,142
2025,Jan,LAC,Others,232
2025,Jan,LAC,Philippines,*
2025,Jan,LAC,United States,"2,702"
2025,Jan,LAC,Vietnam,*
2025,Jan,MCSP,El Salvador,24
2025,Jan,MCSP,Guatemala,16
2025,Jan,MCSP,Mexico,246
2025,Jan,MCSP,Others,364
2025,Jan,MCSP,Philippines,14
2025,Jan,MCSP,United States,"3,183"
2025,Jan,MCSP,Vietnam,*
2025,Jan,NKSP,El Salvador,11
2025,Jan,NKSP,Guatemala,13
2025,Jan,NKSP,Mexico,93
2025,Jan,NKSP,Others,561
2025,Jan,NKSP,Philippines,*
2025,Jan,NKSP,United States,"2,014"
2025,Jan,NKSP,Vietnam,*
2025,Jan,PBSP,El Salvador,18
2025,Jan,PBSP,Guatemala,11
2025,Jan,PBSP,Mexico,129
2025,Jan,PBSP,Others,252
2025,Jan,PBSP,Philippines,*
2025,Jan,PBSP,United States,"1,608"
2025,Jan,PBSP,Vietnam,*
2025,Jan,PVSP,El Salvador,28
2025,Jan,PVSP,Guatemala,19
2025,Jan,PVSP,Mexico,248
2025,Jan,PVSP,Others,567
2025,Jan,PVSP,Philippines,*
2025,Jan,PVSP,United States,"2,034"
2025,Jan,PVSP,Vietnam,*
2025,Jan,RJD,El Salvador,25
2025,Jan,RJD,Guatemala,13
2025,Jan,RJD,Mexico,257
2025,Jan,RJD,Others,308
2025,Jan,RJD,Philippines,12
2025,Jan,RJD,United States,"2,642"
2025,Jan,RJD,Vietnam,16
2025,Jan,SAC,El Salvador,16
2025,Jan,SAC,Guatemala,*
2025,Jan,SAC,Mexico,117
2025,Jan,SAC,Others,212
2025,Jan,SAC,Philippines,*
2025,Jan,SAC,United States,"1,754"
2025,Jan,SAC,Vietnam,*
2025,Jan,CAL,El Salvador,13
2025,Jan,CAL,Guatemala,13
2025,Jan,CAL,Mexico,150
2025,Jan,CAL,Others,211
2025,Jan,CAL,Philippines,(Blank)
2025,Jan,CAL,United States,"2,087"
2025,Jan,CAL,Vietnam,11
2025,Jan,SATF,El Salvador,52
2025,Jan,SATF,Guatemala,37
2025,Jan,SATF,Mexico,463
2025,Jan,SATF,Others,533
2025,Jan,SATF,Philippines,18
2025,Jan,SATF,United States,"4,030"
2025,Jan,SATF,Vietnam,13
2025,Jan,SCC,El Salvador,19
2025,Jan,SCC,Guatemala,*
2025,Jan,SCC,Mexico,191
2025,Jan,SCC,Others,760
2025,Jan,SCC,Philippines,*
2025,Jan,SCC,United States,"3,175"
2025,Jan,SCC,Vietnam,*
2025,Jan,SOL,El Salvador,16
2025,Jan,SOL,Guatemala,14
2025,Jan,SOL,Mexico,258
2025,Jan,SOL,Others,498
2025,Jan,SOL,Philippines,11
2025,Jan,SOL,United States,"3,063"
2025,Jan,SOL,Vietnam,22
2025,Jan,SQ,El Salvador,45
2025,Jan,SQ,Guatemala,27
2025,Jan,SQ,Mexico,384
2025,Jan,SQ,Others,173
2025,Jan,SQ,Philippines,19
2025,Jan,SQ,United States,"2,260"
2025,Jan,SQ,Vietnam,23
2025,Jan,SVSP,El Salvador,*
2025,Jan,SVSP,Guatemala,*
2025,Jan,SVSP,Mexico,110
2025,Jan,SVSP,Others,159
2025,Jan,SVSP,Philippines,(Blank)
2025,Jan,SVSP,United States,"2,067"
2025,Jan,SVSP,Vietnam,*
2025,Jan,VSP,El Salvador,41
2025,Jan,VSP,Guatemala,24
2025,Jan,VSP,Mexico,337
2025,Jan,VSP,Others,388
2025,Jan,VSP,Philippines,15
2025,Jan,VSP,United States,"2,313"
2025,Jan,VSP,Vietnam,14
2025,Jan,WSP,El Salvador,12
2025,Jan,WSP,Guatemala,12
2025,Jan,WSP,Mexico,173
2025,Jan,WSP,Others,518
2025,Jan,WSP,Philippines,*
2025,Jan,WSP,United States,"3,112"
2025,Jan,WSP,Vietnam,*
2025,Jan,CPMP,El Salvador,(Blank)
2025,Jan,CPMP,Guatemala,(Blank)
2025,Jan,CPMP,Mexico,(Blank)
2025,Jan,CPMP,Others,*
2025,Jan,CPMP,Philippines,(Blank)
2025,Jan,CPMP,United States,*
2025,Jan,CPMP,Vietnam,(Blank)
2025,Jan,FCRF,El Salvador,*
2025,Jan,FCRF,Guatemala,*
2025,Jan,FCRF,Mexico,11
2025,Jan,FCRF,Others,52
2025,Jan,FCRF,Philippines,*
2025,Jan,FCRF,United States,292
2025,Jan,FCRF,Vietnam,(Blank)
2025,Jan,Alternative Custody Program,El Salvador,(Blank)
2025,Jan,Alternative Custody Program,Guatemala,(Blank)
2025,Jan,Alternative Custody Program,Mexico,(Blank)
2025,Jan,Alternative Custody Program,Others,*
2025,Jan,Alternative Custody Program,Philippines,(Blank)
2025,Jan,Alternative Custody Program,United States,10
2025,Jan,Alternative Custody Program,Vietnam,(Blank)
2025,Jan,Department of State Hospitals,El Salvador,(Blank)
2025,Jan,Department of State Hospitals,Guatemala,*
2025,Jan,Department of State Hospitals,Mexico,15
2025,Jan,Department of State Hospitals,Others,14
2025,Jan,Department of State Hospitals,Philippines,*
2025,Jan,Department of State Hospitals,United States,148
2025,Jan,Department of State Hospitals,Vietnam,(Blank)
2025,Jan,Male Community Reentry Facility,El Salvador,*
