Year,Month,Location,Gender,Population
2025,Jan,ASP,Female,(Blank)
2025,Jan,ASP,Male,"3,784"
2025,Jan,CIW,Female,"1,271"
2025,Jan,CIW,Male,10
2025,Jan,CMC,Female,(Blank)
2025,Jan,CMC,Male,"2,200"
2025,Jan,CMF,Female,*
2025,Jan,CMF,Male,"1,868"
2025,Jan,COR,Female,(Blank)
2025,Jan,COR,Male,"2,664"
2025,Jan,CRC,Female,(Blank)
2025,Jan,CRC,Male,"2,737"
2025,Jan,CTF,Female,(Blank)
2025,Jan,CTF,Male,"4,346"
2025,Jan,FOL,Female,(Blank)
2025,Jan,FOL,Male,"2,765"
2025,Jan,HDSP,Female,(Blank)
2025,Jan,HDSP,Male,"2,801"
2025,Jan,ISP,Female,(Blank)
2025,Jan,ISP,Male,"2,823"
2025,Jan,KVSP,Female,(Blank)
2025,Jan,KVSP,Male,"3,182"
2025,Jan,LAC,Female,(Blank)
2025,Jan,LAC,Male,"3,113"
2025,Jan,MCSP,Female,*
2025,Jan,MCSP,Male,"3,851"
2025,Jan,NKSP,Female,(Blank)
2025,Jan,NKSP,Male,"2,697"
2025,Jan,PBSP,Female,(Blank)
2025,Jan,PBSP,Male,"2,030"
2025,Jan,PVSP,Female,(Blank)
2025,Jan,PVSP,Male,"2,899"
2025,Jan,RJD,Female,(Blank)
2025,Jan,RJD,Male,"3,273"
2025,Jan,SAC,Female,(Blank)
2025,Jan,SAC,Male,"2,113"
2025,Jan,CAL,Female,(Blank)
2025,Jan,CAL,Male,"2,485"
2025,Jan,SATF,Female,(Blank)
2025,Jan,SATF,Male,"5,146"
2025,Jan,SCC,Female,(Blank)
2025,Jan,SCC,Male,"4,170"
2025,Jan,SOL,Female,(Blank)
2025,Jan,SOL,Male,"3,882"
2025,Jan,SQ,Female,(Blank)
2025,Jan,SQ,Male,"2,931"
2025,Jan,SVSP,Female,(Blank)
2025,Jan,SVSP,Male,"2,356"
2025,Jan,VSP,Female,(Blank)
2025,Jan,VSP,Male,"3,132"
2025,Jan,WSP,Female,(Blank)
2025,Jan,WSP,Male,"3,834"
2025,Jan,CPMP,Female,*
2025,Jan,CPMP,Male,(Blank)
2025,Jan,FCRF,Female,358
2025,Jan,FCRF,Male,(Blank)
2025,Jan,Alternative Custody Program,Female,*
2025,Jan,Alternative Custody Program,Male,10
2025,Jan,Department of State Hospitals,Female,12
2025,Jan,Department of State Hospitals,Male,167
2025,Jan,Male Community Reentry Facility,Female,(Blank)
2025,Jan,Male Community Reentry Facility,Male,656
2025,Jan,Medical Reprieve Program,Female,*
2025,Jan,Medical Reprieve Program,Male,*
2025,Jan,CCI,Female,(Blank)
2025,Jan,CCI,Male,"2,371"
2025,Jan,CCWF,Female,"1,982"
2025,Jan,CCWF,Male,13
2025,Jan,CEN,Female,(Blank)
2025,Jan,CEN,Male,"2,794"
2025,Jan,CHCF,Female,(Blank)
2025,Jan,CHCF,Male,"2,095"
2025,Jan,CIM,Female,(Blank)
2025,Jan,CIM,Male,"2,238"
2025,Feb,ASP,Female,(Blank)
2025,Feb,ASP,Male,"3,765"
2025,Feb,CIW,Female,"1,231"
