Year,Month,Location,Race,Population
2025,Jan,ASP,American Indian/Alaskan Native,52
2025,Jan,ASP,Asian,51
2025,Jan,ASP,Black,**
2025,Jan,ASP,Cuban,(Blank)
2025,Jan,ASP,Hispanic,"2,055"
2025,Jan,ASP,Mexican,497
2025,Jan,ASP,N/A,(Blank)
2025,Jan,ASP,Other,167
2025,Jan,ASP,Pacific Islander,**
2025,Jan,ASP,White,915
2025,Jan,CIW,American Indian/Alaskan Native,**
2025,Jan,CIW,Asian,**
2025,Jan,CIW,Black,283
2025,Jan,CIW,Cuban,(Blank)
2025,Jan,CIW,Hispanic,404
2025,Jan,CIW,Mexican,51
2025,Jan,CIW,N/A,(Blank)
2025,Jan,CIW,Other,**
2025,Jan,CIW,Pacific Islander,**
2025,Jan,CIW,White,435
2025,Jan,CMC,American Indian/Alaskan Native,**
2025,Jan,CMC,Asian,**
2025,Jan,CMC,Black,739
2025,Jan,CMC,Cuban,**
2025,Jan,CMC,Hispanic,666
2025,Jan,CMC,Mexican,172
2025,Jan,CMC,N/A,(Blank)
2025,Jan,CMC,Other,94
2025,Jan,CMC,Pacific Islander,**
2025,Jan,CMC,White,453
2025,Jan,CMF,American Indian/Alaskan Native,**
2025,Jan,CMF,Asian,**
2025,Jan,CMF,Black,643
2025,Jan,CMF,Cuban,(Blank)
2025,Jan,CMF,Hispanic,372
2025,Jan,CMF,Mexican,186
2025,Jan,CMF,N/A,(Blank)
2025,Jan,CMF,Other,82
2025,Jan,CMF,Pacific Islander,**
2025,Jan,CMF,White,541
2025,Jan,COR,American Indian/Alaskan Native,**
2025,Jan,COR,Asian,**
2025,Jan,COR,Black,666
2025,Jan,COR,Cuban,**
2025,Jan,COR,Hispanic,880
2025,Jan,COR,Mexican,376
2025,Jan,COR,N/A,(Blank)
2025,Jan,COR,Other,85
2025,Jan,COR,Pacific Islander,**
2025,Jan,COR,White,571
2025,Jan,CRC,American Indian/Alaskan Native,**
2025,Jan,CRC,Asian,51
2025,Jan,CRC,Black,767
2025,Jan,CRC,Cuban,(Blank)
2025,Jan,CRC,Hispanic,"1,163"
2025,Jan,CRC,Mexican,138
2025,Jan,CRC,N/A,(Blank)
2025,Jan,CRC,Other,86
2025,Jan,CRC,Pacific Islander,**
2025,Jan,CRC,White,498
2025,Jan,CTF,American Indian/Alaskan Native,**
2025,Jan,CTF,Asian,60
2025,Jan,CTF,Black,"1,054"
2025,Jan,CTF,Cuban,**
2025,Jan,CTF,Hispanic,"1,494"
2025,Jan,CTF,Mexican,700
2025,Jan,CTF,N/A,(Blank)
2025,Jan,CTF,Other,212
2025,Jan,CTF,Pacific Islander,**
2025,Jan,CTF,White,770
2025,Jan,FOL,American Indian/Alaskan Native,**
2025,Jan,FOL,Asian,**
2025,Jan,FOL,Black,759
2025,Jan,FOL,Cuban,**
2025,Jan,FOL,Hispanic,"1,043"
2025,Jan,FOL,Mexican,396
2025,Jan,FOL,N/A,(Blank)
2025,Jan,FOL,Other,127
2025,Jan,FOL,Pacific Islander,**
2025,Jan,FOL,White,350
2025,Jan,HDSP,American Indian/Alaskan Native,**
2025,Jan,HDSP,Asian,**
2025,Jan,HDSP,Black,955
2025,Jan,HDSP,Cuban,(Blank)
2025,Jan,HDSP,Hispanic,943
2025,Jan,HDSP,Mexican,214
2025,Jan,HDSP,N/A,(Blank)
2025,Jan,HDSP,Other,86
2025,Jan,HDSP,Pacific Islander,**
2025,Jan,HDSP,White,524
2025,Jan,ISP,American Indian/Alaskan Native,**
2025,Jan,ISP,Asian,54
2025,Jan,ISP,Black,553
2025,Jan,ISP,Cuban,(Blank)
2025,Jan,ISP,Hispanic,"1,427"
2025,Jan,ISP,Mexican,317
2025,Jan,ISP,N/A,(Blank)
2025,Jan,ISP,Other,91
2025,Jan,ISP,Pacific Islander,**
2025,Jan,ISP,White,353
2025,Jan,KVSP,American Indian/Alaskan Native,**
2025,Jan,KVSP,Asian,**
2025,Jan,KVSP,Black,"1,099"
2025,Jan,KVSP,Cuban,**
2025,Jan,KVSP,Hispanic,"1,141"
2025,Jan,KVSP,Mexican,465
2025,Jan,KVSP,N/A,(Blank)
2025,Jan,KVSP,Other,90
2025,Jan,KVSP,Pacific Islander,**
2025,Jan,KVSP,White,323
2025,Jan,LAC,American Indian/Alaskan Native,**
2025,Jan,LAC,Asian,**
2025,Jan,LAC,Black,"1,392"
2025,Jan,LAC,Cuban,(Blank)
2025,Jan,LAC,Hispanic,807
2025,Jan,LAC,Mexican,397
2025,Jan,LAC,N/A,(Blank)
2025,Jan,LAC,Other,93
2025,Jan,LAC,Pacific Islander,**
2025,Jan,LAC,White,371
2025,Jan,MCSP,American Indian/Alaskan Native,75
2025,Jan,MCSP,Asian,**
2025,Jan,MCSP,Black,986
2025,Jan,MCSP,Cuban,**
2025,Jan,MCSP,Hispanic,955
2025,Jan,MCSP,Mexican,444
2025,Jan,MCSP,N/A,(Blank)
2025,Jan,MCSP,Other,176
2025,Jan,MCSP,Pacific Islander,**
2025,Jan,MCSP,White,"1,166"
2025,Jan,NKSP,American Indian/Alaskan Native,**
2025,Jan,NKSP,Asian,**
2025,Jan,NKSP,Black,781
2025,Jan,NKSP,Cuban,(Blank)
2025,Jan,NKSP,Hispanic,"1,151"
2025,Jan,NKSP,Mexican,149
2025,Jan,NKSP,N/A,(Blank)
2025,Jan,NKSP,Other,62
2025,Jan,NKSP,Pacific Islander,**
2025,Jan,NKSP,White,497
2025,Jan,PBSP,American Indian/Alaskan Native,**
2025,Jan,PBSP,Asian,**
2025,Jan,PBSP,Black,632
2025,Jan,PBSP,Cuban,**
2025,Jan,PBSP,Hispanic,640
2025,Jan,PBSP,Mexican,179
2025,Jan,PBSP,N/A,(Blank)
2025,Jan,PBSP,Other,77
2025,Jan,PBSP,Pacific Islander,**
2025,Jan,PBSP,White,416
2025,Jan,PVSP,American Indian/Alaskan Native,**
2025,Jan,PVSP,Asian,**
2025,Jan,PVSP,Black,**
2025,Jan,PVSP,Cuban,**
2025,Jan,PVSP,Hispanic,"1,795"
2025,Jan,PVSP,Mexican,276
2025,Jan,PVSP,N/A,(Blank)
2025,Jan,PVSP,Other,92
2025,Jan,PVSP,Pacific Islander,**
2025,Jan,PVSP,White,642
2025,Jan,RJD,American Indian/Alaskan Native,**
2025,Jan,RJD,Asian,**
2025,Jan,RJD,Black,"1,003"
2025,Jan,RJD,Cuban,**
2025,Jan,RJD,Hispanic,837
2025,Jan,RJD,Mexican,396
2025,Jan,RJD,N/A,(Blank)
2025,Jan,RJD,Other,153
2025,Jan,RJD,Pacific Islander,**
2025,Jan,RJD,White,789
