year,month,cdcr_code,in_custody
2026,1,ASP,3815
2026,1,CIW,1095
2026,1,CMC,2165
2026,1,CMF,2160
2026,1,COR,2625
2026,1,CRC,826
2026,1,CTF,4268
2026,1,FOL,2724
2026,1,HDSP,2908
2026,1,ISP,3248
2026,1,KVSP,3253
2026,1,LAC,3141
2026,1,MCSP,3470
2026,1,NKSP,2803
2026,1,PBSP,1955
2026,1,PVSP,3110
2026,1,RJD,3841
2026,1,SAC,2165
2026,1,CAL,2503
2026,1,SATF,5235
2026,1,SCC,4103
2026,1,SOL,3721
2026,1,SQ,2499
2026,1,SVSP,2329
2026,1,VSP,3172
2026,1,WSP,3265
2026,1,CPMP,
2026,1,FCRF,355
2026,1,Alternative Custody Program,
2026,1,Department of State Hospitals,180
2026,1,Male Community Reentry Facility,766
2026,1,Medical Reprieve Program,
2026,1,CCI,2329
2026,1,CCWF,2182
2026,1,CEN,3103
2026,1,CHCF,2354
2026,1,CIM,2346
2026,2,ASP,3882
2026,2,CIW,1081
2026,2,CMC,2116
2026,2,CMF,2158
2026,2,COR,2582
2026,2,CRC,603
2026,2,CTF,4362
2026,2,FOL,2678
2026,2,HDSP,2924
2026,2,ISP,3378
2026,2,KVSP,3281
2026,2,LAC,3259
2026,2,MCSP,3536
2026,2,NKSP,2713
2026,2,PBSP,1706
2026,2,PVSP,3133
2026,2,RJD,3968
2026,2,SAC,2167
2026,2,CAL,2530
2026,2,SATF,5255
2026,2,SCC,4104
2026,2,SOL,3445
2026,2,SQ,2467
2026,2,SVSP,2343
2026,2,VSP,3111
2026,2,WSP,3319
2026,2,CPMP,
2026,2,FCRF,349
2026,2,Alternative Custody Program,
2026,2,Department of State Hospitals,174
2026,2,Male Community Reentry Facility,769
2026,2,Medical Reprieve Program,
2026,2,CCI,2371
2026,2,CCWF,2184
2026,2,CEN,3125
2026,2,CHCF,2392
2026,2,CIM,2326
2026,3,ASP,3882
2026,3,CIW,1080
2026,3,CMC,2133
2026,3,CMF,2132
2026,3,COR,2577
2026,3,CRC,490
2026,3,CTF,4361
2026,3,FOL,2744
2026,3,HDSP,2858
