Fiscal Year,Length of Stay,3 Year Return Rate
2008-09,Less than 1 year,55.7%
2008-09,1 year (12 to 23 months),64.7%
2008-09,2 years (24 to 35 months),67.6%
2008-09,3 years (36 to 47 months),66.6%
2008-09,4 years (48 to 59 months),60.8%
2008-09,5 to 9 years,58.3%
2008-09,10 to 14 years,51.8%
2008-09,15 years or more,34.1%
2009-10,Less than 1 year,58.2%
2009-10,1 year (12 to 23 months),45.9%
2009-10,2 years (24 to 35 months),46.1%
2009-10,3 years (36 to 47 months),46.7%
2009-10,4 years (48 to 59 months),44.4%
2009-10,5 to 9 years,38.4%
2009-10,10 to 14 years,32.1%
2009-10,15 years or more,17.2%
2010-11,Less than 1 year,49.0%
2010-11,1 year (12 to 23 months),35.8%
2010-11,2 years (24 to 35 months),36.2%
2010-11,3 years (36 to 47 months),32.1%
2010-11,4 years (48 to 59 months),32.7%
2010-11,5 to 9 years,30.2%
2010-11,10 to 14 years,24.2%
2010-11,15 years or more,10.3%
2011-12,Less than 1 year,26.4%
2011-12,1 year (12 to 23 months),22.9%
2011-12,2 years (24 to 35 months),24.2%
2011-12,3 years (36 to 47 months),24.6%
2011-12,4 years (48 to 59 months),21.5%
2011-12,5 to 9 years,20.5%
2011-12,10 to 14 years,11.6%
2011-12,15 years or more,6.0%
2012-13,Less than 1 year,24.3%
2012-13,1 year (12 to 23 months),23.2%
2012-13,2 years (24 to 35 months),24.2%
2012-13,3 years (36 to 47 months),23.3%
2012-13,4 years (48 to 59 months),20.3%
2012-13,5 to 9 years,17.1%
2012-13,10 to 14 years,11.5%
2012-13,15 years or more,7.2%
2013-14,Less than 1 year,25.4%
2013-14,1 year (12 to 23 months),26.7%
2013-14,2 years (24 to 35 months),23.0%
2013-14,3 years (36 to 47 months),22.3%
2013-14,4 years (48 to 59 months),18.3%
2013-14,5 to 9 years,17.8%
2013-14,10 to 14 years,12.3%
2013-14,15 years or more,7.4%
2014-15,Less than 1 year,25.7%
2014-15,1 year (12 to 23 months),27.1%
2014-15,2 years (24 to 35 months),27.7%
2014-15,3 years (36 to 47 months),21.5%
2014-15,4 years (48 to 59 months),19.8%
2014-15,5 to 9 years,15.6%
2014-15,10 to 14 years,11.3%
2014-15,15 years or more,6.0%
2015-16,Less than 1 year,25.1%
2015-16,1 year (12 to 23 months),26.2%
2015-16,2 years (24 to 35 months),27.6%
2015-16,3 years (36 to 47 months),24.4%
2015-16,4 years (48 to 59 months),17.6%
2015-16,5 to 9 years,17.1%
2015-16,10 to 14 years,11.6%
2015-16,15 years or more,4.9%
2016-17,Less than 1 year,25.2%
2016-17,1 year (12 to 23 months),28.3%
2016-17,2 years (24 to 35 months),26.7%
2016-17,3 years (36 to 47 months),22.7%
2016-17,4 years (48 to 59 months),19.4%
2016-17,5 to 9 years,14.5%
2016-17,10 to 14 years,11.1%
2016-17,15 years or more,5.2%
2017-18,Less than 1 year,20.9%
2017-18,1 year (12 to 23 months),23.9%
2017-18,2 years (24 to 35 months),22.9%
2017-18,3 years (36 to 47 months),18.0%
2017-18,4 years (48 to 59 months),16.8%
2017-18,5 to 9 years,12.0%
2017-18,10 to 14 years,8.9%
2017-18,15 years or more,2.8%
2018-19,Less than 1 year,17.4%
2018-19,1 year (12 to 23 months),20.6%
2018-19,2 years (24 to 35 months),20.3%
2018-19,3 years (36 to 47 months),17.1%
2018-19,4 years (48 to 59 months),13.6%
2018-19,5 to 9 years,10.2%
2018-19,10 to 14 years,6.6%
2018-19,15 years or more,2.8%
2019-20,Less than 1 year,18.2%
2019-20,1 year (12 to 23 months),20.6%
2019-20,2 years (24 to 35 months),20.5%
2019-20,3 years (36 to 47 months),18.3%
2019-20,4 years (48 to 59 months),16.1%
2019-20,5 to 9 years,12.0%
2019-20,10 to 14 years,6.4%
2019-20,15 years or more,2.4%
