facility,year,month,violent_incidents,inmate_on_inmate,staff_involved,assault_on_inmate,battery_on_inmate,fighting,riot,assault_on_officer,battery_on_officer,cell_extractions,source_file
ASP,2021,1,3,1,2,0,0,1,0,0,2,0,d2201
ASP,2021,2,4,3,1,0,2,1,0,0,0,1,d2201
ASP,2021,3,1,1,0,0,1,0,0,0,0,0,d2201
ASP,2021,4,1,0,1,0,0,0,0,0,1,0,d2201
ASP,2021,5,6,5,1,0,3,2,0,0,0,1,d2201
ASP,2021,6,13,12,1,0,9,3,0,0,1,0,d2201
ASP,2021,7,14,13,1,0,11,2,0,0,0,1,d2201
ASP,2021,8,7,7,0,1,4,2,0,0,0,0,d2201
ASP,2021,9,10,9,1,0,8,1,0,1,0,0,d2201
ASP,2021,10,11,10,1,0,9,1,0,0,1,0,d2201
ASP,2021,11,15,13,2,0,12,1,0,0,2,0,d2201
ASP,2021,12,13,12,1,0,8,4,0,0,1,0,d2212
ASP,2022,1,5,5,0,0,3,2,0,0,0,0,d2212
ASP,2022,2,10,10,0,0,7,3,0,0,0,0,d2212
ASP,2022,3,18,16,2,0,11,5,0,2,0,0,d2212
ASP,2022,4,23,22,1,1,16,5,0,0,1,0,d2212
ASP,2022,5,24,23,1,0,19,4,0,0,0,1,d2212
ASP,2022,6,25,20,5,0,15,5,0,0,2,3,d2212
ASP,2022,7,8,8,0,1,4,3,0,0,0,0,d2212
ASP,2022,8,30,26,4,0,18,8,0,1,1,2,d2212
ASP,2022,9,22,20,2,0,17,3,0,0,1,1,d2212
ASP,2022,10,8,8,0,0,6,2,0,0,0,0,d2212
ASP,2022,11,10,10,0,0,4,5,1,0,0,0,d2212
ASP,2022,12,17,15,2,0,11,4,0,0,2,0,d2312
ASP,2023,1,13,13,0,0,10,3,0,0,0,0,d2312
ASP,2023,2,12,10,2,0,9,1,0,1,1,0,d2312
ASP,2023,3,27,24,3,0,18,6,0,0,3,0,d2312
ASP,2023,4,27,24,3,0,15,9,0,0,3,0,d2312
ASP,2023,5,25,24,1,1,19,4,0,0,1,0,d2312
ASP,2023,6,31,29,2,0,19,10,0,0,2,0,d2312
ASP,2023,7,19,17,2,0,10,7,0,0,2,0,d2312
ASP,2023,8,38,36,2,0,27,9,0,0,2,0,d2312
ASP,2023,9,11,11,0,0,8,3,0,0,0,0,d2312
ASP,2023,10,24,20,4,0,9,11,0,0,3,1,d2312
ASP,2023,11,15,13,2,0,10,3,0,0,2,0,d2312
ASP,2023,12,34,30,4,1,20,9,0,1,2,1,d2312
ASP,2024,1,35,32,3,0,24,8,0,2,1,0,d2501
ASP,2024,2,34,32,2,1,26,4,1,0,1,1,d2501
ASP,2024,3,33,33,0,0,28,5,0,0,0,0,d2501
ASP,2024,4,19,18,1,0,10,8,0,0,1,0,d2501
ASP,2024,5,22,22,0,0,9,13,0,0,0,0,d2501
ASP,2024,6,20,18,2,0,12,6,0,1,1,0,d2501
ASP,2024,7,22,20,2,0,11,9,0,0,2,0,d2501
ASP,2024,8,7,6,1,0,4,2,0,0,1,0,d2501
ASP,2024,9,9,6,3,0,4,2,0,0,2,1,d2501
ASP,2024,10,6,4,2,0,3,1,0,0,2,0,d2501
ASP,2024,11,14,13,1,0,7,6,0,0,1,0,d2501
ASP,2024,12,11,8,3,1,3,4,0,1,2,0,d2512
ASP,2025,1,15,12,3,0,7,5,0,1,2,0,d2512
ASP,2025,2,12,10,2,0,5,5,0,0,2,0,d2512
ASP,2025,3,10,10,0,0,5,5,0,0,0,0,d2512
ASP,2025,4,17,13,4,0,10,3,0,0,4,0,d2512
ASP,2025,5,12,12,0,0,7,5,0,0,0,0,d2512
ASP,2025,6,18,14,4,0,9,5,0,0,4,0,d2512
ASP,2025,7,14,14,0,0,9,5,0,0,0,0,d2512
ASP,2025,8,24,18,6,0,11,7,0,0,5,1,d2512
ASP,2025,9,13,11,2,0,6,5,0,0,2,0,d2512
ASP,2025,10,11,10,1,0,8,2,0,0,1,0,d2512
ASP,2025,11,12,12,0,1,8,3,0,0,0,0,d2512
ASP,2025,12,7,7,0,0,5,2,0,0,0,0,d2512
CAC,2021,1,7,7,0,0,3,3,1,0,0,0,d2201
CAC,2021,2,2,1,1,0,1,0,0,0,1,0,d2201
CAC,2021,3,6,6,0,0,3,2,1,0,0,0,d2201
CAC,2021,4,11,11,0,0,7,4,0,0,0,0,d2201
CAC,2021,5,3,3,0,0,2,1,0,0,0,0,d2201
CAC,2021,6,2,2,0,0,2,0,0,0,0,0,d2201
CAC,2021,7,11,11,0,0,8,3,0,0,0,0,d2201
CAC,2021,8,3,2,1,0,2,0,0,0,1,0,d2201
CAC,2021,9,3,3,0,0,3,0,0,0,0,0,d2201
CAC,2021,10,11,10,1,0,4,6,0,0,1,0,d2201
CAC,2021,11,7,7,0,0,5,2,0,0,0,0,d2201
CAC,2021,12,1,0,1,0,0,0,0,0,1,0,d2212
CAC,2022,1,0,0,0,0,0,0,0,0,0,0,d2212
CAC,2022,2,8,7,1,0,7,0,0,0,1,0,d2212
CAC,2022,3,6,6,0,0,5,1,0,0,0,0,d2212
CAC,2022,4,3,3,0,0,3,0,0,0,0,0,d2212
CAC,2022,5,0,0,0,0,0,0,0,0,0,0,d2212
CAC,2022,6,1,1,0,0,0,1,0,0,0,0,d2212
CAC,2022,7,7,7,0,0,4,3,0,0,0,0,d2212
CAC,2022,8,7,7,0,0,4,2,1,0,0,0,d2212
CAC,2022,9,9,9,0,0,7,2,0,0,0,0,d2212
CAC,2022,10,14,13,1,0,10,3,0,1,0,0,d2212
CAC,2022,11,3,3,0,0,2,1,0,0,0,0,d2212
CAC,2022,12,7,7,0,0,5,1,1,0,0,0,d2312
CAC,2023,1,7,7,0,0,6,1,0,0,0,0,d2312
CAC,2023,2,7,7,0,0,4,3,0,0,0,0,d2312
CAC,2023,3,8,8,0,0,7,1,0,0,0,0,d2312
CAC,2023,4,9,7,2,0,7,0,0,0,1,1,d2312
CAC,2023,5,3,3,0,0,2,1,0,0,0,0,d2312
CAC,2023,6,1,1,0,0,1,0,0,0,0,0,d2312
CAC,2023,7,0,0,0,0,0,0,0,0,0,0,d2312
CAC,2023,8,1,0,1,0,0,0,0,0,1,0,d2312
CAL,2021,1,10,8,2,0,5,3,0,0,0,2,d2201
CAL,2021,2,12,8,4,0,2,6,0,0,3,1,d2201
CAL,2021,3,13,10,3,0,6,4,0,2,1,0,d2201
CAL,2021,4,10,10,0,0,3,7,0,0,0,0,d2201
CAL,2021,5,16,12,4,0,5,6,1,0,2,2,d2201
CAL,2021,6,5,4,1,0,2,2,0,0,1,0,d2201
CAL,2021,7,14,13,1,1,5,7,0,0,1,0,d2201
CAL,2021,8,8,7,1,0,5,2,0,0,1,0,d2201
CAL,2021,9,17,13,4,0,6,7,0,0,3,1,d2201
CAL,2021,10,13,12,1,0,4,7,1,0,1,0,d2201
CAL,2021,11,14,12,2,0,6,6,0,0,2,0,d2201
CAL,2021,12,7,6,1,0,3,3,0,0,1,0,d2212
CAL,2022,1,8,7,1,0,3,4,0,0,1,0,d2212
CAL,2022,2,9,8,1,0,5,3,0,0,1,0,d2212
CAL,2022,3,17,14,3,0,7,6,1,0,3,0,d2212
CAL,2022,4,10,7,3,0,4,3,0,1,2,0,d2212
CAL,2022,5,7,6,1,0,3,3,0,0,1,0,d2212
CAL,2022,6,5,4,1,0,2,2,0,0,1,0,d2212
CAL,2022,7,10,8,2,0,2,6,0,1,1,0,d2212
CAL,2022,8,13,13,0,0,6,7,0,0,0,0,d2212
CAL,2022,9,6,5,1,0,1,4,0,0,1,0,d2212
CAL,2022,10,7,7,0,0,4,3,0,0,0,0,d2212
CAL,2022,11,6,6,0,0,2,3,1,0,0,0,d2212
CAL,2022,12,17,14,3,2,7,5,0,0,2,1,d2312
CAL,2023,1,4,3,1,0,2,1,0,0,1,0,d2312
CAL,2023,2,16,14,2,0,8,4,2,0,1,1,d2312
CAL,2023,3,22,19,3,0,10,9,0,0,3,0,d2312
CAL,2023,4,20,19,1,0,14,5,0,0,1,0,d2312
CAL,2023,5,20,16,4,0,11,5,0,0,2,2,d2312
CAL,2023,6,23,17,6,1,12,4,0,1,3,2,d2312
CAL,2023,7,11,11,0,0,6,5,0,0,0,0,d2312
CAL,2023,8,18,17,1,1,8,8,0,0,0,1,d2312
CAL,2023,9,5,3,2,0,1,2,0,0,1,1,d2312
CAL,2023,10,24,20,4,1,10,9,0,0,4,0,d2312
CAL,2023,11,18,17,1,1,11,5,0,0,1,0,d2312
CAL,2023,12,13,12,1,0,6,6,0,0,0,1,d2312
CAL,2024,1,13,10,3,0,2,8,0,0,2,1,d2501
CAL,2024,2,14,9,5,0,5,4,0,0,4,1,d2501
CAL,2024,3,19,19,0,1,13,5,0,0,0,0,d2501
CAL,2024,4,13,11,2,0,7,4,0,0,1,1,d2501
CAL,2024,5,39,36,3,4,20,12,0,1,2,0,d2501
CAL,2024,6,42,40,2,2,25,13,0,0,0,2,d2501
CAL,2024,7,19,17,2,0,15,2,0,0,2,0,d2501
CAL,2024,8,25,20,5,0,12,8,0,0,3,2,d2501
CAL,2024,9,29,27,2,0,17,10,0,0,2,0,d2501
CAL,2024,10,18,17,1,0,11,6,0,0,0,1,d2501
CAL,2024,11,27,24,3,1,17,6,0,0,1,2,d2501
CAL,2024,12,23,19,4,1,9,9,0,2,2,0,d2512
CAL,2025,1,20,19,1,1,10,8,0,0,1,0,d2512
CAL,2025,2,32,30,2,0,15,15,0,1,0,1,d2512
CAL,2025,3,22,16,6,0,7,9,0,1,4,1,d2512
CAL,2025,4,28,22,6,3,13,6,0,1,5,0,d2512
CAL,2025,5,17,17,0,0,8,9,0,0,0,0,d2512
CAL,2025,6,7,5,2,0,3,2,0,0,2,0,d2512
CAL,2025,7,28,27,1,1,13,13,0,0,1,0,d2512
CAL,2025,8,20,15,5,1,6,8,0,2,3,0,d2512
CAL,2025,9,29,28,1,2,14,12,0,0,0,1,d2512
CAL,2025,10,33,29,4,1,15,13,0,0,3,1,d2512
CAL,2025,11,16,15,1,0,11,4,0,0,1,0,d2512
CAL,2025,12,26,20,6,0,11,9,0,1,4,1,d2512
CCC,2021,1,9,6,3,0,4,1,1,0,3,0,d2201
CCC,2021,2,14,11,3,0,9,1,1,1,2,0,d2201
CCC,2021,3,8,8,0,0,7,1,0,0,0,0,d2201
CCC,2021,4,4,4,0,0,4,0,0,0,0,0,d2201
CCC,2021,5,18,18,0,0,14,3,1,0,0,0,d2201
CCC,2021,6,9,9,0,0,8,1,0,0,0,0,d2201
CCC,2021,7,4,4,0,0,3,0,1,0,0,0,d2201
CCC,2021,8,7,7,0,0,2,3,2,0,0,0,d2201
CCC,2021,9,5,5,0,0,4,1,0,0,0,0,d2201
CCC,2021,10,5,4,1,0,4,0,0,0,0,1,d2201
CCC,2021,11,4,4,0,0,2,2,0,0,0,0,d2201
CCC,2021,12,4,4,0,0,3,1,0,0,0,0,d2212
CCC,2022,1,8,6,2,1,4,1,0,0,2,0,d2212
CCC,2022,2,14,13,1,0,9,0,4,0,1,0,d2212
CCC,2022,3,12,11,1,1,9,1,0,0,1,0,d2212
CCC,2022,4,10,9,1,0,7,2,0,0,0,1,d2212
CCC,2022,5,13,13,0,0,10,3,0,0,0,0,d2212
CCC,2022,6,7,5,2,0,2,2,1,0,2,0,d2212
CCC,2022,7,5,5,0,0,2,2,1,0,0,0,d2212
CCC,2022,8,5,3,2,1,1,1,0,0,2,0,d2212
CCC,2022,9,13,13,0,0,10,3,0,0,0,0,d2212
CCC,2022,10,1,1,0,0,1,0,0,0,0,0,d2212
CCC,2023,2,0,0,0,0,0,0,0,0,0,0,d2312
CCI,2021,1,17,10,7,0,1,9,0,3,4,0,d2201
CCI,2021,2,17,12,5,0,6,6,0,5,0,0,d2201
CCI,2021,3,29,22,7,0,9,13,0,3,3,1,d2201
CCI,2021,4,21,15,6,0,7,8,0,4,1,1,d2201
CCI,2021,5,31,21,10,1,8,11,1,4,2,4,d2201
CCI,2021,6,23,18,5,1,6,11,0,2,3,0,d2201
CCI,2021,7,25,19,6,2,6,10,1,2,4,0,d2201
CCI,2021,8,29,24,5,0,9,15,0,1,3,1,d2201
CCI,2021,9,24,23,1,0,9,14,0,0,1,0,d2201
CCI,2021,10,16,13,3,2,5,6,0,1,1,1,d2201
CCI,2021,11,22,15,7,1,5,9,0,2,2,3,d2201
CCI,2021,12,41,35,6,0,14,21,0,4,0,2,d2212
CCI,2022,1,42,27,15,1,6,20,0,7,4,4,d2212
CCI,2022,2,25,20,5,3,7,10,0,3,1,1,d2212
CCI,2022,3,38,33,5,0,14,19,0,3,2,0,d2212
CCI,2022,4,55,42,13,3,19,20,0,5,6,2,d2212
CCI,2022,5,49,44,5,4,17,22,1,1,2,2,d2212
CCI,2022,6,26,19,7,0,7,12,0,2,5,0,d2212
CCI,2022,7,29,24,5,0,4,20,0,3,2,0,d2212
CCI,2022,8,42,26,16,1,3,21,1,3,7,6,d2212
CCI,2022,9,42,33,9,3,8,20,2,1,6,2,d2212
CCI,2022,10,45,35,10,3,8,24,0,5,4,1,d2212
CCI,2022,11,39,33,6,0,8,25,0,2,2,2,d2212
CCI,2022,12,29,26,3,0,8,18,0,1,2,0,d2312
CCI,2023,1,42,39,3,1,14,23,1,3,0,0,d2312
CCI,2023,2,53,45,8,2,16,26,1,2,5,1,d2312
CCI,2023,3,26,25,1,2,13,9,1,0,1,0,d2312
CCI,2023,4,30,24,6,0,11,12,1,0,1,5,d2312
CCI,2023,5,25,21,4,0,11,9,1,0,2,2,d2312
CCI,2023,6,34,31,3,0,13,18,0,1,1,1,d2312
CCI,2023,7,33,31,2,2,14,15,0,1,0,1,d2312
CCI,2023,8,50,45,5,3,17,24,1,0,2,3,d2312
CCI,2023,9,36,33,3,3,15,14,1,1,1,1,d2312
CCI,2023,10,18,14,4,0,9,5,0,0,4,0,d2312
CCI,2023,11,31,26,5,1,14,11,0,1,3,1,d2312
CCI,2023,12,43,32,11,1,16,15,0,4,5,2,d2312
CCI,2024,1,46,31,15,2,16,13,0,1,8,6,d2501
CCI,2024,2,40,28,12,3,14,11,0,0,10,2,d2501
CCI,2024,3,50,42,8,5,20,15,2,1,7,0,d2501
CCI,2024,4,37,27,10,2,13,11,1,2,7,1,d2501
CCI,2024,5,57,44,13,1,20,21,2,4,7,2,d2501
CCI,2024,6,28,22,6,0,12,9,1,0,6,0,d2501
CCI,2024,7,39,29,10,1,12,15,1,1,7,2,d2501
CCI,2024,8,48,42,6,1,20,20,1,2,4,0,d2501
CCI,2024,9,56,49,7,3,23,23,0,2,4,1,d2501
CCI,2024,10,53,36,17,2,19,13,2,2,14,1,d2501
CCI,2024,11,49,36,13,2,17,16,1,2,10,1,d2501
CCI,2024,12,51,36,15,0,19,17,0,3,10,2,d2512
CCI,2025,1,71,56,15,1,32,23,0,4,10,1,d2512
CCI,2025,2,60,48,12,2,24,21,1,4,5,3,d2512
CCI,2025,3,39,28,11,2,7,17,2,0,9,2,d2512
CCI,2025,4,51,33,18,1,19,13,0,6,12,0,d2512
CCI,2025,5,53,43,10,2,20,18,3,2,7,1,d2512
CCI,2025,6,29,20,9,0,11,8,1,3,5,1,d2512
CCI,2025,7,30,21,9,2,12,7,0,2,6,1,d2512
CCI,2025,8,68,52,16,2,27,21,2,1,13,2,d2512
CCI,2025,9,52,28,24,0,11,15,2,5,17,2,d2512
CCI,2025,10,55,27,28,2,10,15,0,4,19,5,d2512
CCI,2025,11,40,20,20,2,11,7,0,5,11,4,d2512
CCI,2025,12,56,45,11,1,22,22,0,2,9,0,d2512
CCWF,2021,1,8,2,6,0,0,2,0,0,6,0,d2201
CCWF,2021,2,12,7,5,1,2,4,0,2,2,1,d2201
CCWF,2021,3,18,9,9,0,5,4,0,0,9,0,d2201
CCWF,2021,4,19,9,10,1,2,6,0,1,9,0,d2201
CCWF,2021,5,21,9,12,0,2,7,0,1,9,2,d2201
CCWF,2021,6,31,23,8,2,9,12,0,3,5,0,d2201
CCWF,2021,7,34,21,13,2,11,8,0,3,9,1,d2201
CCWF,2021,8,18,12,6,0,4,8,0,1,4,1,d2201
CCWF,2021,9,26,10,16,0,3,7,0,3,10,3,d2201
CCWF,2021,10,18,12,6,2,2,8,0,3,2,1,d2201
CCWF,2021,11,5,2,3,0,1,1,0,0,2,1,d2201
CCWF,2021,12,22,10,12,0,3,7,0,2,9,1,d2212
CCWF,2022,1,22,14,8,0,8,5,1,2,5,1,d2212
CCWF,2022,2,13,9,4,0,4,5,0,1,1,2,d2212
CCWF,2022,3,16,12,4,0,4,8,0,1,3,0,d2212
CCWF,2022,4,17,15,2,0,8,7,0,1,0,1,d2212
CCWF,2022,5,15,8,7,0,4,4,0,1,3,3,d2212
CCWF,2022,6,22,11,11,0,4,7,0,3,6,2,d2212
CCWF,2022,7,23,15,8,1,8,6,0,2,5,1,d2212
CCWF,2022,8,19,15,4,1,7,6,1,1,2,1,d2212
CCWF,2022,9,14,10,4,0,4,6,0,1,0,3,d2212
CCWF,2022,10,17,12,5,1,4,7,0,0,5,0,d2212
CCWF,2022,11,32,28,4,0,13,15,0,1,3,0,d2212
CCWF,2022,12,22,19,3,0,8,11,0,1,2,0,d2312
CCWF,2023,1,26,19,7,1,9,9,0,0,4,3,d2312
CCWF,2023,2,32,27,5,1,14,12,0,2,3,0,d2312
CCWF,2023,3,24,21,3,2,10,8,1,1,2,0,d2312
CCWF,2023,4,30,21,9,0,8,13,0,0,7,2,d2312
CCWF,2023,5,21,15,6,0,4,10,1,0,6,0,d2312
CCWF,2023,6,30,25,5,2,9,13,1,1,3,1,d2312
CCWF,2023,7,32,29,3,0,14,14,1,0,3,0,d2312
CCWF,2023,8,26,20,6,2,6,12,0,1,4,1,d2312
CCWF,2023,9,19,14,5,1,4,9,0,0,5,0,d2312
CCWF,2023,10,31,27,4,1,9,16,1,0,3,1,d2312
CCWF,2023,11,20,15,5,1,6,8,0,3,1,1,d2312
CCWF,2023,12,39,33,6,0,12,21,0,1,4,1,d2312
CCWF,2024,1,28,24,4,3,8,13,0,2,2,0,d2501
CCWF,2024,2,40,32,8,1,11,20,0,1,5,2,d2501
CCWF,2024,3,38,32,6,3,11,18,0,0,5,1,d2501
CCWF,2024,4,36,26,10,1,7,18,0,2,6,2,d2501
CCWF,2024,5,28,22,6,2,6,14,0,2,3,1,d2501
CCWF,2024,6,35,23,12,2,8,13,0,2,10,0,d2501
CCWF,2024,7,37,23,14,2,7,14,0,2,12,0,d2501
CCWF,2024,8,39,28,11,1,12,15,0,3,8,0,d2501
CCWF,2024,9,36,24,12,1,8,15,0,6,6,0,d2501
CCWF,2024,10,43,27,16,1,8,17,1,4,11,1,d2501
CCWF,2024,11,31,22,9,2,4,15,1,0,9,0,d2501
CCWF,2024,12,32,19,13,1,5,13,0,0,12,1,d2512
CCWF,2025,1,31,22,9,4,10,8,0,2,4,3,d2512
CCWF,2025,2,31,26,5,0,10,15,1,0,4,1,d2512
CCWF,2025,3,46,30,16,0,10,18,2,1,15,0,d2512
CCWF,2025,4,33,13,20,2,3,8,0,4,14,2,d2512
CCWF,2025,5,36,15,21,2,3,10,0,5,12,4,d2512
CCWF,2025,6,37,22,15,1,8,12,1,4,8,3,d2512
CCWF,2025,7,24,12,12,2,4,6,0,6,5,1,d2512
CCWF,2025,8,44,21,23,1,6,14,0,4,16,3,d2512
CCWF,2025,9,38,21,17,1,5,15,0,7,9,1,d2512
