institution,last_envelope_year,project_id,description,source,notes
ASP,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025. Active: none. Prior history unknown."
CAL,,,,"2024 MPAR; 2020-2025 CSV","Active P-1718-00222 Replace Roofs Multiple Buildings (30% complete as of Nov 2024, end 10/2025). No prior roofing completion found."
CCI,2025,P-1415-00110,"Replace Roof - Facility A Building 47 Vocation","mpar_projects_completed.csv (2025 MPAR)","Also P-1415-00114 Replace Roof Facility B Building 57 Vocation completed same year (10/2025)."
CCWF,,,,"2024 MPAR; 2020-2025 CSV","Active P-1213-00007 Replace Roofs (10% complete, end 10/2025) and P-1819-00098 (3%, end 12/2025). No prior roofing completion found."
CEN,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
CHCF,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
CIM,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
CIW,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
CMC,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
CMF,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
COR,,,,"2024 MPAR; 2020-2025 CSV","Active P-1718-00223 Replace Roofs Multiple Buildings (22% complete as of Nov 2024, end 5/2028). No prior roofing completion found."
CRC,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
CTF,,,,"2024 MPAR; 2020-2025 CSV","Active P-0910-00900 Roof Replacement L Wing Central Culinary Building (4% complete as of Nov 2024, end 7/2025). No prior roofing completion found in available records."
FSP,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
HDSP,,,,"2024 MPAR; 2020-2025 CSV","Active P-1819-00199 Replace Roofs Multiple Housing Units (35% complete as of Nov 2024, end 12/2025). No prior roofing completion found."
ISP,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found. ISP P-0910-01113 HVAC project (completed 3/2024) mentions incidental roof work but is classified as HVAC and excluded."
KVSP,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
LAC,,,,"2024 MPAR; 2020-2025 CSV","Active P-2021-00201 Replace Roofs Facility A and B Various Housing Units (8% complete as of Nov 2024, end 12/2025). Also proposed P-2324-00140 Replace Roofs Facility D. No prior roofing completion found."
MCSP,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
NKSP,2022,P-1617-00021,"Replace Roofs - M Yard Building 901 and 902 Dorms","mpar_projects_completed.csv (2022 MPAR)","Completed 3/2022."
PBSP,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
PVSP,2022,P-1617-00573,"Replace Roofs Multiple Housing Units","mpar_projects_completed.csv (2022 MPAR)","Completed 7/2022."
RJD,2021,P-1617-00227,"Replace Roof Main Kitchen Building 2.11","2021 MPAR (prior session review)","Completed 2021. Active in 2024 MPAR: P-2122-00149 Replace Roofs Multiple Buildings still in design only per 2024 ES."
SAC,2021,P-1213-00372,"Roof Replacement MSF D and E Dorms","2021 MPAR (prior session review)","Completed 2021. Active in 2024 MPAR: P-1920-00105 Replace Roofs Various Housing Units at 21% (end 12/2025)."
SATF,2024,P-1718-00219,"Replace Roofs Multiple Buildings","mpar_projects_completed.csv (2025 MPAR)","Completed 12/2024 per CSV. Note: 2024 MPAR (Nov 2024 data) showed this project still active at 61% with end date 9/2026 — completion at 12/2024 represents acceleration. CSV from 2025 MPAR is treated as authoritative."
SCC,2020,P-0809-00176,"Replace Roof Tuolumne Housing Units 3 and 4","2020/2021 MPAR (prior session review)","Completed 2020."
SOL,2025,P-1819-00200,"Replace Roofs - Various Housing Units","mpar_projects_completed.csv (2025 MPAR)","Completed 4/2025. In 2024 MPAR (Nov 2024 data) was active at 30% with end 12/2025."
SQRC,2025,P-1415-00234,"Replace Roof - Water Tank","mpar_projects_completed.csv (2025 MPAR)","Completed 8/2025. Note: this is a potable water tank roof, not a housing/program building. May not qualify as a habitable building envelope improvement; flag for analyst judgment."
SVSP,,,,"2024 MPAR; 2020-2025 CSV","Active P-1718-00220 Replace Roofs Multiple Buildings at 90% as of Nov 2024 (end 1/2025). Project not in 2025 completed CSV — likely completed early 2025 but not captured; treat as likely 2025 pending confirmation. No 2025 MPAR PDF available locally."
VSP,2024,P-1718-00294,"Replace Roof - BPT/Visiting Center Building 406 (Roof Area 3)","mpar_projects_completed.csv (2025 MPAR); confirmed in 2024 MPAR complete section","Completed 12/2024. Also P-0809-00204 completed 2022. Proposed continuation: P-2324-00138 Replace Roof Visiting Building 406 Roof Areas 1-2-4."
WSP,,,,"2024 MPAR; 2020-2025 CSV","No qualifying roofing/envelope project found in any MPAR 2020-2025."
