mpar_year,institution,project_id,title,type,completed,total_approved_funding
2022,ASP,P-1920-00064,"Cogeneration Turbine Repairs, Control System Restoration & Electrical Repair (ESCO)",SRP,7/2022,205000
2022,ASP,P-2122-00053,Cogeneration Turbine Engine #1 Overhaul,SRP,8/2022,461000
2022,CAL,P-1415-00088,Health Care Facility Improvement Program - Phase I,MA,8/2022,10803000
2022,CCWF,P-1718-00216,Mental Health Crisis Beds Modifications - Correctional Treatment Center,SRP,9/2022,857000
2022,CEN,P-1718-00258,Repair Path of Travel Asphalt - Facility D,DM,5/2022,142000
2022,CHCF,P-1718-00060,Energy Efficiency Project - Submetering Project for LEED Existing Building Certification,E,1/2022,113000
2022,CIM,P-1718-00413,Renovation and Repairs - Building 377,SRP,3/2022,753000
2022,CMC,P-1415-00742,Water Plant Backwash Upgrade,SRP,10/2022,4036000
2022,COR,P-2021-00299,Remove Individual Exercise Yard - Facility 4B,SRP,6/2022,301000
2022,COR,P-2122-00228,"Transformer Install, Test and Fan Kit",DM,10/2022,30000
2022,CRC,P-1415-00272,Replace Inclined Wheelchair Lift - Main Access,SRP,6/2022,350000
2022,CRC,P-1516-00284,Critical Special Repairs/Deferred Maintenance,SRP,5/2022,6299000
2022,CRC,P-2122-00044,Radio Room Uninterruptible Power Supply / Power Installation,SRP,3/2022,234000
2022,CTF,P-0910-01114,Administrative Segregation Cell Door Retrofit,MA,11/2022,18520000
2022,CVSP,P-0809-00114,Repair Interior Security Fence,SRP,2/2022,1432000
2022,FSP,P-0809-01089,Cell Block Five Fire/Life/Safety Cell Upgrades,MA,11/2022,4070000
2022,FSP,P-1011-00015,Health Care Facility Improvement Program,MA,6/2022,61671000
2022,HDSP,P-1314-00344,Health Care Facility Improvement Program,MA,9/2022,38372000
2022,ISP,P-1415-00084,Health Care Facility Improvement Program,MA,5/2022,21200000
2022,KVSP,P-1415-00923,Repair and Replace Fire Detection System,DM,10/2022,9643000
2022,MCSP,P-1011-00010,"Replace Electrical Panels/Conduits - Facility A, B, C 270 Housing Units",DM,1/2022,1610000
2022,NKSP,P-1617-00021,"Replace Roofs - M Yard, Building 901 and 902 Dorms",DM,3/2022,1018000
2022,PBSP,P-1920-00082,Thermal Pack Steam Line Replacement from Laundry to Main Kitchen (ESCO),SRP,9/2022,931000
2022,PVSP,P-1920-00190,Line Leak Detector Installation - Underground Storage Tank Emergency Generator,SRP,4/2022,623000
2022,PVSP,P-1617-00573,Replace Roofs Multiple Housing Units,DM,7/2022,17300000
2022,RJD,P-1213-00089,"Housing Units Yard 4 Install Electrical and Television Outlets H.U.16, 17, 18, 19",SRP,1/2022,915000
2022,SATF,P-1213-00250,Statewide Medication Distribution Improvements,MA,9/2022,0
2022,SCC,P-2021-00202,Fuel Tank Replacement - Underground and Aboveground Storage Tank,SRP,2/2022,909000
2022,SCC,P-1819-00492,Emergency Boiler Repair - Boiler #2,DM,10/2022,904000
2022,SQ,P-1011-00212,"Replace Main Kitchen Grease Trap, Dock and Ramp",SRP,6/2022,1223000
2022,SQ,P-1718-00079,Energy Efficiency Project - Submetering/LEED Certification,E,1/2022,156000
2022,SVSP,P-1920-00191,Line Leak Detector Installation - UST Emergency Generator,SRP,1/2022,544000
2022,VSP,P-2021-00250,Water Well Rehab,SRP,1/2022,160000
2022,VSP,P-2122-00233,Urgent Water Well #2 Pump Repair,SRP,5/2022,175000
2022,VSP,P-0809-00204,Repair/Replace Roof Reception Center Building 315,DM,7/2022,986000
2023,ASP,P-0809-01830,Hydronic Loop Pipe Replacement,DM,7/2023,17003000
2023,CAL,P-1617-00111,Health Care Facility Improvement Project Phase II,MA,2/2023,23806000
2023,CCI,P-1314-00138,Health Care Facility Improvement Program,MA,8/2023,57679000
2023,CCI,P-1718-00050,"Repair Fire Alarm System Facility A, B, C",DM,6/2023,1523000
2023,CCWF,P-1718-00391,Wastewater Treatment Plant Bar Screen & Compactor Replacement for CCWF & VSP Headworks,SRP,9/2023,849000
2023,CEN,P-2223-00018,Urgent Chiller Overhaul - Chiller 1 & 3,DM,2/2023,270000
2023,CIM,P-2122-00154,Water Treatment/Storage Repairs,DM,1/2023,700000
2023,CIW,P-1718-00120,Statewide Medication Distribution Improvements Phase II,MA,10/2023,1604000
2023,CIW,P-2223-00032,"Replace Door Control Panel, Segregated Program Housing Units",SRP,10/2023,482000
2023,CMC,P-1011-00346,Central Kitchen Replacement West,MA,9/2023,36136000
2023,CMC,P-1617-00149,Solar Photovoltaic Array,E,5/2023,0
2023,COR,P-1718-00121,Statewide Medication Distribution Improvements Phase II,MA,10/2023,4503000
2023,CTF,P-1819-00141,Health Care Facility Improvement Program Specialty Care Clinic,MA,8/2023,5566000
2023,CVSP,P-1415-00085,Health Care Facility Improvement Program,MA,2/2023,23824000
2023,CVSP,P-2223-00109,Repair Supervisory Control and Data Acquisition (SCADA) System - Water Plant,SRP,3/2023,25000
2023,FSP,P-1314-00272,Replace Ansul Fire Extinguishing Systems Main and Minimum Support Facility Kitchens,DM,5/2023,467000
2023,HDSP,P-2122-00236,Urgent Repair - Generator #3,SRP,4/2023,562000
2023,HDSP,P-2223-00053,Urgent Component Replacement & Repair - Boiler #2,DM,4/2023,216000
2023,KVSP,P-1516-00303,Americans with Disabilities Act Modifications,SRP,12/2023,3809000
2023,LAC,P-1617-00161,Solar Photovoltaic Array,E,10/2023,0
2023,MCSP,P-1718-00126,Statewide Medication Distribution Improvements Phase II,MA,2/2023,930000
2023,NKSP,P-1213-00220,Health Care Facility Improvement Program,MA,12/2023,83188000
2023,PBSP,P-2223-00084,Emergency Fence Repairs,SRP,3/2023,223000
2023,RJD,P-2122-00235,Direct Replacement Deaerator Tank and Urgent Materials to Repair Hot Water Vaults,SRP,8/2023,339000
2023,SCC,P-1819-00143,Health Care Facility Improvement Program Central Health Services Building Renovation,MA,12/2023,13561000
2023,SOL,P-1718-00130,Statewide Medication Distribution Improvements Phase II,MA,4/2023,1146000
2023,SQRC,P-1415-00965,Install Water Tank Bypass,SRP,6/2023,975000
2023,SVSP,P-1516-00293,Americans With Disabilities Act Modifications,SRP,9/2023,8221000
2023,SVSP,P-2223-00011,C7 & C8 Yard Improvement Restroom,SRP,8/2023,679000
2023,SVSP,P-2223-00014,C7 & C8 Yard Improvement Yard Equipment,SRP,8/2023,915000
2024,CAL,P-2021-00194,Energy Efficiency Project - Lighting and Controls,E,3/2024,6587000
2024,CCI,P-1617-00160,Solar Photovoltaic Array,E,4/2024,0
2024,CCI,P-2021-00259,Energy Efficiency Project - Lighting and Air Handling Unit Controls,E,12/2024,10918000
2024,CCWF,P-1213-00238,Statewide Medication Distribution Improvements,MA,6/2024,0
2024,CCWF,P-1718-00118,Statewide Medication Distribution Improvements - Phase II,MA,12/2023,1034000
2024,CEN,P-2021-00193,Energy Efficiency Project - Lighting and Controls,E,2/2024,9083000
2024,CHCF,P-1718-00119,Statewide Medication Distribution Improvements - Phase II,MA,9/2024,6495000
