date,facility,section,bed_capacity,program,measure,value
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,APP,No Score,0
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,APP,Level I,2
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,APP,Level II,17
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,APP,Level III,9
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,APP,Level IV,44
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,APP,Total Census,72
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,ICF,No Score,1
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,ICF,Level I,0
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,ICF,Level II,5
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,ICF,Level III,3
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,ICF,Level IV,23
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,ICF,Total Census,32
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,ICF,Out of LRH,16
2025-10-27,CMF (Flex),Male Flex (APP/ICF),250,Total,Total Census,104
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,APP,No Score,2
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,APP,Level I,7
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,APP,Level II,29
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,APP,Level III,18
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,APP,Level IV,52
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,APP,Total Census,108
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,ICF,No Score,0
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Level I,0
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Level II,0
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Level III,0
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Level IV,0
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Total Census,0
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Out of LRH,0
2025-10-27,CHCF (Flex),Male Flex (APP/ICF),217,Total,Total Census,108
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,APP,No Score,0
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,APP,Level I,1
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,APP,Level II,3
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,APP,Level III,0
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,APP,Level IV,2
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,APP,Total Census,6
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,ICF,No Score,0
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,ICF,Level I,4
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,ICF,Level II,8
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,ICF,Level III,2
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,ICF,Level IV,3
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,ICF,Total Census,17
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,ICF,Out of LRH,10
2025-10-27,SQ (Flex),Male Flex (APP/ICF),28,Total,Total Census,23
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,APP,No Score,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,APP,Level I,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,APP,Level II,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,APP,Level III,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,APP,Level IV,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,APP,Total Census,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,ICF,No Score,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,ICF,Level I,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,ICF,Level II,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,ICF,Level III,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,ICF,Level IV,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,ICF,Total Census,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,ICF,Out of LRH,0
2025-10-27,CMC (Flex),Male Flex (APP/ICF),0,Total,Total Census,0
2025-10-27,CHCF - Single Cell,Male ICF High Custody,330,ICF,No Score,11
2025-10-27,CHCF - Single Cell,Male ICF High Custody,330,ICF,Level I,6
2025-10-27,CHCF - Single Cell,Male ICF High Custody,330,ICF,Level II,51
2025-10-27,CHCF - Single Cell,Male ICF High Custody,330,ICF,Level III,33
2025-10-27,CHCF - Single Cell,Male ICF High Custody,330,ICF,Level IV,148
2025-10-27,CHCF - Single Cell,Male ICF High Custody,330,Total,Total Census,249
2025-10-27,CHCF - Single Cell,Male ICF High Custody,330,ICF,Out of LRH,111
2025-10-27,CMF - Single Cell,Male ICF High Custody,62,ICF,No Score,2
2025-10-27,CMF - Single Cell,Male ICF High Custody,62,ICF,Level I,1
2025-10-27,CMF - Single Cell,Male ICF High Custody,62,ICF,Level II,12
2025-10-27,CMF - Single Cell,Male ICF High Custody,62,ICF,Level III,5
2025-10-27,CMF - Single Cell,Male ICF High Custody,62,ICF,Level IV,37
2025-10-27,CMF - Single Cell,Male ICF High Custody,62,Total,Total Census,57
2025-10-27,CMF - Single Cell,Male ICF High Custody,62,ICF,Out of LRH,20
2025-10-27,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,No Score,0
2025-10-27,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,Level I,0
2025-10-27,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,Level II,1
2025-10-27,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,Level III,4
2025-10-27,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,Level IV,6
2025-10-27,CMF - Multi Person Cells,Male ICF High Custody,20,Total,Total Census,11
2025-10-27,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,Out of LRH,4
2025-10-27,SVSP - Single Cell,Male ICF High Custody,82,ICF,No Score,2
2025-10-27,SVSP - Single Cell,Male ICF High Custody,82,ICF,Level I,1
2025-10-27,SVSP - Single Cell,Male ICF High Custody,82,ICF,Level II,14
2025-10-27,SVSP - Single Cell,Male ICF High Custody,82,ICF,Level III,8
2025-10-27,SVSP - Single Cell,Male ICF High Custody,82,ICF,Level IV,57
2025-10-27,SVSP - Single Cell,Male ICF High Custody,82,Total,Total Census,82
2025-10-27,SVSP - Single Cell,Male ICF High Custody,82,ICF,PC 1370,19
2025-10-27,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,No Score,1
2025-10-27,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level I,1
2025-10-27,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level II,11
2025-10-27,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level III,5
2025-10-27,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level IV,21
2025-10-27,SVSP - Multi-person Cells,Male ICF High Custody,44,Total,Total Census,39
2025-10-27,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,PC 1370,0
2025-10-27,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,WIC 7301,0
2025-10-27,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Out of LRH,25
2025-10-27,CMF - Dorms,Male ICF Low Custody,64,ICF,No Score,0
2025-10-27,CMF - Dorms,Male ICF Low Custody,64,ICF,Level I,0
2025-10-27,CMF - Dorms,Male ICF Low Custody,64,ICF,Level II,3
2025-10-27,CMF - Dorms,Male ICF Low Custody,64,ICF,Level III,2
2025-10-27,CMF - Dorms,Male ICF Low Custody,64,ICF,Level IV,10
2025-10-27,CMF - Dorms,Male ICF Low Custody,64,Total,Total Census,15
2025-10-27,CMF - Dorms,Male ICF Low Custody,64,ICF,Out of LRH,9
