data_month,cdcr_code,rhu_population,total_population,pct_in_rhu
2024-12,ASP,0,3783,0.0
2024-12,CAL,97,2390,4.1
2024-12,CCI,83,2044,4.1
2024-12,CCWF,45,2022,2.2
2024-12,CEN,60,2794,2.1
2024-12,CHCF,0,2101,0.0
2024-12,CIM,76,2205,3.4
2024-12,CIW,6,1270,0.5
2024-12,CMC,128,2227,5.7
2024-12,CMF,32,1875,1.7
2024-12,COR,297,2685,11.1
2024-12,CRC,0,2800,0.0
2024-12,CTF,75,4386,1.7
2024-12,FOL,110,2797,3.9
2024-12,HDSP,101,2837,3.6
2024-12,ISP,55,2927,1.9
2024-12,KVSP,208,3267,6.4
2024-12,LAC,210,3189,6.6
2024-12,MCSP,110,3874,2.8
2024-12,NKSP,88,2998,2.9
2024-12,PBSP,96,2020,4.8
2024-12,PVSP,94,2890,3.3
2024-12,RJD,119,3157,3.8
2024-12,SAC,269,2248,12.0
2024-12,SATF,97,5261,1.8
2024-12,SCC,96,4164,2.3
2024-12,SOL,118,3924,3.0
2024-12,SQ,56,2945,1.9
2024-12,SVSP,107,2492,4.3
2024-12,VSP,52,3216,1.6
2024-12,WSP,71,3385,2.1
2025-01,ASP,0,3784,0.0
2025-01,CAL,89,2485,3.6
2025-01,CCI,72,2371,3.0
2025-01,CCWF,33,1995,1.7
2025-01,CEN,61,2794,2.2
2025-01,CHCF,0,2095,0.0
2025-01,CIM,71,2238,3.2
2025-01,CIW,25,1281,2.0
2025-01,CMC,133,2200,6.0
2025-01,CMF,37,1870,2.0
2025-01,COR,304,2664,11.4
2025-01,CRC,0,2737,0.0
2025-01,CTF,105,4346,2.4
2025-01,FOL,114,2765,4.1
2025-01,HDSP,100,2801,3.6
2025-01,ISP,62,2823,2.2
2025-01,KVSP,196,3182,6.2
2025-01,LAC,195,3113,6.3
2025-01,MCSP,96,3852,2.5
2025-01,NKSP,87,2697,3.2
2025-01,PBSP,115,2030,5.7
2025-01,PVSP,109,2899,3.8
2025-01,RJD,133,3273,4.1
2025-01,SAC,271,2113,12.8
2025-01,SATF,92,5146,1.8
2025-01,SCC,98,4170,2.4
2025-01,SOL,106,3882,2.7
2025-01,SQ,64,2931,2.2
2025-01,SVSP,104,2356,4.4
2025-01,VSP,27,3132,0.9
2025-01,WSP,62,3834,1.6
2025-02,ASP,0,3765,0.0
2025-02,CAL,103,2539,4.1
2025-02,CCI,73,2420,3.0
2025-02,CCWF,47,2023,2.3
2025-02,CEN,52,2797,1.9
2025-02,CHCF,0,2079,0.0
2025-02,CIM,81,2310,3.5
2025-02,CIW,19,1241,1.5
2025-02,CMC,138,2205,6.3
2025-02,CMF,45,1891,2.4
2025-02,COR,320,2632,12.2
2025-02,CRC,0,2756,0.0
2025-02,CTF,110,4324,2.5
2025-02,FOL,124,2817,4.4
2025-02,HDSP,104,2793,3.7
2025-02,ISP,79,2610,3.0
2025-02,KVSP,202,3153,6.4
2025-02,LAC,218,3144,6.9
2025-02,MCSP,105,3805,2.8
2025-02,NKSP,90,2650,3.4
2025-02,PBSP,98,2018,4.9
2025-02,PVSP,110,2834,3.9
2025-02,RJD,121,3366,3.6
2025-02,SAC,240,2058,11.7
2025-02,SATF,91,5234,1.7
2025-02,SCC,124,4180,3.0
2025-02,SOL,112,3875,2.9
2025-02,SQ,64,2879,2.2
2025-02,SVSP,114,2370,4.8
2025-02,VSP,26,3083,0.8
2025-02,WSP,68,3819,1.8
2025-03,ASP,0,3809,0.0
2025-03,CAL,126,2555,4.9
2025-03,CCI,62,2413,2.6
2025-03,CCWF,61,2005,3.0
2025-03,CEN,49,2819,1.7
2025-03,CHCF,0,2094,0.0
2025-03,CIM,92,2347,3.9
2025-03,CIW,14,1228,1.1
2025-03,CMC,146,2185,6.7
2025-03,CMF,50,1909,2.6
2025-03,COR,335,2618,12.8
2025-03,CRC,0,2698,0.0
2025-03,CTF,105,4304,2.4
2025-03,FOL,110,2829,3.9
2025-03,HDSP,93,2903,3.2
2025-03,ISP,71,2514,2.8
2025-03,KVSP,200,3072,6.5
2025-03,LAC,211,3081,6.8
2025-03,MCSP,110,3803,2.9
2025-03,NKSP,70,2596,2.7
