institution,fiscal_year,category,metric,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
ASP,2021-2022,Fiscal,Actual Expenditures ($),"14,614,190.17","31,458,427.11","47,933,177.54","64,097,748.00","81,395,514.40","100,441,868.44","116,760,265.58","134,609,503.92","151,147,161.14","167,762,471.79","184,950,664.65","202,433,715.48"
ASP,2021-2022,Fiscal,Institution Budget ($),"176,657,974.00","176,866,486.00","176,866,486.00","177,422,996.00","188,187,662.00","188,196,110.00","190,153,172.00","191,491,532.00","191,368,616.00","202,662,438.00","204,196,978.00","204,372,676.00"
ASP,2021-2022,Fiscal,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
ASP,2021-2022,Fiscal,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
ASP,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.37,9.20,2.96,0.00,0.00,0.00,23.40,25.10,6.60,0.13,0.00,0.49
ASP,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASP,2021-2022,Lockdowns and Modified Programs,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
ASP,2021-2022,Lockdowns and Modified Programs,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
ASP,2021-2022,Number of Deaths,Unexpected,,,,,,,,,2.00,,,
ASP,2021-2022,Overtime Hours,Custody (Overtime),"15,693.20","22,477.77","17,848.86","22,872.84","16,838.85","16,421.50","26,935.67","16,219.54","21,439.87","18,567.89","20,603.56","17,952.73"
ASP,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
ASP,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
ASP,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),50.00,36.00,65.00,98.00,57.50,34.00,44.00,28.50,26.50,52.50,37.00,41.50
ASP,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,544.00","1,973.50","1,522.50","2,082.75","1,969.25","1,620.50","4,019.50","4,564.25","1,544.75","1,573.75","2,334.25","1,879.25"
ASP,2021-2022,Overtime Hours,Total Overtime Hours,"17,287.20","24,487.27","19,436.36","25,053.59","18,865.60","18,076.00","30,999.17","20,812.29","23,011.12","20,194.14","22,974.81","19,873.48"
ASP,2021-2022,Use of Force (UOF),Total UOF Incidents,13.00,5.00,10.00,5.00,14.00,12.00,4.00,7.00,14.00,14.00,20.00,17.00
CAC,2021-2022,Fiscal,Actual Expenditures ($),"8,838,319.11","16,238,117.27","23,115,721.89","29,933,966.84","37,817,492.10","45,772,256.20","52,894,516.94","60,254,583.04","67,689,369.03","74,123,965.55","81,219,858.57","88,862,734.64"
CAC,2021-2022,Fiscal,Institution Budget ($),"79,107,580.00","79,162,632.00","79,162,632.00","79,175,847.00","84,889,225.00","84,889,225.00","85,524,136.00","86,279,829.00","86,197,250.00","90,635,394.00","90,731,713.00","90,850,569.00"
CAC,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,1.41,9.94,11.07,0.00,0.00,3.28,27.70,14.30,0.00,0.00,8.99,28.55
CAC,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAC,2021-2022,Overtime Hours,Custody (Overtime),"7,986.29","9,586.87","7,850.88","12,343.14","8,500.39","8,558.36","14,396.06","8,965.86","9,577.71","8,830.04","10,899.37","8,740.52"
CAC,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),0.00,0.00,0.00,0.00,13.80,33.35,32.20,32.20,34.50,34.50,43.65,34.50
CAC,2021-2022,Overtime Hours,Non-Custody (Overtime),347.75,516.00,330.75,413.25,330.25,303.25,230.75,865.50,678.50,352.75,521.00,282.25
