,,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4
Institution,Category,Metric,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25
ASP,Cognitive Behavioral Intervention,Life Skills - Actual Enrollment,321.75,295.00,314.50,330.60,340.25,365.25,373.00,370.50,412.25,443.25
ASP,Cognitive Behavioral Intervention,Life Skills - Operational Capacity,375.00,360.00,363.00,363.00,381.00,399.00,427.20,432.00,498.00,427.20
ASP,Cognitive Behavioral Intervention,Outpatient - Actual Enrollment,315.25,367.20,313.00,346.40,282.00,225.25,216.60,179.25,186.75,207.75
ASP,Cognitive Behavioral Intervention,Outpatient - Operational Capacity,354.00,408.60,357.75,372.00,352.50,306.75,295.20,239.25,234.00,295.20
ASP,Contraband,Cellular Telephone Seizure Events,,,,,,,2.00,,,8.00
ASP,Contraband,Fentanyl Seizure Events,,,,,,,4.00,,,
ASP,Contraband,Marijuana Seizure Events,,,,6.00,2.00,2.00,,,,2.00
ASP,Contraband,Methamphetamine Seizure Events,,,,6.00,8.00,16.00,14.00,8.00,4.00,4.00
ASP,Contraband,Quantity of Cellular Telephones Seized,,,,,,,2.00,,,8.00
ASP,Contraband,Quantity of Fentanyl Seized (grams with packaging),,,,,,,59.76,,,
ASP,Contraband,Quantity of Marijuana Seized (grams with packaging),,,,11.12,,4.20,,,,6.00
ASP,Contraband,Quantity of Marijuana Seized (grams),,,,7.12,56.44,,,,,
ASP,Contraband,Quantity of Methamphetamine Seized (grams with packaging),,,,1.00,,407.86,738.66,67.56,13.94,1.94
ASP,Contraband,Quantity of Methamphetamine Seized (grams),,,,106.96,274.18,,,,,
ASP,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (grams with packaging),,,,12.62,0.90,813.56,61.72,105.18,584.82,95.80
ASP,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (grams),,,,49.88,94.80,,,,,
ASP,Contraband,Synthetic Cannabinoid / Spice Seizure Events,,,,12.00,6.00,12.00,10.00,6.00,10.00,4.00
ASP,Fiscal,Actual Expenditures ($),"18,498,763.86","38,890,014.05","57,572,095.78","75,970,500.36","95,450,239.11","115,041,310.53","133,226,931.07","151,235,371.41","169,737,570.38","187,358,124.58"
ASP,Fiscal,Institution Budget ($),"238,104,051.00","238,182,006.00","238,401,029.00","237,306,201.00","238,679,601.00","223,523,934.00","223,616,636.00","225,095,915.69","224,816,815.69","225,176,554.69"
ASP,Incarcerated Persons Grievances and Appeals,Appeals Denied,36.00,33.00,20.00,17.00,21.00,24.00,17.00,22.00,17.00,
ASP,Incarcerated Persons Grievances and Appeals,Appeals Granted,11.00,2.00,3.00,3.00,7.00,4.00,2.00,4.00,2.00,
ASP,Incarcerated Persons Grievances and Appeals,Appeals Received,60.00,47.00,44.00,26.00,38.00,48.00,46.00,49.00,45.00,
ASP,Number and Housing Level of Incarcerated Persons,Level I,8.00,9.00,8.00,7.00,6.00,5.00,6.00,5.00,6.00,5.00
ASP,Number and Housing Level of Incarcerated Persons,Level II,"4,538.00","4,410.00","4,214.00","4,041.00","3,877.00","3,768.00","3,764.00","3,749.00","3,792.00","3,930.00"
ASP,Number and Housing Level of Incarcerated Persons,Level III,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASP,Number and Housing Level of Incarcerated Persons,Level IV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASP,Number and Housing Level of Incarcerated Persons,Level VI,,,,,,,,,,
ASP,Number and Housing Level of Incarcerated Persons,Non Level - Specific Beds,14.00,12.00,8.00,8.00,12.00,10.00,14.00,11.00,11.00,10.00
ASP,Number and Housing Level of Incarcerated Persons,Restricted Housing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASP,Number and Housing Level of Incarcerated Persons,Total Number of Incarcerated Persons,"4,560.00","4,431.00","4,230.00","4,056.00","3,895.00","3,783.00","3,784.00","3,765.00","3,809.00","3,945.00"
ASP,Number of Deaths,Expected,,,1.00,,,,,,,
ASP,Overtime Hours,Custody (Overtime),"8,239.35","5,537.35","4,923.81","5,045.89","3,963.39","4,195.91","3,660.72","4,122.03","5,967.39","6,588.40"
ASP,Overtime Hours,Dental + Mental Health (Overtime),70.00,60.00,77.25,57.75,71.50,74.25,70.75,50.00,114.75,82.50
ASP,Overtime Hours,Non-Custody (Overtime),"1,974.50","4,042.75","1,905.25","1,536.25","1,641.25","2,018.50","1,780.50","1,611.75","2,484.50","1,834.00"
ASP,Overtime Hours,Total Overtime Hours,"10,283.85","9,640.10","6,906.31","6,639.89","5,676.14","6,288.66","5,511.97","5,783.78","8,566.64","8,504.90"
ASP,Positions - Authorized and Vacant,Authorized,"1,079.60","1,079.60","1,079.60","1,079.60","1,079.60","1,079.60","1,079.60","1,079.60","1,079.60","1,079.60"
ASP,Positions - Authorized and Vacant,Vacant,58.60,98.60,95.60,102.60,108.60,112.60,109.60,119.60,120.60,124.60
ASP,Rehabilitative Programs,Academic Education - Actual Enrollment,"1,670.25","1,545.60","1,761.75","2,372.80","2,430.00","2,386.75","2,134.40","2,037.00","2,018.25","2,134.40"
ASP,Rehabilitative Programs,Academic Education - Operational Capacity,"1,918.50","1,946.40","1,999.50","1,989.60","1,972.50","1,950.00","1,888.80","1,900.50","1,954.50","1,888.80"
ASP,Rehabilitative Programs,Career Technical Education - Actual Enrollment,286.50,262.00,259.00,209.40,180.25,191.50,249.00,258.75,308.50,249.00
ASP,Rehabilitative Programs,Career Technical Education - Operational Capacity,290.25,270.00,270.00,216.00,249.75,283.50,291.60,270.00,310.50,291.60
ASP,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Actual Enrollment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASP,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Operational Capacity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASP,Rehabilitative Programs,Number of Associate Degrees,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASP,Rehabilitative Programs,Number of Bachelors Degrees,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAC,Incarcerated Persons Grievances and Appeals,Appeals Time Expired,,,,,,,0.00,0.00,0.00,
CAC,Incarcerated Persons Grievances and Appeals,Grievance Claims Denied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAC,Incarcerated Persons Grievances and Appeals,Grievance Claims No Jurisdiction,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAC,Incarcerated Persons Grievances and Appeals,Grievance Claims Pending,,,,,,,1.00,,,
CAC,Incarcerated Persons Grievances and Appeals,Grievance Claims Reassigned,0.00,,,,,,1.00,,,
CAC,Incarcerated Persons Grievances and Appeals,Grievance Claims Received,1.00,,,,,,3.00,,,
CAC,Incarcerated Persons Grievances and Appeals,Grievance Claims Redirected,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAC,Incarcerated Persons Grievances and Appeals,Grievance Claims Rejected,0.00,,,,,,1.00,,,
CAC,Incarcerated Persons Grievances and Appeals,Grievance Claims Staff Misconduct,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAC,Incarcerated Persons Grievances and Appeals,Grievance Claims Time Expired,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAC,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CAC,Positions - Authorized and Vacant,Authorized,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,
CAC,Positions - Authorized and Vacant,Vacant,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,
CAL,Cognitive Behavioral Intervention,Life Skills - Actual Enrollment,235.00,194.60,144.50,117.20,89.50,69.50,106.60,152.75,159.25,171.75
CAL,Cognitive Behavioral Intervention,Life Skills - Operational Capacity,321.00,264.00,204.00,204.00,147.00,117.00,127.20,180.00,186.00,127.20
CAL,Cognitive Behavioral Intervention,Outpatient - Actual Enrollment,308.50,330.80,355.50,334.40,346.00,330.00,261.80,220.00,212.50,231.00
CAL,Cognitive Behavioral Intervention,Outpatient - Operational Capacity,363.00,408.20,435.00,421.80,445.75,443.75,400.40,340.25,290.50,400.40
CAL,Contraband,Cellular Telephone Seizure Events,,,,10.00,4.00,40.00,10.00,16.00,98.00,10.00
CAL,Contraband,Controlled Medication Seizure Events,,,,,,,,1.00,,
CAL,Contraband,Fentanyl Seizure Events,,,,2.00,,,,2.00,,
CAL,Contraband,Heroin Seizure Events,,,,10.00,4.00,,8.00,6.00,6.00,2.00
CAL,Contraband,Marijuana Seizure Events,,,,2.00,4.00,14.00,,12.00,2.00,2.00
CAL,Contraband,Methamphetamine Seizure Events,,,,22.00,10.00,10.00,30.00,14.00,14.00,
CAL,Contraband,Quantity of Cellular Telephones Seized,,,,10.00,14.00,60.00,10.00,18.00,132.00,12.00
CAL,Contraband,Quantity of Controlled Medication Seized (number of strips),,,,,,,,4.00,,
CAL,Contraband,Quantity of Fentanyl Seized (grams with packaging),,,,0.02,,,,3.40,,
CAL,Contraband,Quantity of Fentanyl Seized (grams),,,,,,,,,,
CAL,Contraband,Quantity of Heroin Seized (grams with packaging),,,,537.20,408.00,,57.58,38.90,5.42,0.40
CAL,Contraband,Quantity of Heroin Seized (grams),,,,,96.00,,0.80,,,
CAL,Contraband,Quantity of Marijuana Seized (grams with packaging),,,,4.00,278.00,28.36,,136.70,0.30,18.00
CAL,Contraband,Quantity of Marijuana Seized (grams),,,,,,114.54,,,,
CAL,Contraband,Quantity of Methamphetamine Seized (grams with packaging),,,,117.00,366.00,206.00,45.38,57.28,148.44,
CAL,Contraband,Quantity of Methamphetamine Seized (grams),,,,456.00,158.00,9.00,412.98,190.00,,
CAL,Contraband,Quantity of Suboxone Seized (number of strips),,,,,,,12.00,,,
CAL,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (grams),,,,,,,,,,
CAL,Contraband,Quantity of Tobacco Seized (grams with packaging),,,,,,,,408.00,2.00,
CAL,Contraband,Quantity of Tobacco Seized (grams),,,,,24.00,,,,,
CAL,Contraband,Suboxone Seizure Events,,,,,,,2.00,,,
CAL,Contraband,Synthetic Cannabinoid / Spice Seizure Events,,,,,,,,,,
CAL,Contraband,Tobacco Seizure Events,,,,,2.00,,,6.00,2.00,
CAL,Fiscal,Actual Expenditures ($),"15,660,971.98","33,669,655.41","52,122,046.43","70,870,186.32","89,195,637.36","107,839,979.12","125,408,231.35","141,569,069.26","158,470,873.51","174,693,000.95"
CAL,Fiscal,Institution Budget ($),"213,081,437.00","213,099,304.00","213,315,721.00","213,482,092.00","214,434,849.00","205,609,464.00","206,385,757.00","207,352,221.69","208,014,650.69","209,110,624.69"
CAL,Incarcerated Persons Grievances and Appeals,Appeals Denied,24.00,24.00,20.00,42.00,26.00,30.00,20.00,27.00,12.00,
CAL,Incarcerated Persons Grievances and Appeals,Appeals Granted,8.00,8.00,11.00,7.00,4.00,7.00,14.00,5.00,7.00,
CAL,Incarcerated Persons Grievances and Appeals,Appeals Received,38.00,48.00,46.00,61.00,45.00,67.00,72.00,52.00,65.00,
CAL,Incarcerated Persons Grievances and Appeals,Appeals Time Expired,3.00,11.00,10.00,7.00,13.00,25.00,33.00,18.00,43.00,
CAL,Incarcerated Persons Grievances and Appeals,Grievance Claims Denied,121.00,199.00,97.00,117.00,94.00,0.00,196.00,117.00,195.00,212.00
CAL,Number and Housing Level of Incarcerated Persons,Level IV,"1,989.00","1,983.00","1,963.00","2,009.00","2,045.00","2,106.00","2,196.00","2,221.00","2,184.00","2,129.00"
CAL,Number and Housing Level of Incarcerated Persons,Level VI,,,,,,,,,,
CAL,Number and Housing Level of Incarcerated Persons,Non Level - Specific Beds,89.00,74.00,98.00,91.00,114.00,110.00,105.00,118.00,134.00,9.00
CAL,Number and Housing Level of Incarcerated Persons,Restricted Housing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.00
CAL,Number and Housing Level of Incarcerated Persons,Total Number of Incarcerated Persons,"2,894.00","2,792.00","2,613.00","2,523.00","2,466.00","2,390.00","2,485.00","2,539.00","2,555.00","2,482.00"
CAL,Number of Deaths,Expected,,,,,,,,10.00,,
CAL,Number of Deaths,Homicide,,,1.00,,,,,,,
CAL,Number of Deaths,Unexpected,,,,,1.00,,,,,1.00
CAL,Overtime Hours,Custody (Overtime),"23,236.82","22,647.76","27,401.27","19,335.26","31,270.12","16,923.11","8,682.54","9,002.62","12,651.49","10,667.20"
CAL,Overtime Hours,Dental + Mental Health (Overtime),0.50,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00
CAL,Overtime Hours,Non-Custody (Overtime),"2,021.00","3,611.00","1,665.00","1,500.75","1,397.50","1,576.75","2,827.00","1,014.75","1,329.00","1,283.50"
CAL,Overtime Hours,Total Overtime Hours,"25,258.32","26,258.76","29,066.27","20,836.01","32,667.62","18,499.86","11,509.54","10,019.87","13,980.49","11,950.80"
CAL,Positions - Authorized and Vacant,Authorized,"1,019.50","1,019.50","1,019.50","1,019.50","1,019.50","1,019.50","1,019.50","1,019.50","1,019.50","1,018.20"
CAL,Positions - Authorized and Vacant,Vacant,126.90,117.10,130.10,119.90,122.90,194.30,201.50,211.50,219.50,235.20
CAL,Rehabilitative Programs,Academic Education - Actual Enrollment,849.50,811.40,785.75,812.60,871.50,796.75,769.40,805.50,"1,297.25",769.40
CAL,Rehabilitative Programs,Academic Education - Operational Capacity,738.00,702.00,628.50,654.20,742.50,738.00,788.40,792.00,792.00,788.40
CAL,Rehabilitative Programs,Career Technical Education - Actual Enrollment,241.25,241.80,243.00,234.00,201.75,189.00,188.20,189.00,215.00,188.20
CAL,Rehabilitative Programs,Career Technical Education - Operational Capacity,243.00,243.00,243.00,234.80,202.50,189.00,189.00,189.00,216.00,189.00
CAL,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Actual Enrollment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAL,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Operational Capacity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAL,Rehabilitative Programs,Number of Associate Degrees,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
CAL,Rehabilitative Programs,Number of Bachelors Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAL,Rehabilitative Programs,Number of GED Certificates,8.00,0.00,4.00,3.00,4.00,3.00,2.00,4.00,4.00,2.00
CCC,Incarcerated Persons Grievances and Appeals,Grievance Claims Rejected,,,,,,,,,,0.00
CCC,Incarcerated Persons Grievances and Appeals,Grievance Claims Staff Misconduct,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCC,Incarcerated Persons Grievances and Appeals,Grievance Claims Time Expired,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCC,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CCI,Cognitive Behavioral Intervention,Life Skills - Actual Enrollment,149.00,127.60,84.75,66.60,36.75,37.75,38.80,75.50,136.75,157.25
