date,sco_facility_name,full_time,part_time,intermittent,indeterminate,total
April 2021,AVENAL STATE PRISON,1215,7,44,0,1266
April 2021,AVENAL STATE PRISON - PIA,46,0,1,0,47
April 2021,CA CITY CORR FACILITY (IWF),4,0,0,0,4
April 2021,CA CITY CORRECTIONAL FACILITY,625,4,14,0,643
April 2021,CA. CITY CORR FACILITY - PIA,4,0,4,0,8
April 2021,CA. CORRECTIONAL CENTER,968,0,27,0,995
April 2021,CA. CORRECTIONAL CENTER - PIA,6,0,1,0,7
April 2021,CA. CORRECTIONAL INSTITUTION,1523,6,51,0,1580
April 2021,CA. HEALTH CARE FACILITY,1351,2,29,0,1382
April 2021,CA. HEALTH CARE FACILITY - PIA,5,0,0,0,5
April 2021,CA. INSTITUTION FOR MEN,1521,8,79,0,1608
April 2021,CA. INSTITUTION FOR MEN - PIA,40,0,1,0,41
April 2021,CA. INSTITUTION FOR WOMEN,1087,7,24,0,1118
April 2021,CA. INSTITUTION FOR WOMEN- PIA,15,0,3,0,18
April 2021,CA. MEDICAL FACILITY,1640,14,46,0,1700
April 2021,CA. MEDICAL FACILITY - PIA,15,0,2,0,17
April 2021,CA. MEN'S COLONY,1626,10,36,0,1672
April 2021,CA. MEN'S COLONY - PIA,44,0,0,0,44
April 2021,CA. REHABILITATION CENTER- PIA,4,0,0,0,4
April 2021,CA. STATE PRISON - CORCORAN,1897,6,61,0,1964
April 2021,CA. STATE PRISON - SACRAMENTO,1576,4,84,0,1664
April 2021,CA. STATE PRISON - SOLANO,1258,4,43,0,1305
April 2021,CA. STATE PRISON - WASCO,1438,10,46,0,1494
April 2021,CA. STATE PRISON - WASCO - PIA,10,0,1,0,11
April 2021,CA. STATE PRISON-CORCORAN -PIA,55,0,2,0,57
April 2021,CALIPATRIA STATE PRISON,1142,6,31,0,1179
April 2021,CALIPATRIA STATE PRISON - PIA,6,0,2,0,8
April 2021,CDCR/CCHCS CA HEALTH CARE FACI,1281,4,1,0,1286
April 2021,CENTINELA STATE PRISON,1200,7,29,0,1236
April 2021,CENTINELA STATE PRISON - PIA,10,0,2,0,12
April 2021,CENTRAL CA. WOMENS FACILITY,1126,11,46,0,1183
April 2021,CENTRAL CA. WOMENS FACILITY-PI,37,0,1,0,38
April 2021,CHADERJIAN SCHOOL,265,1,19,0,285
April 2021,CHUCKAWALLA VALLEY STATE PRISO,803,1,33,0,837
April 2021,CHUCKAWALLA VALY ST PRISON-PIA,8,0,0,0,8
April 2021,CORR TRAINING FACILITY - PIA,26,0,0,0,26
April 2021,CORRECTIONAL TRAINING FACILITY,1292,6,40,0,1338
April 2021,CSP - LOS ANGELES COUNTY,1406,10,42,0,1458
April 2021,DELANO II STATE PRISON,1543,6,74,0,1623
April 2021,DEUEL VOCATIONAL INST - PIA,15,0,0,0,15
April 2021,DEUEL VOCATIONAL INSTITUTION,741,6,17,0,764
