cdcr_code,sco_facility_name,is_pia,is_cchcs,n_snapshots,full_time,part_time,intermittent,indeterminate,total
ASP,AVENAL STATE PRISON,False,False,3,1265.7,7.0,38.0,0.0,1310.7
ASP,AVENAL STATE PRISON - PIA,True,False,3,52.7,0.0,1.3,0.0,54.0
CAL,CALIPATRIA STATE PRISON,False,False,3,1118.7,10.0,36.0,0.0,1164.7
CAL,CALIPATRIA STATE PRISON - PIA,True,False,3,7.7,0.0,2.7,0.0,10.3
CCI,CA. CORRECTIONAL INSTITUTION,False,False,3,1187.7,10.3,36.0,0.0,1234.0
CCWF,CENTRAL CA WOMENS FACILITY-PIA,True,False,3,48.3,0.0,1.3,0.0,49.7
CCWF,CENTRAL CA. WOMENS FACILITY,False,False,3,1181.3,16.3,65.7,0.0,1263.3
CEN,CENTINELA STATE PRISON,False,False,3,1239.3,12.7,34.3,0.0,1286.3
CEN,CENTINELA STATE PRISON - PIA,True,False,3,13.7,0.0,2.3,0.0,16.0
CHCF,CA. HEALTH CARE FACILITY,False,False,3,1457.3,2.0,29.3,0.0,1488.7
CHCF,CA. HEALTH CARE FACILITY - PIA,True,False,3,6.0,0.0,0.0,0.0,6.0
CHCF,CDCR/CCHCS CA HEALTH CARE FACI,False,True,3,1995.3,6.3,13.0,0.0,2014.7
CIM,CA. INSTITUTION FOR MEN,False,False,3,1376.3,11.0,33.7,0.0,1421.0
CIM,CA. INSTITUTION FOR MEN - PIA,True,False,3,47.0,0.0,1.7,0.0,48.7
CIW,CA. INSTITUTION FOR WOMEN,False,False,3,1066.3,9.0,39.0,0.0,1114.3
CIW,CA. INSTITUTION FOR WOMEN- PIA,True,False,3,23.0,0.0,1.7,0.0,24.7
CMC,CA. MEN'S COLONY,False,False,3,1303.7,13.0,25.7,0.0,1342.3
CMC,CA. MEN'S COLONY - PIA,True,False,3,41.7,0.0,1.7,0.0,43.3
CMF,CA. MEDICAL FACILITY,False,False,3,2094.7,13.7,35.7,0.0,2144.0
CMF,CA. MEDICAL FACILITY - PIA,True,False,3,45.3,0.0,5.3,0.0,50.7
COR,CA. STATE PRISON - CORCORAN,False,False,3,1838.0,7.0,41.0,0.0,1886.0
COR,CA. STATE PRISON-CORCORAN -PIA,True,False,3,64.0,0.0,3.3,0.0,67.3
CRC,CA. REHABILITATION CENTER- PIA,True,False,3,7.0,0.0,1.0,0.0,8.0
CRC,REHABILITATION CENTER,False,False,3,1106.0,4.3,29.7,0.0,1140.0
CTF,CORR TRAINING FACILITY - PIA,True,False,3,31.0,0.0,0.3,0.0,31.3
CTF,CORRECTIONAL TRAINING FACILITY,False,False,3,1199.3,8.7,35.3,0.0,1243.3
FOL,FOLSOM STATE PRISON,False,False,3,1011.0,6.0,32.7,0.0,1049.7
FOL,FOLSOM STATE PRISON - PIA,True,False,3,44.7,0.0,6.3,0.0,51.0
HDSP,HIGH DESERT STATE PRISON,False,False,3,1297.7,2.7,33.0,0.0,1333.3
HDSP,HIGH DESERT STATE PRISON - PIA,True,False,3,13.0,0.0,1.0,0.0,14.0
ISP,IRONWOOD STATE PRISON,False,False,3,1124.7,3.7,17.7,0.0,1146.0
ISP,IRONWOOD STATE PRISON - PIA,True,False,3,13.0,0.0,0.3,0.0,13.3
KVSP,DELANO II STATE PRISON,False,False,3,1559.7,7.3,50.7,0.0,1617.7
KVSP,KERN VALLEY STATE PRISON - PIA,True,False,3,17.7,0.0,0.3,0.0,18.0
LAC,CSP - LOS ANGELES COUNTY,False,False,3,1499.3,13.0,59.0,0.0,1571.3
MCSP,MULE CREEK STATE PRISON,False,False,3,1574.3,12.7,44.7,0.0,1631.7
MCSP,MULE CREEK STATE PRISON - PIA,True,False,3,44.7,0.0,0.0,0.0,44.7
NKSP,NORTH KERN STATE PRISON,False,False,3,1349.0,7.7,22.0,0.0,1378.7
NKSP,NORTH KERN STATE PRISON - PIA,True,False,3,9.0,0.0,1.0,0.0,10.0
PBSP,PELICAN BAY STATE PRISON,False,False,3,1061.7,2.7,47.7,0.0,1112.0
PBSP,PELICAN BAY STATE PRISON - PIA,True,False,3,13.0,0.0,1.0,0.0,14.0
PVSP,PLEASANT VALLEY ST PRISON-PIA,True,False,3,8.0,0.0,1.7,0.0,9.7
PVSP,PLEASANT VALLEY STATE PRISON,False,False,3,1306.0,5.3,26.0,0.0,1337.3
RJD,R J DONOVAN CORR FACILITY,False,False,3,1879.7,14.3,30.0,0.0,1924.0
RJD,R J DONOVAN CORR FACILITY-PIA,True,False,3,33.0,0.0,1.0,0.0,34.0
SAC,CA. STATE PRISON - SACRAMENTO,False,False,3,1522.3,12.3,64.7,0.0,1599.3
SATF,SUBSTANCE ABUSE TREAT FACILITY,False,False,3,22.0,0.0,2.7,0.0,24.7
SATF,SUBSTANCE ABUSE TREAT-CORCORAN,False,False,3,1866.3,8.0,48.0,0.0,1922.3
SCC,SIERRA CONSERVATION CENTER,False,False,3,1241.0,6.7,29.3,0.0,1277.0
SCC,SIERRA CONSERVATION CENTER-PIA,True,False,3,6.0,0.0,0.0,0.0,6.0
SOL,CA. STATE PRISON - SOLANO,False,False,3,1272.0,8.7,29.7,0.0,1310.3
SQ,SAN QUENTIN STATE PRISON,False,False,3,1545.3,6.7,39.0,0.0,1591.0
SQ,SAN QUENTIN STATE PRISON - PIA,True,False,3,15.3,0.0,2.3,0.0,17.7
SVSP,SALINAS VALLEY ST. PRISON- PIA,True,False,3,28.0,0.0,3.0,0.0,31.0
SVSP,SALINAS VALLEY STATE PRISON,False,False,3,1594.0,9.3,32.7,0.0,1636.0
VSP,VALLEY STATE PRISON,False,False,3,1126.7,14.3,39.7,0.0,1180.7
WSP,CA. STATE PRISON - WASCO,False,False,3,1485.3,10.7,27.0,0.0,1523.0
WSP,CA. STATE PRISON - WASCO - PIA,True,False,3,15.3,0.0,1.0,0.0,16.3
