report_date,cdcr_code,institution_name,gender,felon_other,design_capacity,pct_occupied,staffed_capacity
2015-01-28,ASP,Avenal SP,Male,4062,2920,139.1,4702
2015-01-28,CAL,Calipatria SP,Male,3747,2308,162.3,3883
2015-01-28,CCC,CA Correctional Center,Male,4499,3883,115.9,4872
2015-01-28,CCI,CA Correctional Institution,Male,4191,2783,150.6,4414
2015-01-28,CEN,Centinela SP,Male,3231,2308,140.0,3433
2015-01-28,CHCF,CA Health Care Fac - Stockton,Male,1950,2951,66.1,2951
2015-01-28,CIM,CA Institution for Men,Male,4295,2976,144.3,4728
2015-01-28,CMC,CA Men's Colony,Male,4053,3838,105.6,4668
2015-01-28,CMF,CA Medical Fac,Male,2125,2361,90.0,2756
2015-01-28,COR,"CA SP, Corcoran",Male,4084,3116,131.1,4445
2015-01-28,CRC,CA Rehabilitation Center,Male,2462,2491,98.8,3487
2015-01-28,CTF,Correctional Training Fac,Male,4611,3312,139.2,5231
2015-01-28,CVSP,Chuckawalla Valley SP,Male,2203,1738,126.8,2641
2015-01-28,DVI,Deuel Vocational Institution,Male,2334,1681,138.8,2586
2015-01-28,FOL,Folsom SP,Male,2510,2066,121.5,2895
2015-01-28,HDSP,High Desert SP,Male,3512,2324,151.1,3461
2015-01-28,ISP,Ironwood SP,Male,3065,2200,139.3,3175
2015-01-28,KVSP,Kern Valley SP,Male,3757,2448,153.5,3910
2015-01-28,LAC,"CA SP, Los Angeles County",Male,3507,2300,152.5,3600
2015-01-28,MCSP,Mule Creek SP,Male,2838,1700,166.9,2807
2015-01-28,NKSP,North Kern SP,Male,4096,2694,152.0,4529
2015-01-28,PBSP,Pelican Bay SP,Male,2655,2380,111.6,3032
2015-01-28,PVSP,Pleasant Valley SP,Male,3229,2308,139.9,3533
2015-01-28,RJD,RJ Donovan Correctional Fac,Male,3059,2200,139.0,3305
2015-01-28,SAC,"CA SP, Sacramento",Male,2179,1828,119.2,2312
2015-01-28,SATF,CA Substance Abuse Treat Fac,Male,5371,3424,156.9,5474
2015-01-28,SCC,Sierra Conservation Center,Male,4381,3736,117.3,4784
2015-01-28,SOL,"CA SP, Solano",Male,3868,2610,148.2,3890
2015-01-28,SQ,San Quentin SP,Male,4106,3082,133.2,4006
2015-01-28,SVSP,Salinas Valley SP,Male,3573,2452,145.7,3657
2015-01-28,VSP,Valley SP,Male,3119,1980,157.5,3390
2015-01-28,WSP,Wasco SP,Male,4843,2984,162.3,4997
2015-01-28,CCWF,Central CA Women's Fac,Female,3383,2004,168.8,3515
2015-01-28,CIW,CA Institution for Women,Female,1824,1398,130.5,2042
2015-01-28,FOL,Folsom SP,Female,504,403,125.1,483
2015-02-25,ASP,Avenal SP,Male,4007,2920,137.2,4702
2015-02-25,CAL,Calipatria SP,Male,3712,2308,160.8,3883
2015-02-25,CCC,CA Correctional Center,Male,4386,3883,113.0,4872
2015-02-25,CCI,CA Correctional Institution,Male,4193,2783,150.7,4414
2015-02-25,CEN,Centinela SP,Male,3244,2308,140.6,3433
2015-02-25,CHCF,CA Health Care Fac - Stockton,Male,1942,2951,65.8,2951
2015-02-25,CIM,CA Institution for Men,Male,4147,2976,139.3,4728
2015-02-25,CMC,CA Men's Colony,Male,3985,3838,103.9,4668
2015-02-25,CMF,CA Medical Fac,Male,2108,2361,89.3,2756
2015-02-25,COR,"CA SP, Corcoran",Male,4012,3116,128.8,4445
2015-02-25,CRC,CA Rehabilitation Center,Male,2453,2491,98.5,3487
2015-02-25,CTF,Correctional Training Fac,Male,4674,3312,141.1,5231
2015-02-25,CVSP,Chuckawalla Valley SP,Male,2157,1738,124.1,2641
2015-02-25,DVI,Deuel Vocational Institution,Male,2407,1681,143.2,2586
2015-02-25,FOL,Folsom SP,Male,2445,2066,118.3,2895
2015-02-25,HDSP,High Desert SP,Male,3515,2324,151.2,3461
2015-02-25,ISP,Ironwood SP,Male,3142,2200,142.8,3175
2015-02-25,KVSP,Kern Valley SP,Male,3720,2448,152.0,3910
2015-02-25,LAC,"CA SP, Los Angeles County",Male,3470,2300,150.9,3600
2015-02-25,MCSP,Mule Creek SP,Male,2828,1700,166.4,2807
2015-02-25,NKSP,North Kern SP,Male,3960,2694,147.0,4529
2015-02-25,PBSP,Pelican Bay SP,Male,2621,2380,110.1,3032
2015-02-25,PVSP,Pleasant Valley SP,Male,3207,2308,139.0,3533
2015-02-25,RJD,RJ Donovan Correctional Fac,Male,3009,2200,136.8,3305
2015-02-25,SAC,"CA SP, Sacramento",Male,2165,1828,118.4,2312
2015-02-25,SATF,CA Substance Abuse Treat Fac,Male,5409,3424,158.0,5474
2015-02-25,SCC,Sierra Conservation Center,Male,4353,3736,116.5,4784
2015-02-25,SOL,"CA SP, Solano",Male,3866,2610,148.1,3890
2015-02-25,SQ,San Quentin SP,Male,3958,3082,128.4,4006
2015-02-25,SVSP,Salinas Valley SP,Male,3564,2452,145.4,3657
2015-02-25,VSP,Valley SP,Male,3037,1980,153.4,3390
2015-02-25,WSP,Wasco SP,Male,4968,2984,166.5,4997
2015-02-25,CCWF,Central CA Women's Fac,Female,3321,2004,165.7,3515
2015-02-25,CIW,CA Institution for Women,Female,1804,1398,129.0,2042
2015-02-25,FOL,Folsom SP,Female,508,403,126.1,483
