report_date,row_label,population,change_last_period,change_last_year,design_capacity,pct_occupied,staffed_capacity
2015-01-28,"(MEN, Subtotal)",117441,-1408.0,,,,
2015-01-28,"(WOMEN, Subtotal)",5999,-103.0,,,,
2015-01-28,INSTITUTIONS,113463,-4016.0,,82707.0,137.2,123244.0
2015-01-28,"CAMPS(CCC, CIW & SCC)",3765,-272.0,,4480.0,84.0,4350.0
2015-01-28,CCF PRIVATE,1991,-10.0,,,,
2015-01-28,CCF PUBLIC,1691,1183.0,,,,
2015-01-28,PRISONER MOTHER PGM,20,3.0,,,,
2015-01-28,FRCCC(BAKERSFIELD),29,-4.0,,,,
2015-01-28,CALIFORNIA CITY CF,2029,1404.0,,,,
2015-01-28,3. DSH STATE HOSPITALS*,219,-32.0,,,,
2015-01-28,ARIZONA,3617,-112.0,,,,
2015-01-28,MISSISSIPPI,2636,-45.0,,,,
2015-01-28,OKLAHOMA,2549,52.0,,,,
2015-01-28,COMMUNITY SUP(Active),41666,-3417.0,,,,
2015-01-28,COOP CASES (Active) #3,2195,47.0,,,,
2015-01-28,MNRP & NRP (Inactive),5,-266.0,,,,
2015-01-28,OTHER STATE/FED. INST.,527,55.0,,,,
2015-01-28,OUT OF STATE PAROLE,253,-84.0,,,,
2015-01-28,OUT OF STATE PAL,13,-2.0,,,,
2015-01-28,INSTITUTIONS #5,129,-8.0,,,,
2015-01-28,"OUT-TO-COURT, etc.",1302,-53.0,,,,
2015-01-28,ESCAPED,201,-2.0,,,,
2015-01-28,PAROLEES (PAL/RAL),5306,-676.0,,,,
2015-02-25,"(MEN, Subtotal)",116393,-3156.0,,,,
2015-02-25,"(WOMEN, Subtotal)",5900,-242.0,,,,
2015-02-25,INSTITUTIONS,112467,-5034.0,,82707.0,136.0,123244.0
2015-02-25,"CAMPS(CCC, CIW & SCC)",3832,-314.0,,4480.0,85.5,4350.0
2015-02-25,CCF PRIVATE,1951,-103.0,,,,
2015-02-25,CCF PUBLIC,1633,790.0,,,,
2015-02-25,PRISONER MOTHER PGM,17,-2.0,,,,
2015-02-25,FRCCC(BAKERSFIELD),27,-8.0,,,,
2015-02-25,CALIFORNIA CITY CF,1929,1092.0,,,,
2015-02-25,3. DSH STATE HOSPITALS*,220,-36.0,,,,
2015-02-25,ARIZONA,3702,97.0,,,,
2015-02-25,MISSISSIPPI,2634,-14.0,,,,
2015-02-25,OKLAHOMA,2549,17.0,,,,
2015-02-25,COMMUNITY SUP(Active),42315,-1841.0,,,,
2015-02-25,COOP CASES (Active) #3,2262,233.0,,,,
2015-02-25,MNRP & NRP (Inactive),3,-240.0,,,,
2015-02-25,OTHER STATE/FED. INST.,523,48.0,,,,
2015-02-25,OUT OF STATE PAROLE,253,-70.0,,,,
2015-02-25,OUT OF STATE PAL,15,-3.0,,,,
2015-02-25,INSTITUTIONS #5,127,-8.0,,,,
2015-02-25,"OUT-TO-COURT, etc.",1349,94.0,,,,
2015-02-25,ESCAPED,199,-4.0,,,,
2015-02-25,PAROLEES (PAL/RAL),5386,-518.0,,,,
2015-03-25,"(MEN, Subtotal)",116030,-3887.0,,,,
2015-03-25,"(WOMEN, Subtotal)",5852,-348.0,,,,
2015-03-25,INSTITUTIONS,111972,-4884.0,,82707.0,135.4,123244.0
2015-03-25,"CAMPS(CCC, CIW & SCC)",3831,-331.0,,4480.0,85.5,4350.0
2015-03-25,CCF PRIVATE,1942,-120.0,,,,
2015-03-25,CCF PUBLIC,1693,269.0,,,,
2015-03-25,PRISONER MOTHER PGM,17,-1.0,,,,
2015-03-25,CALIFORNIA CITY CF,1951,650.0,,,,
2015-03-25,3. DSH STATE HOSPITALS*,211,-49.0,,,,
2015-03-25,ARIZONA,3627,15.0,,,,
2015-03-25,MISSISSIPPI,2572,-40.0,,,,
2015-03-25,OKLAHOMA,2458,-81.0,,,,
2015-03-25,COMMUNITY SUP(Active),42617,-648.0,,,,
2015-03-25,COOP CASES (Active) #3,2322,315.0,,,,
2015-03-25,MNRP & NRP (Inactive),3,-212.0,,,,
2015-03-25,OTHER STATE/FED. INST.,524,49.0,,,,
2015-03-25,OUT OF STATE PAROLE,258,-54.0,,,,
2015-03-25,INSTITUTIONS #5,129,-4.0,,,,
2015-03-25,"OUT-TO-COURT, etc.",1221,-56.0,,,,
2015-03-25,ESCAPED,199,-4.0,,,,
2015-03-25,PAROLEES (PAL/RAL),5580,-218.0,,,,
2015-04-29,"(MEN, Subtotal)",115856,-4138.0,,,,
2015-04-29,"(WOMEN, Subtotal)",5779,-445.0,,,,
2015-04-29,INSTITUTIONS,111512,-4734.0,,82707.0,134.8,123242.0
2015-04-29,"CAMPS(CCC, CIW & SCC)",3702,-486.0,,4480.0,82.6,4340.0
2015-04-29,CCF PRIVATE,2050,-17.0,,,,
2015-04-29,CCF PUBLIC,1765,80.0,,,,
2015-04-29,CALIFORNIA CITY CF,2127,426.0,,,,
2015-04-29,3. DSH STATE HOSPITALS*,203,-71.0,,,,
2015-04-29,ARIZONA,3547,-34.0,,,,
2015-04-29,MISSISSIPPI,2366,-272.0,,,,
2015-04-29,OKLAHOMA,2267,-184.0,,,,
2015-04-29,COMMUNITY SUP(Active),42820,52.0,,,,
2015-04-29,COOP CASES (Active) #3,2323,324.0,,,,
2015-04-29,MNRP & NRP (Inactive),3,-184.0,,,,
