Facility_Name,Facility_Code,Average_2025_Population
Avenal State Prison,ASP,3891
Calipatria State Prison,CAL,2462
California Correctional Institution,CCI,2434
Central California Women's Facility,CCWF,2040
Centinela State Prison,CEN,2984
California Health Care Facility - Stockton,CHCF,2251
California Institution for Men,CIM,2274
California Institution for Women,CIW,1187
California Men's Colony,CMC,2172
California Medical Facility,CMF,2045
"California State Prison, Corcoran",COR,2629
California Rehabilitation Center,CRC,2330
Correctional Training Facility,CTF,4225
Folsom State Prison,FOL,2777
High Desert State Prison,HDSP,2719
Ironwood State Prison,ISP,2764
Kern Valley State Prison,KVSP,3092
"California State Prison, Los Angeles County",LAC,2949
Mule Creek State Prison,MCSP,3761
North Kern State Prison,NKSP,2570
Pelican Bay State Prison,PBSP,2096
Pleasant Valley State Prison,PVSP,2992
RJ Donovan Correctional Facility,RJD,3592
"California State Prison, Sacramento",SAC,2131
California Substance Abuse Treatment Facility,SATF,5358
Sierra Conservation Center,SCC,4035
"California State Prison, Solano",SOL,3735
San Quentin Rehabilitation Center,SQ,2688
Salinas Valley State Prison,SVSP,2387
Valley State Prison,VSP,3148
Wasco State Prison,WSP,3676
