cdcr_code,facility_name,days_indoor_above_78f_2025
ASP,Avenal State Prison,132
CAL,Calipatria State Prison,137
CCI,California Correctional Institution,115
CCWF,Central California Women'S Facility,97
CEN,Centinela State Prison,42
CHCF,California Health Care Facility,0
CIM,California Institution For Men,161
CIW,California Institution For Women,150
CMC,California Men'S Colony,33
CMF,California Medical Facility,135
COR,"California State Prison, Corcoran",159
CRC,California Rehabilitation Center,149
CTF,Correctional Training Facility,60
FSP,Folsom State Prison,158
HDSP,High Desert State Prison,89
ISP,Ironwood State Prison,1
KVSP,Kern Valley State Prison,66
LAC,California State Prison-Los Angeles County,39
MCSP,Mule Creek State Prison,11
NKSP,North Kern State Prison,134
PBSP,Pelican Bay State Prison,63
PVSP,Pleasant Valley State Prison,67
RJD,R J Donovan Correctional Facility,114
SAC,"California State Prison, Sacramento",133
SATF,Ca Substance Abuse Treatment Facility,133
SCC,Sierra Conservation Center,154
SOL,"California State Prison, Solano",159
SQRC,San Quentin Rehabilitation Center,41
SVSP,Salinas Valley State Prison,1
VSP,Valley State Prison,52
WSP,Wasco State Prison,136
