cdcr_code,benz_uhi_dt,benz_uhi_source,uhi_normalized
ASP,-0.141,direct,0.0
CAC,-0.322,direct,0.0
CAL,-4.399,direct,0.0
CCWF,0.662,direct,0.0913
CEN,-0.057,direct,0.0
CHCF,2.48,direct,0.3422
CIM,7.247,buffer,1.0
CIW,4.385,buffer_cdcr_corroborated,0.6051
CMC,0.506,direct,0.0698
CMF,4.214,direct,0.5815
COR,4.188,buffer,0.5779
CRC,4.14,direct,0.5713
CTF,-1.007,direct,0.0
CVSP,-0.538,buffer,0.0
FOL,-0.534,direct,0.0
FWF,-0.534,direct,0.0
HDSP,0.297,direct,0.041
ISP,-0.538,buffer,0.0
KVSP,1.09,direct,0.1504
LAC,-1.114,direct,0.0
MCSP,1.902,direct,0.2625
NKSP,4.548,direct,0.6276
PBSP,2.244,direct,0.3096
RJD,-1.542,buffer,0.0
SAC,-0.534,direct,0.0
SATF,4.354,buffer,0.6008
SCC,-0.122,direct,0.0
SOL,4.214,direct,0.5815
SQ,-5.309,direct,0.0
SVSP,-1.007,direct,0.0
VSP,0.662,direct,0.0913
WSP,3.507,buffer,0.4839
