tract,ZIP,apx_loc,county,TotalPop,CIscore,CIscoreP,ozone,ozoneP,pm,pmP,lead,leadP,diesel,dieselP,drink,drinkP,pest,pestP,RSEIhaz,RSEIhazP,traffic,trafficP,cleanups,cleanupsP,gwthreats,gwthreatsP,haz,hazP,iwb,iwbP,SmATS,SmATSP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,cvd,cvdP,diabetes,diabetesP,lbw,lbwP,edu,eduP,housingB,housingBP,ling,lingP,pov,povP,unemp,unempP,PopChar,PopCharScore,PopCharP,popund_10,pop10_64,popovr_64,white_pct,hispanic_pct,black_pct,nativeamer_pct,asian_pct,othmulti_pct
6001400100,94720,Berkeley,Alameda,3094,9.786845926,10.38874737,0.029250507,6.028991873,7.135386603,10.79508017,16.64108629,14.79960031,0.0957385,69.89117291,2.836099813,3.572606354,0,0,674.9400025,64.41724556,934.715,66.21220451,2.5,26.49749189,12.25,53.11508509,2.42,95.06726457,3,27.21903769,78,69.11694511,0.5,21.49758454,35.89382008,4.369906448,29.3213266,17.36,9.743194092,7.29,4.823788546,9.1,17.59647189,7.03,81.05881025,0.901639344,2.39074836,8.913857678,13.03478164,0.683890578,3.480444923,8.780487805,9.324189802,5.454545455,45.47786328,21.5235859,2.239600788,7.819249086,10.47,59.99,29.54,68.1,6.46,4.43,0,14.93,6.08
6001400200,94618,Oakland,Alameda,2093,7.181342854,4.817809281,0.028515942,4.524489348,7.348712921,15.8796398,69.49253631,72.29932275,0.171673487,86.89677916,2.836099813,3.572606354,0,0,673.6556803,64.37313927,1753.647,81.91313909,0,0,53.75,91.26045573,0.835,74.24554599,1,10.17891263,102.65,76.25298329,0,0,41.45147618,5.046525354,45.05820338,20.69,15.72798413,7.04,3.876651982,7,4.27783903,4.13,20.17157693,3.567251462,16.59068164,6.551724138,5.756195133,0.81300813,5.083124028,9.603440038,11.27087712,5.24911032,42.99096688,13.67594099,1.423027202,1.70561524,10.61,63.88,25.51,67.27,9.36,2.05,0.67,12.23,8.41
6001400300,94618,Oakland,Alameda,5727,12.90793729,18.97220069,0.028515942,4.524489348,7.446539164,18.4274105,69.04143824,71.77750638,0.1553872,84.55534792,2.836099813,3.572606354,0,0,653.565328,63.78873084,1617.707,79.96701484,0,0,35.65,83.50158639,0.715,68.46442855,0,0,276.1,93.150358,0,0,40.83533512,4.971513032,43.22424775,26.72,29.22958228,7.51,5.63876652,7.4,5.567805954,4.51,27.73450728,2.959641256,13.18803514,13.33333333,34.05933993,4.865462588,38.12941036,11.00403014,14.86561221,7.127252867,64.06825025,24.95239754,2.596380058,12.12758888,10.02,72.36,17.62,58.76,8.68,9.15,0.37,10.63,12.41
6001400400,94609,Oakland,Alameda,4395,7.731603641,5.903200797,0.028515942,4.524489348,7.451337814,18.51526466,60.66583956,62.42922172,0.160766951,85.34681763,2.836099813,3.572606354,0,0,699.0973307,65.18910574,1253.706,73.87575591,0.4,5.429330186,61.9,92.60167292,0.92,77.2876015,0,0,237.4,91.70644391,0,0,40.95583003,4.986182729,43.60860971,37.93,54.95425989,8.89,13.37004405,6.5,3.042998897,3.06,6.817925274,1.859756098,6.849772045,8.164383562,10.16779642,0.443704936,0.944863055,17.9728798,33.28171662,0.202922078,0.044608007,14.90202913,1.550605756,2.303688116,13.49,72.15,14.36,60.18,13.74,9.85,0,9.6,6.62
6001400500,94609,Oakland,Alameda,3822,20.22376157,38.7529073,0.028515942,4.524489348,7.451337814,18.51526466,58.88511819,60.56400577,0.133438624,80.36715401,2.836099813,3.572606354,0,0,727.2610067,65.98301908,484.944,35.33809786,2,23.35497197,27.3,76.93971733,0.78,71.63980124,0,0,201.35,89.59427208,0,0,36.93476212,4.496636324,32.25345926,49.55,78.01168302,9.87,20.4185022,7.2,4.840132304,5.5,50.93125635,3.199455412,14.37784944,25.01492537,82.45360596,2.47734139,19.7703624,25.18343816,50.53644508,8.165019338,72.34303557,43.22332658,4.497531068,41.22272677,9.47,74.73,15.8,44.37,14.57,23.84,0.1,8.19,8.92
6001400600,94609,Oakland,Alameda,1957,13.16534066,19.73640492,0.028515942,4.524489348,7.491271973,19.69031408,81.96915092,85.75552348,0.165274092,86.00637573,2.836099813,3.572606354,0,0,681.0893351,64.5716176,2178.173,87.63056625,1,13.23399233,13.6,55.78309778,0.545,58.15052721,0,0,114.1,78.71121718,0,0,40.75033743,4.961164956,42.8728311,53.81,83.76501708,10.46,25.37444934,7.1,4.586549063,4.64,30.50005644,4.466019417,21.23874124,8.783783784,12.55695077,0.754716981,4.437268269,17.46361746,32.00973344,1.592356688,4.505408721,25.50306923,2.653679282,12.95824565,10.22,79.25,10.53,40.93,10.12,27.8,0.31,5.16,15.69
6001400700,94608,Emeryville,Alameda,4404,22.49978067,44.26846827,0.02814261,2.229299363,7.636166096,23.89633209,79.59961824,83.4462085,0.156656942,84.75321535,2.836099813,3.572606354,0,0,707.3116455,65.39861065,541.675,40.70368334,6.65,55.96046031,44.35,88.17421402,0.29,35.97139741,10,76.15077297,326.3,94.39140811,0,0,44.81378813,5.455871269,54.90885131,60.82,89.41915574,8.86,13.20484581,7.9,7.662624035,5.54,51.73270121,1.856612396,6.816412765,18.7654321,60.79564396,4.370721432,34.76856835,24.81834696,49.72901228,5.143051771,41.69733467,39.63311305,4.123957395,35.3306014,9.49,78.72,11.78,50.64,10.29,23.93,1.57,6.31,7.27
6001400800,94608,Emeryville,Alameda,4583,20.84977448,40.29239118,0.02814261,2.229299363,7.758163929,27.63013398,19.21903113,17.50860442,0.082904671,65.16433989,2.836099813,3.572606354,0,0,773.8396606,67.58187231,451.228,31.78669599,52.85,97.5804072,141.9,98.05307182,0.96,78.81468913,10,76.15077297,625.4,97.91169451,0,0,42.87338689,5.219636401,49.11047661,61.19,89.52937286,8.49,11.10132159,7.9,7.662624035,6.49,72.16390112,5.735254145,27.6437229,13.33333333,34.05933993,6.736292428,49.3362038,23.56032406,46.76473841,0.51405072,0.512992082,38.38885216,3.994487906,33.29272345,7.59,78.81,13.59,53.26,13,8.1,0,15.23,10.41
6001400900,94608,Emeryville,Alameda,2752,25.33550846,50.40425296,0.02814261,2.229299363,7.636166096,23.89633209,95.61054232,98.390141,0.174906742,87.22655821,2.836099813,3.572606354,0,0,693.4783325,64.96857426,330.312,19.30731171,32,94.20182945,93.45,96.19267378,0.68,66.59798812,10,76.15077297,192.05,88.8902148,0,0,48.41220631,5.893962027,65.03404349,63.95,91.05036923,8.38,10.25330396,7.5,5.898566703,10.87,99.50332995,3.25203252,14.75592127,15.02222222,42.89365485,0.887311446,5.693098912,21.1119186,41.11270877,5.852674067,50.27322404,41.31105702,4.298553052,38.21021154,10.39,83.98,5.63,34.85,18.5,27.58,1.53,7.67,9.88
6001401000,94608,Emeryville,Alameda,6529,27.72249286,54.86764869,0.02814261,2.229299363,7.654388905,24.30265759,34.4327722,34.27334296,0.334390143,96.15257777,2.836099813,3.572606354,0,0,623.8246663,62.8294189,1347.604,75.70093458,28.2,92.75597521,160,98.47130084,1.55,90.09816992,10,76.15077297,420.6,96.25298329,0,0,50.12891436,6.102963286,69.56951461,60.64,89.33098203,9.06,14.49339207,7.3,5.192943771,6.14,65.17665651,8.282674772,38.65228511,10.50328228,19.71330148,8.009516257,55.90240402,21.33435583,41.62150205,7.004775984,62.91959407,43.65515547,4.542464303,41.93155388,11.79,78.17,10.03,30.4,13.72,37.49,0,6.49,11.89
