facilityid,name,cdcr_code,latitude,longitude,cell_lat,cell_lon,cell_dist_km,contained_cell_valid,mask_override,note,cell_key
10006510,Otay Mesa Detention Center,,32.57596504758365,-116.91564013788977,32.578125,-116.921875,0.631,True,False,,"32.578125,-116.921875"
10001521,Del Norte County Jail,,41.75310253863079,-124.20082671366757,41.765625,-124.203125,1.403,True,False,,"41.765625,-124.203125"
10000914,Dorothy Kirby Center,,34.011725929422504,-118.16917483066176,34.015625,-118.171875,0.499,True,False,,"34.015625,-118.171875"
10006313,Baldwin Park Jail,,34.08542320534737,-117.95972580356398,34.078125,-117.953125,1.012,True,False,,"34.078125,-117.953125"
10006488,Claremont Jail,,34.096233053161434,-117.72245587010627,34.109375,-117.734375,1.824,True,False,,"34.109375,-117.734375"
10006489,Concord Jail,,37.97087039089063,-122.031692397237,37.984375,-122.046875,2.003,True,False,,"37.984375,-122.046875"
10006495,Monrovia Jail,,34.14789596650148,-117.9992566100296,34.140625,-117.984375,1.588,True,False,,"34.140625,-117.984375"
10006498,Signal Hill City Jail,,33.80680219254155,-118.17245189767004,33.796875,-118.171875,1.103,True,False,,"33.796875,-118.171875"
10006492,Culver City Jail,,34.020764242179446,-118.39508559710085,34.015625,-118.390625,0.703,True,False,,"34.015625,-118.390625"
10006179,FCI Mendota,,36.73364122914027,-120.3924603239434,36.734375,-120.390625,0.182,True,False,,"36.734375,-120.390625"
10000864,USP Lompoc,,34.679187474299496,-120.50548010652062,34.671875,-120.515625,1.231,True,False,,"34.671875,-120.515625"
10002351,Bell City Jail,,33.97910744065924,-118.18841160133736,33.984375,-118.203125,1.475,True,False,,"33.984375,-118.203125"
10000771,Alder Conservation Camp #20,,41.50102605418069,-124.0614026616772,41.515625,-124.046875,2.021,True,False,,"41.515625,-124.046875"
10005258,Sugar Pine Conservation Camp #9,,40.74594991511181,-122.0926140282548,40.734375,-122.078125,1.771,True,False,,"40.734375,-122.078125"
10000871,MCC San Diego,,32.713963558611916,-117.1660704622264,32.703125,-117.171875,1.32,True,False,,"32.703125,-117.171875"
10005267,Salt Creek Conservation Camp #7,,39.81202088855824,-122.62925447861537,39.796875,-122.640625,1.941,True,False,,"39.796875,-122.640625"
10005319,Owens Valley Conservation Camp #26,,37.38924437916502,-118.55153489518936,37.390625,-118.546875,0.439,True,False,,"37.390625,-118.546875"
10005362,Ventura Conservation Camp #46,,34.246176183785806,-119.10677775352286,34.234375,-119.109375,1.331,True,False,,"34.234375,-119.109375"
10000840,Prado Conservation Camp #28,,33.99116711079797,-117.68683207528083,33.984375,-117.671875,1.569,True,False,,"33.984375,-117.671875"
10005275,Valley View Conservation Camp #34,,39.65246297492119,-122.72173226828056,39.640625,-122.734375,1.701,True,False,,"39.640625,-122.734375"
10000874,Western Region Detention Facility,,32.7173817496747,-117.16523774875972,32.703125,-117.171875,1.7,True,False,,"32.703125,-117.171875"
10000849,Mesa Verde Ice Processing Center,,35.37971816195629,-119.00641253053884,35.390625,-119.015625,1.47,True,False,,"35.390625,-119.015625"
10000897,Glendale City Jail,,34.14735399725111,-118.2493590354608,34.140625,-118.234375,1.566,True,False,,"34.140625,-118.234375"
10000911,Torrance City Jail,,33.83986898172371,-118.34228828447392,33.828125,-118.328125,1.845,True,False,,"33.828125,-118.328125"
10000777,Sutter County Jail,,39.14285926968739,-121.63782617479472,39.140625,-121.640625,0.346,True,False,,"39.140625,-121.640625"
10000823,Tulare County Men's Correctional Facility,,36.44508173488965,-119.32043337950851,36.453125,-119.328125,1.126,True,False,,"36.453125,-119.328125"
10005263,Antelope Conservation Camp #25,,40.40164182151751,-120.51004710820791,40.390625,-120.515625,1.311,True,False,,"40.390625,-120.515625"
10000772,Herlong FCI,,40.151192472135286,-120.16619206516069,40.140625,-120.171875,1.268,True,False,,"40.140625,-120.171875"
10000814,Ben Lomond Conservation Camp #45,,37.130265033493735,-122.1690670677042,37.140625,-122.171875,1.176,True,False,,"37.140625,-122.171875"
10002347,Calipatria State Prison (CAL),CAL,33.16569335411168,-115.4843440200192,33.171875,-115.484375,0.686,True,False,,"33.171875,-115.484375"
10002348,Centinela State Prison (CEN),CEN,32.82339731050856,-115.7890554901459,32.828125,-115.796875,0.899,True,False,,"32.828125,-115.796875"
10006310,Adelanto Ice Processing Center,,34.55969543666143,-117.44071494857548,34.546875,-117.453125,1.82,True,False,,"34.546875,-117.453125"
10005361,El Centro Service Processing Center,,32.80301930673736,-115.56681652692428,32.796875,-115.578125,1.256,True,False,,"32.796875,-115.578125"
10006491,Covina Jail,,34.08995454335269,-117.8886708557222,34.078125,-117.890625,1.325,True,False,,"34.078125,-117.890625"
10000781,Sacramento County Work Release,,38.600280065057795,-121.49413045068547,38.609375,-121.484375,1.317,True,False,,"38.609375,-121.484375"
10000859,Larry D Smith Correctional Facility,,33.91003189843904,-116.87021077101804,33.921875,-116.859375,1.651,True,False,,"33.921875,-116.859375"
10000835,Glen Helen Rehabilitation Center,,34.17753047412101,-117.38931449983622,34.171875,-117.390625,0.639,True,False,,"34.171875,-117.390625"
10001539,Oxnard City Jail,,34.200843775017155,-119.18149015571184,34.203125,-119.171875,0.918,True,False,,"34.203125,-119.171875"
10000891,Pitchess Detention Center-South,,34.46605502608862,-118.5996116034917,34.453125,-118.609375,1.691,True,False,,"34.453125,-118.609375"
10002330,FCI Dublin Camp,,37.717950171696266,-121.8948186675473,37.703125,-121.890625,1.686,True,False,,"37.703125,-121.890625"
10000863,FCI Lompoc,,34.676755382981256,-120.4994620676944,34.671875,-120.484375,1.48,True,False,,"34.671875,-120.484375"
10000833,FCI Victorville Medium I Camp,,34.56900668681523,-117.36974423441475,34.578125,-117.359375,1.387,True,False,,"34.578125,-117.359375"
10000831,FCI Victorville Medium II,,34.568484117135945,-117.35831452366868,34.578125,-117.359375,1.075,True,False,,"34.578125,-117.359375"
10006487,Chula Vista Jail,,32.63993272300781,-117.08303758871024,32.640625,-117.078125,0.466,True,False,,"32.640625,-117.078125"
10006180,FCI Mendota Camp,,36.728576475901214,-120.39236686830785,36.734375,-120.390625,0.662,True,False,,"36.734375,-120.390625"
10000887,FCI Terminal Island,,33.72649105995905,-118.26706314344848,33.734375,-118.265625,0.885,True,False,,"33.734375,-118.265625"
10000867,USP Lompoc Camp,,34.67502678354751,-120.5042452703141,34.671875,-120.515625,1.096,True,False,,"34.671875,-120.515625"
10000806,USP Atwater,,37.385902009533794,-120.55881096422864,37.390625,-120.546875,1.176,True,False,,"37.390625,-120.546875"
10000892,Mdc Los Angeles,,34.05365172738237,-118.23852864799257,34.046875,-118.234375,0.844,True,False,,"34.046875,-118.234375"
10006299,USP Lompoc North Camp,,34.684348596310315,-120.50342145068144,34.671875,-120.515625,1.777,True,False,,"34.671875,-120.515625"
10005303,FCI Dublin,,37.7185793067588,-121.896970997066,37.703125,-121.890625,1.804,True,False,,"37.703125,-121.890625"
10005261,Herlong FCI Camp,,40.15300842320584,-120.153899940364,40.140625,-120.140625,1.777,True,False,,"40.140625,-120.140625"
10006194,USP Atwater Camp,,37.38324683391697,-120.56351089902054,37.390625,-120.578125,1.527,True,False,,"37.390625,-120.578125"
10000830,USP Victorville,,34.56511772035156,-117.3705686834497,34.578125,-117.359375,1.77,True,False,,"34.578125,-117.359375"
10000832,FCI Victorville Medium I,,34.565479182329916,-117.3645614551476,34.578125,-117.359375,1.482,True,False,,"34.578125,-117.359375"
10002323,"California State Prison, Solano (SOL)",SOL,38.320776607604,-121.97523692020748,38.328125,-121.984375,1.14,True,False,,"38.328125,-121.984375"
10002316,Yolo County Juvenile Detention Facility,,38.66101321635629,-121.73033404289303,38.671875,-121.734375,1.256,True,False,,"38.671875,-121.734375"
10002350,North County Correctional Facility,,34.46449801148207,-118.58669462597126,34.453125,-118.578125,1.486,True,False,,"34.453125,-118.578125"
10002355,Central Juvenile Hall,,34.062845125055134,-118.2075310308609,34.078125,-118.203125,1.744,True,False,,"34.078125,-118.203125"
10002354,Mira Loma Detention Center,,34.701951456144066,-118.23257916788252,34.703125,-118.234375,0.209,True,False,,"34.703125,-118.234375"
10006242,James G Bowles Juvenile Hall,,35.38551690633812,-118.97007208464194,35.390625,-118.984375,1.413,True,False,,"35.390625,-118.984375"
10000893,Long Beach City Jail,,33.76887574058282,-118.19740279229644,33.765625,-118.203125,0.64,True,False,,"33.765625,-118.203125"
10006509,Imperial Regional Detention Facility,,32.69157796738742,-115.39785934490034,32.703125,-115.390625,1.449,True,False,,"32.703125,-115.390625"
10006224,Camp Mendenhall,,34.65294490631566,-118.47692576783348,34.640625,-118.484375,1.527,True,False,,"34.640625,-118.484375"
10006223,Camp Munz,,34.65269994694997,-118.4790990449336,34.640625,-118.484375,1.424,True,False,,"34.640625,-118.484375"
10005249,Del Norte Juvenile Hall,,41.76415323607952,-124.19060254740864,41.765625,-124.203125,1.05,True,False,,"41.765625,-124.203125"
10005329,Central Valley Juvenile Detention And Assessment Center,,34.13232970328932,-117.26894018143396,34.140625,-117.265625,0.97,True,False,,"34.140625,-117.265625"
10000907,Monterey Park City Jail,,34.059105896911724,-118.1260141111758,34.046875,-118.140625,1.91,True,False,,"34.046875,-118.140625"
10005366,Pacific Area Community Jail,,33.99163063383789,-118.41985259215922,33.984375,-118.421875,0.827,True,False,,"33.984375,-118.421875"
10005364,77th Street Regional Jail,,33.970346036657936,-118.27739864086942,33.984375,-118.265625,1.897,True,False,,"33.984375,-118.265625"
10006325,Santa Ana City Jail,,33.75017454253526,-117.88059472025569,33.765625,-117.890625,1.949,True,False,,"33.765625,-117.890625"
10006307,Cai - Ocean View,,32.70025287997728,-117.11802856467416,32.703125,-117.109375,0.869,True,False,,"32.703125,-117.109375"
10000898,Glendora City Jail,,34.134683472370746,-117.86472195529764,34.140625,-117.859375,0.822,True,False,,"34.140625,-117.859375"
10005322,San Benito County Jail,,36.88402085050856,-121.41134831394592,36.890625,-121.421875,1.188,True,False,,"36.890625,-121.421875"
