facilityid,name,cdcr_code,latitude,longitude,cell_lat,cell_lon,cell_dist_km,n_models,n_members,mask_override,loca2_days_over_80_historic,loca2_days_over_90_historic,loca2_days_over_100_historic,loca2_days_over_110_historic,loca2_nights_over_60_historic,loca2_nights_over_70_historic,loca2_nights_over_80_historic,loca2_nights_over_90_historic,loca2_days_over_avg_historic,loca2_days_over_avg_plus10_historic,loca2_nights_over_p95_historic,loca2_nights_over_p98_historic,loca2_days_over_80_midcentury,loca2_days_over_90_midcentury,loca2_days_over_100_midcentury,loca2_days_over_110_midcentury,loca2_nights_over_60_midcentury,loca2_nights_over_70_midcentury,loca2_nights_over_80_midcentury,loca2_nights_over_90_midcentury,loca2_days_over_avg_midcentury,loca2_days_over_avg_plus10_midcentury,loca2_nights_over_p95_midcentury,loca2_nights_over_p98_midcentury,loca2_days_over_80_endcentury,loca2_days_over_90_endcentury,loca2_days_over_100_endcentury,loca2_days_over_110_endcentury,loca2_nights_over_60_endcentury,loca2_nights_over_70_endcentury,loca2_nights_over_80_endcentury,loca2_nights_over_90_endcentury,loca2_days_over_avg_endcentury,loca2_days_over_avg_plus10_endcentury,loca2_nights_over_p95_endcentury,loca2_nights_over_p98_endcentury,loca2_avg_summer_tmax_f,loca2_avg_summer_tmin_f,loca2_p95_tmin_f,loca2_p98_tmin_f
10006510,Otay Mesa Detention Center,,32.57596504758365,-116.91564013788977,32.578125,-116.921875,0.631,14,62,False,109.473,19.185,0.892,0.0,63.717,6.483,0.169,0.001,90.89,13.601,13.251,5.406,161.719,41.537,3.857,0.06,112.054,18.352,1.053,0.009,141.654,31.518,33.669,17.234,191.262,62.774,7.802,0.202,146.478,34.082,2.62,0.04,171.753,49.354,56.734,32.315,81.449,58.995,67.216,70.437
10001521,Del Norte County Jail,,41.75310253863079,-124.20082671366757,41.765625,-124.203125,1.403,14,62,False,3.607,0.264,0.005,0.0,3.326,0.056,0.001,0.0,77.871,8.817,11.681,4.727,8.197,0.521,0.011,0.001,9.924,0.251,0.004,0.0,112.065,17.843,27.936,12.979,11.812,0.845,0.012,0.0,18.507,0.736,0.012,0.0,147.316,26.524,44.482,22.997,66.264,50.14,56.425,58.945
10000914,Dorothy Kirby Center,,34.011725929422504,-118.16917483066176,34.015625,-118.171875,0.499,14,62,False,153.347,40.457,2.919,0.023,110.407,12.541,0.344,0.0,85.235,11.347,13.86,5.765,197.632,76.901,10.815,0.435,165.069,40.049,2.648,0.036,130.198,30.369,44.916,24.33,223.637,104.646,21.652,1.542,194.642,71.225,7.636,0.201,158.621,50.68,74.982,49.393,85.467,62.741,69.626,72.427
10006313,Baldwin Park Jail,,34.08542320534737,-117.95972580356398,34.078125,-117.953125,1.012,14,62,False,194.001,94.362,16.614,0.402,110.553,15.57,0.408,0.004,77.093,9.649,14.341,6.068,234.193,134.689,43.394,3.419,163.231,48.821,3.647,0.059,116.78,30.618,47.278,27.137,254.532,158.982,65.991,8.78,191.079,81.157,10.953,0.295,140.918,50.488,77.738,52.69,91.858,63.547,70.313,73.033
10006488,Claremont Jail,,34.096233053161434,-117.72245587010627,34.109375,-117.734375,1.824,14,62,False,155.723,68.778,7.401,0.033,76.919,8.5,0.104,0.0,76.033,9.777,14.544,6.363,198.903,109.747,28.499,1.404,130.514,33.4,1.978,0.023,116.984,33.748,46.398,28.334,221.416,133.454,48.455,4.566,160.587,59.32,6.774,0.146,140.829,55.053,74.799,51.971,89.156,60.597,68.251,70.885
10006489,Concord Jail,,37.97087039089063,-122.031692397237,37.984375,-122.046875,2.003,14,62,False,120.482,45.646,6.958,0.138,29.23,1.286,0.021,0.0,68.478,14.938,14.564,6.08,155.532,75.295,17.587,1.202,85.331,6.442,0.22,0.002,102.754,31.995,54.817,28.985,172.801,96.245,28.834,3.439,120.87,17.848,0.724,0.009,123.436,47.374,90.007,59.218,86.645,57.024,62.475,65.253
10006495,Monrovia Jail,,34.14789596650148,-117.9992566100296,34.140625,-117.984375,1.588,14,62,False,189.122,93.601,16.713,0.353,114.573,16.907,0.509,0.008,75.942,9.341,14.397,6.108,229.124,133.436,43.445,3.284,169.051,49.452,4.327,0.147,115.195,29.92,44.807,25.522,249.484,156.962,66.037,8.498,198.584,81.397,11.585,0.429,138.891,49.924,74.311,49.073,91.949,63.203,70.604,73.409
10006498,Signal Hill City Jail,,33.80680219254155,-118.17245189767004,33.796875,-118.171875,1.103,14,62,False,94.59,17.797,1.446,0.039,99.906,12.246,0.645,0.005,82.361,14.07,13.087,5.198,130.689,34.678,4.073,0.214,149.259,35.13,2.995,0.106,117.536,28.919,38.966,19.216,153.958,49.716,7.56,0.54,173.642,59.219,6.884,0.364,141.108,42.13,63.077,37.359,81.042,62.308,69.71,72.935
10006492,Culver City Jail,,34.020764242179446,-118.39508559710085,34.015625,-118.390625,0.703,14,62,False,64.711,6.688,0.189,0.0,91.616,7.719,0.144,0.0,102.33,13.535,12.797,5.343,100.178,14.354,0.909,0.016,139.584,21.798,0.918,0.005,145.065,26.853,34.488,17.807,130.945,23.917,1.901,0.048,167.626,42.875,2.76,0.047,174.799,42.155,60.101,37.158,77.235,61.096,68.224,70.948
10006179,FCI Mendota,,36.73364122914027,-120.3924603239434,36.734375,-120.390625,0.182,14,62,False,175.305,114.473,40.374,1.316,65.304,3.16,0.023,0.0,64.814,6.027,14.442,5.986,197.777,142.38,72.869,8.531,111.143,20.051,0.379,0.002,98.274,21.683,51.411,31.019,209.0,155.79,92.446,18.538,135.486,45.919,2.141,0.006,115.362,38.245,82.21,59.917,96.812,60.577,66.091,68.487
