cdcr_code,year,days_over_90f,days_over_95f,days_skarha10
ASP,2016,117,83,12
ASP,2017,110,87,13
ASP,2018,100,77,1
ASP,2019,101,66,3
ASP,2020,110,76,4
ASP,2021,114,86,19
ASP,2022,118,83,16
ASP,2023,96,57,10
ASP,2024,123,86,21
ASP,2025,110,69,4
CAL,2016,187,138,1
CAL,2017,195,152,3
CAL,2018,179,148,1
CAL,2019,165,138,2
CAL,2020,185,166,3
CAL,2021,187,148,1
CAL,2022,182,155,0
CAL,2023,167,138,4
CAL,2024,186,158,2
CAL,2025,179,132,2
CCI,2016,25,2,5
CCI,2017,28,8,12
CCI,2018,25,0,2
CCI,2019,19,0,0
CCI,2020,23,2,4
CCI,2021,26,5,7
CCI,2022,19,3,3
CCI,2023,7,2,2
CCI,2024,27,4,7
CCI,2025,4,0,1
CCWF,2016,105,67,6
CCWF,2017,102,80,11
CCWF,2018,98,76,1
CCWF,2019,100,63,4
CCWF,2020,109,73,9
CCWF,2021,108,78,7
CCWF,2022,111,71,9
CCWF,2023,86,48,7
CCWF,2024,107,71,12
CCWF,2025,92,52,0
CEN,2016,183,138,5
CEN,2017,190,145,4
CEN,2018,179,145,3
CEN,2019,158,131,2
CEN,2020,184,168,6
CEN,2021,188,151,6
CEN,2022,183,157,0
CEN,2023,174,147,11
CEN,2024,186,165,10
CEN,2025,194,140,3
CHCF,2016,91,48,10
CHCF,2017,101,60,19
CHCF,2018,86,55,6
CHCF,2019,88,55,8
CHCF,2020,120,69,15
CHCF,2021,88,50,5
CHCF,2022,94,52,13
CHCF,2023,75,38,8
CHCF,2024,100,65,17
CHCF,2025,75,37,5
CIM,2016,105,47,18
CIM,2017,112,60,21
CIM,2018,82,40,14
CIM,2019,70,31,5
CIM,2020,113,59,30
CIM,2021,90,37,7
CIM,2022,92,45,13
CIM,2023,61,36,7
CIM,2024,88,44,15
CIM,2025,74,36,9
CIW,2016,112,56,20
CIW,2017,115,69,21
CIW,2018,95,49,16
CIW,2019,82,43,8
CIW,2020,117,64,22
CIW,2021,88,38,7
CIW,2022,92,51,12
CIW,2023,63,39,5
CIW,2024,89,46,12
CIW,2025,77,34,4
CMC,2016,14,4,24
CMC,2017,19,7,23
CMC,2018,11,1,18
CMC,2019,10,2,15
CMC,2020,22,14,29
CMC,2021,4,1,9
CMC,2022,16,5,17
CMC,2023,7,2,10
CMC,2024,8,5,11
CMC,2025,1,1,3
CMF,2016,71,36,13
CMF,2017,80,40,23
CMF,2018,71,42,8
CMF,2019,68,42,10
CMF,2020,109,57,17
CMF,2021,92,57,21
CMF,2022,88,53,20
CMF,2023,65,33,13
CMF,2024,85,52,22
CMF,2025,54,24,4
COR,2016,122,96,7
COR,2017,115,96,13
COR,2018,110,85,0
COR,2019,110,77,1
COR,2020,118,85,1
COR,2021,123,91,10
COR,2022,123,87,5
COR,2023,98,63,7
COR,2024,126,88,12
COR,2025,111,77,0
CRC,2016,97,44,16
CRC,2017,107,53,18
CRC,2018,88,42,14
CRC,2019,80,40,8
CRC,2020,104,51,16
CRC,2021,82,30,4
CRC,2022,85,40,10
CRC,2023,60,28,3
CRC,2024,86,43,10
CRC,2025,66,25,2
CTF,2016,8,1,12
CTF,2017,25,4,35
CTF,2018,7,1,17
CTF,2019,16,7,28
CTF,2020,24,10,31
CTF,2021,9,3,17
CTF,2022,17,9,26
CTF,2023,8,3,10
CTF,2024,11,4,15
CTF,2025,3,0,10
CVSP,2016,174,132,2
CVSP,2017,185,138,5
