cdcr_code,year,month,stage1_days,stage3_days
ASP,2016,1,0,0
ASP,2016,2,0,0
ASP,2016,3,0,0
ASP,2016,4,3,0
ASP,2016,5,9,2
ASP,2016,6,22,17
ASP,2016,7,30,24
ASP,2016,8,31,26
ASP,2016,9,21,14
ASP,2016,10,1,0
ASP,2016,11,0,0
ASP,2016,12,0,0
ASP,2017,1,0,0
ASP,2017,2,0,0
ASP,2017,3,0,0
ASP,2017,4,0,0
ASP,2017,5,10,6
ASP,2017,6,23,15
ASP,2017,7,31,30
ASP,2017,8,30,27
ASP,2017,9,16,9
ASP,2017,10,0,0
ASP,2017,11,0,0
ASP,2017,12,0,0
ASP,2018,1,0,0
ASP,2018,2,0,0
ASP,2018,3,0,0
ASP,2018,4,2,0
ASP,2018,5,2,1
ASP,2018,6,19,13
ASP,2018,7,31,30
ASP,2018,8,27,21
ASP,2018,9,19,12
ASP,2018,10,0,0
ASP,2018,11,0,0
ASP,2018,12,0,0
ASP,2019,1,0,0
ASP,2019,2,0,0
ASP,2019,3,0,0
ASP,2019,4,4,0
ASP,2019,5,0,0
ASP,2019,6,22,11
ASP,2019,7,30,22
ASP,2019,8,29,21
ASP,2019,9,15,12
ASP,2019,10,1,0
ASP,2019,11,0,0
ASP,2019,12,0,0
ASP,2020,1,0,0
ASP,2020,2,0,0
ASP,2020,3,0,0
ASP,2020,4,1,0
ASP,2020,5,8,5
ASP,2020,6,17,12
ASP,2020,7,31,25
ASP,2020,8,30,27
ASP,2020,9,16,7
ASP,2020,10,7,0
ASP,2020,11,0,0
ASP,2020,12,0,0
ASP,2021,1,0,0
ASP,2021,2,0,0
ASP,2021,3,0,0
ASP,2021,4,1,0
ASP,2021,5,7,3
ASP,2021,6,22,16
ASP,2021,7,31,31
ASP,2021,8,29,24
ASP,2021,9,22,12
ASP,2021,10,2,0
ASP,2021,11,0,0
ASP,2021,12,0,0
ASP,2022,1,0,0
ASP,2022,2,0,0
ASP,2022,3,0,0
ASP,2022,4,2,0
ASP,2022,5,7,2
ASP,2022,6,21,13
ASP,2022,7,28,25
ASP,2022,8,31,28
ASP,2022,9,19,15
ASP,2022,10,10,0
ASP,2022,11,0,0
ASP,2022,12,0,0
ASP,2023,1,0,0
ASP,2023,2,0,0
ASP,2023,3,0,0
ASP,2023,4,3,0
ASP,2023,5,10,4
ASP,2023,6,9,2
ASP,2023,7,29,26
ASP,2023,8,27,22
ASP,2023,9,13,2
ASP,2023,10,5,1
ASP,2023,11,0,0
ASP,2023,12,0,0
ASP,2024,1,0,0
ASP,2024,2,0,0
ASP,2024,3,0,0
ASP,2024,4,0,0
ASP,2024,5,9,0
ASP,2024,6,25,15
ASP,2024,7,31,29
ASP,2024,8,28,22
ASP,2024,9,21,12
ASP,2024,10,9,8
ASP,2024,11,0,0
ASP,2024,12,0,0
ASP,2025,1,0,0
ASP,2025,2,0,0
ASP,2025,3,0,0
ASP,2025,4,0,0
ASP,2025,5,8,3
ASP,2025,6,24,13
ASP,2025,7,30,20
ASP,2025,8,31,25
ASP,2025,9,16,8
ASP,2025,10,1,0
ASP,2025,11,0,0
ASP,2025,12,0,0
CAC,2016,1,0,0
CAC,2016,2,0,0
CAC,2016,3,0,0
CAC,2016,4,0,0
CAC,2016,5,6,3
CAC,2016,6,27,22
CAC,2016,7,31,30
CAC,2016,8,31,29
CAC,2016,9,18,8
CAC,2016,10,0,0
CAC,2016,11,0,0
CAC,2016,12,0,0
CAC,2017,1,0,0
CAC,2017,2,0,0
CAC,2017,3,0,0
CAC,2017,4,1,0
CAC,2017,5,11,4
CAC,2017,6,23,22
CAC,2017,7,31,30
CAC,2017,8,30,27
CAC,2017,9,11,8
CAC,2017,10,2,0
CAC,2017,11,0,0
CAC,2017,12,0,0
CAC,2018,1,0,0
CAC,2018,2,0,0
CAC,2018,3,0,0
CAC,2018,4,2,0
CAC,2018,5,5,3
CAC,2018,6,25,20
CAC,2018,7,31,31
CAC,2018,8,31,29
CAC,2018,9,27,13
CAC,2018,10,0,0
CAC,2018,11,0,0
CAC,2018,12,0,0
CAC,2019,1,0,0
CAC,2019,2,0,0
CAC,2019,3,0,0
CAC,2019,4,5,0
CAC,2019,5,0,0
CAC,2019,6,25,13
CAC,2019,7,31,24
CAC,2019,8,31,28
CAC,2019,9,13,9
CAC,2019,10,1,0
CAC,2019,11,0,0
CAC,2019,12,0,0
CAC,2020,1,0,0
CAC,2020,2,0,0
CAC,2020,3,0,0
CAC,2020,4,3,0
CAC,2020,5,11,6
CAC,2020,6,20,14
CAC,2020,7,31,28
CAC,2020,8,30,28
CAC,2020,9,27,9
CAC,2020,10,12,4
CAC,2020,11,0,0
CAC,2020,12,0,0
CAC,2021,1,0,0
CAC,2021,2,0,0
CAC,2021,3,0,0
CAC,2021,4,1,0
CAC,2021,5,8,2
CAC,2021,6,26,22
CAC,2021,7,30,30
CAC,2021,8,29,24
CAC,2021,9,21,11
CAC,2021,10,1,0
CAC,2021,11,0,0
CAC,2021,12,0,0
CAC,2022,1,0,0
CAC,2022,2,0,0
CAC,2022,3,0,0
CAC,2022,4,0,0
CAC,2022,5,8,3
CAC,2022,6,21,16
CAC,2022,7,29,26
CAC,2022,8,31,29
CAC,2022,9,18,13
CAC,2022,10,8,0
CAC,2022,11,0,0
CAC,2022,12,0,0
CAC,2023,1,0,0
CAC,2023,2,0,0
CAC,2023,3,0,0
CAC,2023,4,2,0
CAC,2023,5,11,4
CAC,2023,6,9,3
CAC,2023,7,31,29
CAC,2023,8,27,19
CAC,2023,9,12,1
CAC,2023,10,5,0
CAC,2023,11,0,0
CAC,2023,12,0,0
CAC,2024,1,0,0
CAC,2024,2,0,0
CAC,2024,3,0,0
CAC,2024,4,1,0
CAC,2024,5,11,3
CAC,2024,6,29,22
CAC,2024,7,31,31
CAC,2024,8,28,26
CAC,2024,9,22,14
CAC,2024,10,12,7
CAC,2024,11,0,0
CAC,2024,12,0,0
CAC,2025,1,0,0
CAC,2025,2,0,0
CAC,2025,3,0,0
CAC,2025,4,0,0
CAC,2025,5,12,5
CAC,2025,6,25,19
CAC,2025,7,29,22
CAC,2025,8,31,26
CAC,2025,9,15,7
CAC,2025,10,0,0
CAC,2025,11,0,0
CAC,2025,12,0,0
CAL,2016,1,0,0
CAL,2016,2,2,0
CAL,2016,3,10,0
CAL,2016,4,11,4
CAL,2016,5,19,11
CAL,2016,6,30,29
CAL,2016,7,31,31
CAL,2016,8,31,31
CAL,2016,9,27,23
CAL,2016,10,23,9
CAL,2016,11,3,0
CAL,2016,12,0,0
CAL,2017,1,0,0
CAL,2017,2,0,0
CAL,2017,3,14,7
CAL,2017,4,15,4
CAL,2017,5,22,17
CAL,2017,6,30,27
CAL,2017,7,31,31
CAL,2017,8,31,31
CAL,2017,9,26,20
CAL,2017,10,24,15
CAL,2017,11,2,0
CAL,2017,12,0,0
CAL,2018,1,0,0
CAL,2018,2,0,0
CAL,2018,3,3,1
CAL,2018,4,18,10
CAL,2018,5,24,16
CAL,2018,6,30,28
CAL,2018,7,31,31
CAL,2018,8,31,31
CAL,2018,9,30,30
CAL,2018,10,11,1
CAL,2018,11,1,0
CAL,2018,12,0,0
CAL,2019,1,0,0
CAL,2019,2,0,0
CAL,2019,3,0,0
CAL,2019,4,13,8
CAL,2019,5,13,7
CAL,2019,6,30,28
CAL,2019,7,31,31
CAL,2019,8,31,31
CAL,2019,9,27,23
CAL,2019,10,18,10
CAL,2019,11,2,0
CAL,2019,12,0,0
CAL,2020,1,0,0
CAL,2020,2,0,0
CAL,2020,3,0,0
CAL,2020,4,9,9
CAL,2020,5,28,22
CAL,2020,6,28,26
CAL,2020,7,31,31
CAL,2020,8,31,31
CAL,2020,9,30,28
CAL,2020,10,23,19
CAL,2020,11,5,0
CAL,2020,12,0,0
CAL,2021,1,0,0
CAL,2021,2,0,0
CAL,2021,3,1,0
CAL,2021,4,17,7
CAL,2021,5,27,20
CAL,2021,6,30,28
CAL,2021,7,31,31
CAL,2021,8,31,31
CAL,2021,9,29,27
CAL,2021,10,14,4
CAL,2021,11,7,0
CAL,2021,12,0,0
CAL,2022,1,0,0
CAL,2022,2,0,0
CAL,2022,3,3,0
CAL,2022,4,15,4
CAL,2022,5,26,20
CAL,2022,6,30,30
CAL,2022,7,31,31
CAL,2022,8,31,31
CAL,2022,9,28,26
CAL,2022,10,18,13
CAL,2022,11,0,0
CAL,2022,12,0,0
CAL,2023,1,0,0
CAL,2023,2,0,0
CAL,2023,3,0,0
CAL,2023,4,13,7
CAL,2023,5,21,15
CAL,2023,6,27,18
CAL,2023,7,31,31
CAL,2023,8,29,28
CAL,2023,9,28,26
CAL,2023,10,16,13
CAL,2023,11,2,0
CAL,2023,12,0,0
CAL,2024,1,0,0
CAL,2024,2,2,0
CAL,2024,3,0,0
CAL,2024,4,14,4
CAL,2024,5,28,19
CAL,2024,6,30,30
CAL,2024,7,31,31
CAL,2024,8,31,31
CAL,2024,9,28,25
CAL,2024,10,22,18
CAL,2024,11,0,0
CAL,2024,12,0,0
CAL,2025,1,0,0
CAL,2025,2,4,0
CAL,2025,3,4,2
CAL,2025,4,8,4
CAL,2025,5,23,15
CAL,2025,6,30,28
CAL,2025,7,31,31
CAL,2025,8,31,30
CAL,2025,9,26,19
CAL,2025,10,17,3
CAL,2025,11,5,0
CAL,2025,12,0,0
CCI,2016,1,0,0
CCI,2016,2,0,0
CCI,2016,3,0,0
CCI,2016,4,0,0
CCI,2016,5,0,0
CCI,2016,6,8,0
CCI,2016,7,11,2
CCI,2016,8,6,0
CCI,2016,9,0,0
CCI,2016,10,0,0
CCI,2016,11,0,0
CCI,2016,12,0,0
CCI,2017,1,0,0
CCI,2017,2,0,0
CCI,2017,3,0,0
CCI,2017,4,0,0
CCI,2017,5,0,0
CCI,2017,6,8,4
CCI,2017,7,9,0
CCI,2017,8,8,3
CCI,2017,9,3,1
CCI,2017,10,0,0
CCI,2017,11,0,0
CCI,2017,12,0,0
CCI,2018,1,0,0
CCI,2018,2,0,0
CCI,2018,3,0,0
CCI,2018,4,0,0
CCI,2018,5,0,0
CCI,2018,6,4,0
CCI,2018,7,16,0
CCI,2018,8,5,0
CCI,2018,9,0,0
CCI,2018,10,0,0
CCI,2018,11,0,0
CCI,2018,12,0,0
CCI,2019,1,0,0
CCI,2019,2,0,0
CCI,2019,3,0,0
CCI,2019,4,0,0
CCI,2019,5,0,0
CCI,2019,6,0,0
CCI,2019,7,5,0
CCI,2019,8,11,0
CCI,2019,9,3,0
CCI,2019,10,0,0
CCI,2019,11,0,0
CCI,2019,12,0,0
CCI,2020,1,0,0
CCI,2020,2,0,0
CCI,2020,3,0,0
CCI,2020,4,0,0
CCI,2020,5,1,0
CCI,2020,6,4,0
CCI,2020,7,8,0
CCI,2020,8,6,0
CCI,2020,9,4,2
CCI,2020,10,0,0
CCI,2020,11,0,0
CCI,2020,12,0,0
CCI,2021,1,0,0
CCI,2021,2,0,0
CCI,2021,3,0,0
CCI,2021,4,0,0
CCI,2021,5,0,0
CCI,2021,6,9,3
CCI,2021,7,8,1
CCI,2021,8,5,0
CCI,2021,9,4,1
CCI,2021,10,0,0
CCI,2021,11,0,0
CCI,2021,12,0,0
CCI,2022,1,0,0
CCI,2022,2,0,0
CCI,2022,3,0,0
CCI,2022,4,0,0
CCI,2022,5,0,0
CCI,2022,6,0,0
CCI,2022,7,8,0
CCI,2022,8,5,0
CCI,2022,9,6,3
CCI,2022,10,0,0
CCI,2022,11,0,0
CCI,2022,12,0,0
CCI,2023,1,0,0
CCI,2023,2,0,0
CCI,2023,3,0,0
CCI,2023,4,0,0
CCI,2023,5,0,0
CCI,2023,6,0,0
CCI,2023,7,6,2
CCI,2023,8,1,0
CCI,2023,9,0,0
CCI,2023,10,0,0
CCI,2023,11,0,0
CCI,2023,12,0,0
CCI,2024,1,0,0
CCI,2024,2,0,0
CCI,2024,3,0,0
CCI,2024,4,0,0
CCI,2024,5,0,0
CCI,2024,6,2,0
CCI,2024,7,16,4
CCI,2024,8,5,0
CCI,2024,9,1,0
CCI,2024,10,3,0
CCI,2024,11,0,0
CCI,2024,12,0,0
CCI,2025,1,0,0
CCI,2025,2,0,0
CCI,2025,3,0,0
CCI,2025,4,0,0
CCI,2025,5,1,0
CCI,2025,6,0,0
CCI,2025,7,0,0
CCI,2025,8,2,0
CCI,2025,9,1,0
CCI,2025,10,0,0
CCI,2025,11,0,0
CCI,2025,12,0,0
CCWF,2016,1,0,0
CCWF,2016,2,0,0
CCWF,2016,3,0,0
CCWF,2016,4,0,0
CCWF,2016,5,7,2
CCWF,2016,6,22,17
CCWF,2016,7,29,21
CCWF,2016,8,29,20
CCWF,2016,9,17,7
CCWF,2016,10,1,0
CCWF,2016,11,0,0
CCWF,2016,12,0,0
CCWF,2017,1,0,0
CCWF,2017,2,0,0
CCWF,2017,3,0,0
CCWF,2017,4,0,0
CCWF,2017,5,6,4
CCWF,2017,6,23,15
CCWF,2017,7,31,30
CCWF,2017,8,28,24
CCWF,2017,9,14,7
CCWF,2017,10,0,0
CCWF,2017,11,0,0
CCWF,2017,12,0,0
CCWF,2018,1,0,0
CCWF,2018,2,0,0
CCWF,2018,3,0,0
CCWF,2018,4,0,0
CCWF,2018,5,2,1
CCWF,2018,6,19,13
CCWF,2018,7,31,28
CCWF,2018,8,26,19
CCWF,2018,9,20,15
CCWF,2018,10,0,0
CCWF,2018,11,0,0
CCWF,2018,12,0,0
CCWF,2019,1,0,0
CCWF,2019,2,0,0
CCWF,2019,3,0,0
CCWF,2019,4,5,1
CCWF,2019,5,0,0
CCWF,2019,6,23,13
CCWF,2019,7,28,19
CCWF,2019,8,29,21
CCWF,2019,9,14,9
CCWF,2019,10,1,0
CCWF,2019,11,0,0
CCWF,2019,12,0,0
CCWF,2020,1,0,0
CCWF,2020,2,0,0
CCWF,2020,3,0,0
CCWF,2020,4,1,0
CCWF,2020,5,7,5
CCWF,2020,6,17,14
CCWF,2020,7,31,25
CCWF,2020,8,30,22
CCWF,2020,9,17,5
CCWF,2020,10,6,2
CCWF,2020,11,0,0
CCWF,2020,12,0,0
CCWF,2021,1,0,0
CCWF,2021,2,0,0
CCWF,2021,3,0,0
CCWF,2021,4,1,0
CCWF,2021,5,8,2
CCWF,2021,6,21,14
CCWF,2021,7,31,28
CCWF,2021,8,26,22
CCWF,2021,9,19,12
CCWF,2021,10,2,0
CCWF,2021,11,0,0
CCWF,2021,12,0,0
CCWF,2022,1,0,0
CCWF,2022,2,0,0
CCWF,2022,3,0,0
CCWF,2022,4,2,0
CCWF,2022,5,7,2
CCWF,2022,6,21,12
CCWF,2022,7,25,22
CCWF,2022,8,30,23
CCWF,2022,9,18,12
CCWF,2022,10,8,0
CCWF,2022,11,0,0
CCWF,2022,12,0,0
CCWF,2023,1,0,0
CCWF,2023,2,0,0
CCWF,2023,3,0,0
CCWF,2023,4,3,0
CCWF,2023,5,7,0
CCWF,2023,6,5,1
CCWF,2023,7,27,25
CCWF,2023,8,28,19
CCWF,2023,9,11,1
CCWF,2023,10,5,2
CCWF,2023,11,0,0
CCWF,2023,12,0,0
CCWF,2024,1,0,0
CCWF,2024,2,0,0
CCWF,2024,3,0,0
CCWF,2024,4,0,0
CCWF,2024,5,4,0
CCWF,2024,6,19,12
CCWF,2024,7,30,25
CCWF,2024,8,26,17
CCWF,2024,9,19,9
CCWF,2024,10,9,8
CCWF,2024,11,0,0
CCWF,2024,12,0,0
CCWF,2025,1,0,0
CCWF,2025,2,0,0
CCWF,2025,3,0,0
CCWF,2025,4,0,0
CCWF,2025,5,5,4
CCWF,2025,6,24,9
CCWF,2025,7,22,11
CCWF,2025,8,27,21
CCWF,2025,9,13,7
CCWF,2025,10,1,0
CCWF,2025,11,0,0
CCWF,2025,12,0,0
CEN,2016,1,0,0
CEN,2016,2,1,0
CEN,2016,3,8,0
CEN,2016,4,10,4
CEN,2016,5,18,8
CEN,2016,6,30,30
CEN,2016,7,31,31
CEN,2016,8,31,31
CEN,2016,9,27,23
CEN,2016,10,24,11
CEN,2016,11,3,0
CEN,2016,12,0,0
CEN,2017,1,0,0
CEN,2017,2,0,0
CEN,2017,3,12,4
CEN,2017,4,15,2
CEN,2017,5,20,16
CEN,2017,6,30,27
CEN,2017,7,31,31
CEN,2017,8,31,31
CEN,2017,9,24,20
CEN,2017,10,25,14
CEN,2017,11,2,0
CEN,2017,12,0,0
CEN,2018,1,0,0
CEN,2018,2,0,0
CEN,2018,3,3,0
CEN,2018,4,18,10
CEN,2018,5,24,13
CEN,2018,6,30,29
CEN,2018,7,31,31
CEN,2018,8,31,31
CEN,2018,9,30,30
CEN,2018,10,11,1
CEN,2018,11,1,0
CEN,2018,12,0,0
CEN,2019,1,0,0
CEN,2019,2,0,0
CEN,2019,3,0,0
CEN,2019,4,12,8
CEN,2019,5,13,5
CEN,2019,6,30,28
CEN,2019,7,31,31
CEN,2019,8,31,31
CEN,2019,9,26,22
CEN,2019,10,13,6
CEN,2019,11,2,0
CEN,2019,12,0,0
CEN,2020,1,0,0
CEN,2020,2,0,0
CEN,2020,3,0,0
CEN,2020,4,9,9
CEN,2020,5,27,22
CEN,2020,6,28,27
CEN,2020,7,31,31
CEN,2020,8,31,31
CEN,2020,9,30,28
CEN,2020,10,23,19
CEN,2020,11,5,1
CEN,2020,12,0,0
CEN,2021,1,0,0
CEN,2021,2,0,0
CEN,2021,3,1,0
CEN,2021,4,16,8
CEN,2021,5,26,21
CEN,2021,6,30,29
CEN,2021,7,31,31
CEN,2021,8,31,31
CEN,2021,9,29,27
CEN,2021,10,15,4
CEN,2021,11,9,0
CEN,2021,12,0,0
CEN,2022,1,0,0
CEN,2022,2,0,0
CEN,2022,3,4,1
CEN,2022,4,14,5
CEN,2022,5,26,18
CEN,2022,6,30,30
CEN,2022,7,31,31
CEN,2022,8,31,31
CEN,2022,9,28,27
CEN,2022,10,19,14
CEN,2022,11,0,0
CEN,2022,12,0,0
CEN,2023,1,0,0
CEN,2023,2,0,0
CEN,2023,3,0,0
CEN,2023,4,15,8
CEN,2023,5,21,17
CEN,2023,6,29,22
CEN,2023,7,31,31
CEN,2023,8,29,28
CEN,2023,9,29,26
CEN,2023,10,18,15
CEN,2023,11,2,0
CEN,2023,12,0,0
CEN,2024,1,0,0
CEN,2024,2,2,0
CEN,2024,3,0,0
CEN,2024,4,14,7
CEN,2024,5,28,20
CEN,2024,6,30,30
CEN,2024,7,31,31
CEN,2024,8,31,31
CEN,2024,9,28,25
CEN,2024,10,22,21
CEN,2024,11,0,0
CEN,2024,12,0,0
CEN,2025,1,0,0
CEN,2025,2,4,2
CEN,2025,3,5,3
CEN,2025,4,13,4
CEN,2025,5,23,16
CEN,2025,6,30,29
CEN,2025,7,31,31
CEN,2025,8,31,30
CEN,2025,9,28,22
CEN,2025,10,20,3
CEN,2025,11,9,0
CEN,2025,12,0,0
CHCF,2016,1,0,0
CHCF,2016,2,0,0
CHCF,2016,3,0,0
CHCF,2016,4,1,0
CHCF,2016,5,6,2
CHCF,2016,6,20,16
CHCF,2016,7,24,14
CHCF,2016,8,26,10
CHCF,2016,9,13,6
CHCF,2016,10,1,0
CHCF,2016,11,0,0
CHCF,2016,12,0,0
CHCF,2017,1,0,0
CHCF,2017,2,0,0
CHCF,2017,3,0,0
CHCF,2017,4,0,0
CHCF,2017,5,9,4
CHCF,2017,6,21,9
CHCF,2017,7,30,26
CHCF,2017,8,28,15
CHCF,2017,9,13,6
CHCF,2017,10,0,0
CHCF,2017,11,0,0
CHCF,2017,12,0,0
CHCF,2018,1,0,0
CHCF,2018,2,0,0
CHCF,2018,3,0,0
CHCF,2018,4,0,0
CHCF,2018,5,2,2
CHCF,2018,6,21,11
CHCF,2018,7,29,26
CHCF,2018,8,18,13
CHCF,2018,9,16,3
CHCF,2018,10,0,0
CHCF,2018,11,0,0
CHCF,2018,12,0,0
CHCF,2019,1,0,0
CHCF,2019,2,0,0
CHCF,2019,3,0,0
CHCF,2019,4,3,0
CHCF,2019,5,0,0
CHCF,2019,6,19,11
CHCF,2019,7,24,19
CHCF,2019,8,25,19
CHCF,2019,9,15,6
CHCF,2019,10,2,0
CHCF,2019,11,0,0
CHCF,2019,12,0,0
CHCF,2020,1,0,0
CHCF,2020,2,0,0
CHCF,2020,3,0,0
CHCF,2020,4,3,0
CHCF,2020,5,9,5
CHCF,2020,6,19,15
CHCF,2020,7,30,19
CHCF,2020,8,29,20
CHCF,2020,9,18,8
CHCF,2020,10,12,2
CHCF,2020,11,0,0
CHCF,2020,12,0,0
CHCF,2021,1,0,0
CHCF,2021,2,0,0
CHCF,2021,3,0,0
CHCF,2021,4,0,0
CHCF,2021,5,5,1
CHCF,2021,6,16,9
CHCF,2021,7,29,17
CHCF,2021,8,22,14
CHCF,2021,9,14,9
CHCF,2021,10,2,0
CHCF,2021,11,0,0
CHCF,2021,12,0,0
CHCF,2022,1,0,0
CHCF,2022,2,0,0
CHCF,2022,3,0,0
CHCF,2022,4,1,0
CHCF,2022,5,5,2
CHCF,2022,6,17,11
CHCF,2022,7,23,15
CHCF,2022,8,26,14
CHCF,2022,9,16,10
CHCF,2022,10,6,0
CHCF,2022,11,0,0
CHCF,2022,12,0,0
CHCF,2023,1,0,0
CHCF,2023,2,0,0
CHCF,2023,3,0,0
CHCF,2023,4,2,0
CHCF,2023,5,4,0
CHCF,2023,6,5,1
CHCF,2023,7,25,22
CHCF,2023,8,26,14
CHCF,2023,9,9,0
CHCF,2023,10,4,1
