cdcr_code,year,avg_summer_tmax_f
ASP,1990,93.63
ASP,1991,92.57
ASP,1992,93.04
ASP,1993,91.87
ASP,1994,95.64
ASP,1995,92.65
ASP,1996,96.61
ASP,1997,92.18
ASP,1998,92.81
ASP,1999,91.84
ASP,2000,94.08
ASP,2001,95.13
ASP,2002,94.85
ASP,2003,94.55
ASP,2004,93.73
ASP,2005,94.2
ASP,2006,95.29
ASP,2007,94.28
ASP,2008,95.87
ASP,2009,95.06
ASP,2010,93.73
ASP,2011,91.59
ASP,2012,95.29
ASP,2013,96.08
ASP,2014,96.84
ASP,2015,95.7
ASP,2016,97.98
ASP,2017,98.21
ASP,2018,96.51
ASP,2019,96.13
ASP,2020,96.34
ASP,2021,99.45
ASP,2022,97.81
ASP,2023,94.73
ASP,2024,99.01
ASP,2025,96.89
CAC,1990,96.91
CAC,1991,95.21
CAC,1992,95.1
CAC,1993,94.27
CAC,1994,100.05
CAC,1995,96.1
CAC,1996,99.86
CAC,1997,96.22
CAC,1998,96.47
CAC,1999,95.05
CAC,2000,97.34
CAC,2001,97.52
CAC,2002,99.03
CAC,2003,98.54
CAC,2004,97.3
CAC,2005,96.95
CAC,2006,99.3
CAC,2007,99.34
CAC,2008,99.03
CAC,2009,96.84
CAC,2010,97.94
CAC,2011,96.31
CAC,2012,98.51
CAC,2013,98.3
CAC,2014,97.78
CAC,2015,97.64
CAL,1990,105.59
CAL,1991,103.63
CAL,1992,104.37
CAL,1993,104.3
CAL,1994,108.16
CAL,1995,106.5
CAL,1996,107.49
CAL,1997,104.86
CAL,1998,105.47
CAL,1999,104.18
CAL,2000,106.08
CAL,2001,106.38
CAL,2002,107.43
CAL,2003,106.05
CAL,2004,105.74
CAL,2005,106.03
CAL,2006,107.96
CAL,2007,106.99
CAL,2008,106.52
CAL,2009,105.65
CAL,2010,106.52
CAL,2011,106.63
CAL,2012,106.72
CAL,2013,106.46
CAL,2014,105.75
CAL,2015,105.69
CAL,2016,107.67
CAL,2017,107.4
CAL,2018,106.41
CAL,2019,106.77
CAL,2020,107.29
CAL,2021,106.61
CAL,2022,106.06
CAL,2023,104.9
CAL,2024,109.1
CAL,2025,105.62
CCI,1990,82.69
CCI,1991,81.43
CCI,1992,81.98
CCI,1993,80.64
CCI,1994,85.7
CCI,1995,82.44
CCI,1996,85.75
CCI,1997,82.41
CCI,1998,83.01
CCI,1999,82.01
CCI,2000,84.63
CCI,2001,85.08
CCI,2002,85.96
CCI,2003,85.55
CCI,2004,83.9
CCI,2005,83.7
CCI,2006,85.87
CCI,2007,85.08
CCI,2008,85.0
CCI,2009,83.25
CCI,2010,82.3
CCI,2011,82.07
CCI,2012,85.6
CCI,2013,85.85
CCI,2014,83.74
CCI,2015,83.46
CCI,2016,86.12
CCI,2017,86.67
CCI,2018,86.65
CCI,2019,84.02
CCI,2020,84.49
CCI,2021,85.3
CCI,2022,83.05
CCI,2023,79.42
CCI,2024,84.28
CCI,2025,81.82
CCWF,1990,93.55
CCWF,1991,91.93
CCWF,1992,92.98
CCWF,1993,91.5
CCWF,1994,95.15
CCWF,1995,91.97
CCWF,1996,96.19
CCWF,1997,92.47
CCWF,1998,92.28
CCWF,1999,90.9
CCWF,2000,93.41
CCWF,2001,93.91
CCWF,2002,93.87
CCWF,2003,94.65
CCWF,2004,93.48
CCWF,2005,93.98
CCWF,2006,95.59
CCWF,2007,94.23
CCWF,2008,94.89
CCWF,2009,93.62
CCWF,2010,90.99
CCWF,2011,90.46
CCWF,2012,95.48
CCWF,2013,96.15
CCWF,2014,94.75
CCWF,2015,94.61
CCWF,2016,96.47
CCWF,2017,96.99
CCWF,2018,96.34
CCWF,2019,95.92
CCWF,2020,96.16
CCWF,2021,96.71
CCWF,2022,95.53
CCWF,2023,93.08
CCWF,2024,96.37
CCWF,2025,94.3
CEN,1990,104.68
CEN,1991,102.62
CEN,1992,103.43
CEN,1993,103.28
CEN,1994,107.03
CEN,1995,105.4
CEN,1996,106.34
CEN,1997,103.72
CEN,1998,104.48
CEN,1999,103.19
CEN,2000,105.0
CEN,2001,105.29
CEN,2002,106.32
CEN,2003,105.14
CEN,2004,104.81
CEN,2005,105.02
CEN,2006,106.94
CEN,2007,106.06
CEN,2008,105.68
CEN,2009,104.66
CEN,2010,105.26
CEN,2011,105.44
CEN,2012,105.71
CEN,2013,105.49
CEN,2014,105.12
CEN,2015,104.99
CEN,2016,108.22
CEN,2017,107.34
CEN,2018,107.23
CEN,2019,106.92
CEN,2020,107.88
CEN,2021,107.52
CEN,2022,106.95
CEN,2023,106.59
CEN,2024,110.05
CEN,2025,106.88
CHCF,1990,92.24
CHCF,1991,89.35
CHCF,1992,91.12
CHCF,1993,91.12
CHCF,1994,92.85
CHCF,1995,90.28
CHCF,1996,95.1
CHCF,1997,90.41
CHCF,1998,90.5
CHCF,1999,89.09
CHCF,2000,91.47
CHCF,2001,92.18
CHCF,2002,92.39
CHCF,2003,92.9
CHCF,2004,91.56
CHCF,2005,93.5
CHCF,2006,95.05
CHCF,2007,93.38
CHCF,2008,93.44
CHCF,2009,91.0
CHCF,2010,90.3
CHCF,2011,88.68
CHCF,2012,93.71
CHCF,2013,94.7
CHCF,2014,92.67
CHCF,2015,92.94
CHCF,2016,94.05
CHCF,2017,95.9
CHCF,2018,94.24
CHCF,2019,94.56
CHCF,2020,95.46
CHCF,2021,93.37
CHCF,2022,93.49
CHCF,2023,91.78
CHCF,2024,95.41
CHCF,2025,92.34
CIM,1990,91.28
CIM,1991,85.49
CIM,1992,88.06
CIM,1993,86.45
CIM,1994,90.73
CIM,1995,89.11
CIM,1996,91.05
CIM,1997,87.27
CIM,1998,88.86
CIM,1999,87.02
CIM,2000,89.2
CIM,2001,88.43
CIM,2002,88.28
CIM,2003,89.22
CIM,2004,88.22
CIM,2005,88.48
CIM,2006,92.95
CIM,2007,90.56
CIM,2008,90.56
CIM,2009,89.57
CIM,2010,87.32
CIM,2011,88.68
CIM,2012,91.79
CIM,2013,91.94
CIM,2014,90.32
CIM,2015,90.36
CIM,2016,93.44
CIM,2017,93.2
CIM,2018,92.67
CIM,2019,88.72
CIM,2020,92.36
CIM,2021,90.74
CIM,2022,92.14
CIM,2023,87.71
CIM,2024,91.53
CIM,2025,89.93
CIW,1990,92.43
CIW,1991,86.75
CIW,1992,89.57
CIW,1993,87.73
CIW,1994,91.87
CIW,1995,90.26
CIW,1996,92.11
CIW,1997,88.55
CIW,1998,89.96
CIW,1999,87.99
CIW,2000,90.24
CIW,2001,89.37
CIW,2002,89.23
CIW,2003,90.09
CIW,2004,89.24
CIW,2005,89.34
CIW,2006,93.91
CIW,2007,90.61
CIW,2008,90.78
CIW,2009,89.15
CIW,2010,87.77
CIW,2011,89.52
CIW,2012,92.59
CIW,2013,92.75
CIW,2014,90.92
CIW,2015,91.38
CIW,2016,94.41
CIW,2017,94.3
CIW,2018,94.31
CIW,2019,90.26
CIW,2020,93.09
CIW,2021,90.89
CIW,2022,92.59
CIW,2023,88.29
CIW,2024,91.57
CIW,2025,89.71
CMC,1990,78.73
CMC,1991,75.32
CMC,1992,78.77
CMC,1993,79.28
CMC,1994,78.14
CMC,1995,79.43
CMC,1996,81.45
CMC,1997,80.27
CMC,1998,78.5
CMC,1999,75.58
CMC,2000,77.77
CMC,2001,78.15
CMC,2002,77.59
CMC,2003,80.71
CMC,2004,78.96
CMC,2005,75.74
CMC,2006,78.52
CMC,2007,76.56
CMC,2008,78.17
CMC,2009,76.53
CMC,2010,74.4
CMC,2011,76.59
CMC,2012,77.17
CMC,2013,78.06
CMC,2014,79.38
CMC,2015,79.25
CMC,2016,79.49
CMC,2017,81.74
CMC,2018,81.32
CMC,2019,77.49
CMC,2020,78.92
CMC,2021,79.37
CMC,2022,80.0
CMC,2023,76.84
CMC,2024,78.02
CMC,2025,74.96
CMF,1990,90.34
CMF,1991,87.67
CMF,1992,90.36
CMF,1993,90.04
CMF,1994,90.61
CMF,1995,89.25
CMF,1996,93.25
CMF,1997,89.48
CMF,1998,89.09
CMF,1999,88.71
CMF,2000,89.22
CMF,2001,90.19
CMF,2002,90.75
CMF,2003,91.15
CMF,2004,89.84
CMF,2005,89.96
CMF,2006,91.67
CMF,2007,90.59
CMF,2008,91.66
CMF,2009,89.46
CMF,2010,88.81
CMF,2011,86.51
CMF,2012,91.12
CMF,2013,92.61
CMF,2014,91.04
CMF,2015,92.02
CMF,2016,91.57
CMF,2017,92.89
CMF,2018,91.43
CMF,2019,92.04
CMF,2020,93.37
CMF,2021,93.44
CMF,2022,92.44
CMF,2023,90.23
CMF,2024,92.88
CMF,2025,89.03
COR,1990,94.81
COR,1991,93.75
COR,1992,94.38
COR,1993,92.72
COR,1994,96.45
COR,1995,94.48
COR,1996,97.84
COR,1997,93.98
COR,1998,95.02
COR,1999,93.84
COR,2000,96.08
COR,2001,97.07
COR,2002,97.12
COR,2003,96.81
COR,2004,95.94
COR,2005,96.4
COR,2006,97.87
COR,2007,96.94
COR,2008,98.22
COR,2009,96.24
COR,2010,95.53
COR,2011,93.36
COR,2012,97.14
COR,2013,97.85
COR,2014,98.69
COR,2015,97.18
COR,2016,99.04
COR,2017,100.0
COR,2018,97.99
COR,2019,97.7
COR,2020,97.28
COR,2021,100.2
COR,2022,97.97
COR,2023,95.32
COR,2024,99.19
COR,2025,97.18
CRC,1990,92.47
CRC,1991,87.09
CRC,1992,89.55
CRC,1993,87.6
CRC,1994,91.97
CRC,1995,90.44
CRC,1996,92.28
CRC,1997,88.59
CRC,1998,90.1
CRC,1999,88.12
CRC,2000,90.35
CRC,2001,89.53
CRC,2002,89.24
CRC,2003,90.1
CRC,2004,89.08
CRC,2005,89.31
CRC,2006,93.66
CRC,2007,90.86
CRC,2008,90.87
CRC,2009,88.81
CRC,2010,87.86
CRC,2011,89.49
CRC,2012,92.69
CRC,2013,92.8
CRC,2014,90.99
CRC,2015,90.88
CRC,2016,93.33
CRC,2017,93.26
CRC,2018,93.22
CRC,2019,90.21
CRC,2020,91.46
CRC,2021,90.13
CRC,2022,91.04
CRC,2023,87.16
CRC,2024,90.89
CRC,2025,88.84
CTF,1990,76.51
CTF,1991,73.53
CTF,1992,76.36
CTF,1993,76.95
CTF,1994,76.28
CTF,1995,76.87
CTF,1996,78.71
CTF,1997,76.66
CTF,1998,75.78
CTF,1999,74.12
CTF,2000,75.78
CTF,2001,76.69
CTF,2002,76.57
CTF,2003,78.21
CTF,2004,76.65
CTF,2005,76.25
CTF,2006,78.31
CTF,2007,76.88
CTF,2008,77.77
CTF,2009,76.57
CTF,2010,74.08
CTF,2011,74.28
CTF,2012,77.81
CTF,2013,79.03
CTF,2014,77.37
CTF,2015,77.48
CTF,2016,75.93
CTF,2017,79.64
CTF,2018,79.96
CTF,2019,79.77
CTF,2020,78.83
CTF,2021,76.75
CTF,2022,79.82
CTF,2023,77.48
CTF,2024,76.06
CTF,2025,73.72
CVSP,1990,105.64
CVSP,1991,104.09
CVSP,1992,104.9
CVSP,1993,105.16
CVSP,1994,108.93
CVSP,1995,107.17
CVSP,1996,108.34
